 frequency              r_VINN                 i_VINN                
 1.000000000000000e+00 -5.000000000000000e-01  6.123770333271922e-17 
 1.019373485938873e+00 -5.000000000000000e-01  6.123761562522819e-17 
 1.039122303835169e+00 -5.000000000000000e-01  6.123752878891324e-17 
 1.059253725177289e+00 -5.000000000000000e-01  6.123744285172993e-17 
 1.079775162327710e+00 -5.000000000000000e-01  6.123735783861256e-17 
 1.100694171252210e+00 -5.000000000000000e-01  6.123727377167077e-17 
 1.122018454301964e+00 -5.000000000000000e-01  6.123719067037487e-17 
 1.143755863049539e+00 -5.000000000000000e-01  6.123710855173003e-17 
 1.165914401179832e+00 -5.000000000000000e-01  6.123702743044036e-17 
 1.188502227437019e+00 -5.000000000000000e-01  6.123694731906331e-17 
 1.211527658628589e+00 -5.000000000000000e-01  6.123686822815485e-17 
 1.234999172687586e+00 -5.000000000000000e-01  6.123679016640621e-17 
 1.258925411794168e+00 -5.000000000000001e-01  6.123671314077237e-17 
 1.283315185557652e+00 -5.000000000000000e-01  6.123663715659284e-17 
 1.308177474260195e+00 -5.000000000000000e-01  6.123656221770553e-17 
 1.333521432163325e+00 -5.000000000000000e-01  6.123648832655352e-17 
 1.359356390878527e+00 -5.000000000000001e-01  6.123641548428543e-17 
 1.385691862803129e+00 -5.000000000000000e-01  6.123634369084993e-17 
 1.412537544622755e+00 -5.000000000000000e-01  6.123627294508447e-17 
 1.439903320881634e+00 -5.000000000000000e-01  6.123620324479855e-17 
 1.467799267622071e+00 -5.000000000000000e-01  6.123613458685203e-17 
 1.496235656094435e+00 -5.000000000000000e-01  6.123606696722858e-17 
 1.525222956539020e+00 -5.000000000000000e-01  6.123600038110476e-17 
 1.554771842041175e+00 -5.000000000000000e-01  6.123593482291473e-17 
 1.584893192461115e+00 -5.000000000000000e-01  6.123587028641102e-17 
 1.615598098439875e+00 -5.000000000000000e-01  6.123580676472155e-17 
 1.646897865482870e+00 -5.000000000000001e-01  6.123574425040306e-17 
 1.678804018122562e+00 -5.000000000000000e-01  6.123568273549124e-17 
 1.711328304161782e+00 -5.000000000000000e-01  6.123562221154768e-17 
 1.744482698999256e+00 -5.000000000000000e-01  6.123556266970391e-17 
 1.778279410038925e+00 -5.000000000000000e-01  6.123550410070252e-17 
 1.812730881184701e+00 -5.000000000000000e-01  6.123544649493581e-17 
 1.847849797422293e+00 -5.000000000000000e-01  6.123538984248182e-17 
 1.883649089489803e+00 -5.000000000000000e-01  6.123533413313823e-17 
 1.920141938638804e+00 -5.000000000000000e-01  6.123527935645374e-17 
 1.957341781487663e+00 -5.000000000000000e-01  6.123522550175766e-17 
 1.995262314968882e+00 -5.000000000000000e-01  6.123517255818756e-17 
 2.033917501372295e+00 -5.000000000000000e-01  6.123512051471473e-17 
 2.073321573485958e+00 -5.000000000000000e-01  6.123506936016851e-17 
 2.113489039836649e+00 -5.000000000000001e-01  6.123501908325843e-17 
 2.154434690031886e+00 -5.000000000000000e-01  6.123496967259506e-17 
 2.196173600205439e+00 -5.000000000000000e-01  6.123492111670960e-17 
 2.238721138568343e+00 -5.000000000000000e-01  6.123487340407178e-17 
