 frequency       gain_db         phase_raw_deg	manifest_sha256
 1.00000000e+00  6.52025950e+01 -4.92109748e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.01937349e+00  6.52025950e+01 -5.04125363e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.03912230e+00  6.52025950e+01 -5.16326596e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.05925373e+00  6.52025950e+01 -5.28717940e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.07977516e+00  6.52025950e+01 -5.41303957e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.10069417e+00  6.52025950e+01 -5.54089281e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.12201845e+00  6.52025950e+01 -5.67078621e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.14375586e+00  6.52025950e+01 -5.80276758e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.16591440e+00  6.52025950e+01 -5.93688552e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.18850223e+00  6.52025950e+01 -6.07318941e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.21152766e+00  6.52025950e+01 -6.21172945e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.23499917e+00  6.52025950e+01 -6.35255663e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.25892541e+00  6.52025950e+01 -6.49572282e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.28331519e+00  6.52025950e+01 -6.64128073e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.30817747e+00  6.52025949e+01 -6.78928394e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.33352143e+00  6.52025949e+01 -6.93978696e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.35935639e+00  6.52025949e+01 -7.09284520e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.38569186e+00  6.52025949e+01 -7.24851502e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.41253754e+00  6.52025949e+01 -7.40685373e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.43990332e+00  6.52025949e+01 -7.56791963e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.46779927e+00  6.52025949e+01 -7.73177203e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.49623566e+00  6.52025949e+01 -7.89847126e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.52522296e+00  6.52025949e+01 -8.06807870e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.55477184e+00  6.52025949e+01 -8.24065679e-03	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
