x,real,imag
1.0,-2421.680435691038,0.2924230740217557
1.019373485938873,-2421.68043414875,0.2987440827600332
1.039122303835169,-2421.680432545774,0.3051750886552223
1.059253725177289,-2421.68043087975,0.3117184595941788
1.07977516232771,-2421.680429148179,0.3183766048363508
1.10069417125221,-2421.680427348605,0.3251519759009088
1.122018454301964,-2421.680425478326,0.332047067469316
1.143755863049539,-2421.680423534545,0.3390644183038998
1.165914401179832,-2421.680421514489,0.346206612182654
1.188502227437019,-2421.680419415138,0.3534762788505034
1.211527658628589,-2421.680417233355,0.3608760949876043
1.234999172687586,-2421.680414966015,0.368408785194932
1.258925411794168,-2421.680412609734,0.3760771229973881
1.283315185557652,-2421.680410160996,0.3838839318650448
1.308177474260195,-2421.680407616287,0.3918320862527805
1.333521432163325,-2421.680404971764,0.3999245126585422
1.359356390878527,-2421.680402223626,0.4081641907009918
1.385691862803129,-2421.680399367732,0.4165541542164683
1.412537544622755,-2421.680396399969,0.4250974923761606
1.439903320881634,-2421.680393315872,0.4337973508234009
1.467799267622071,-2421.680390110992,0.4426569328320105
1.496235656094435,-2421.680386780516,0.451679500485597
1.52522295653902,-2421.68038331963,0.460868375878778
1.554771842041175,-2421.680379723144,0.4702269423402247
1.584893192461115,-2421.680375985853,0.4797586456785282
1.615598098439875,-2421.680372102162,0.4894669954507894
1.64689786548287,-2421.680368066395,0.4993555662549484
1.678804018122562,-2421.680363872652,0.5094279990458824
1.711328304161782,-2421.680359514668,0.5196880024759291
1.744482698999256,-2421.680354986067,0.5301393542605085
1.778279410038925,-2421.680350280178,0.5407859025689821
1.812730881184701,-2421.680345390073,0.5516315674415531
1.847849797422293,-2421.680340308593,0.5626803422326172
1.883649089489803,-2421.680335028162,0.573936295081017
1.920141938638804,-2421.680329541048,0.5854035704080297
1.957341781487663,-2421.680323839169,0.5970863904432374
1.995262314968882,-2421.680317914127,0.6089890567791458
2.033917501372295,-2421.680311757194,0.6211159519550069
2.073321573485958,-2421.680305359303,0.6334715410704395
2.113489039836649,-2421.680298711029,0.6460603734294511
2.154434690031886,-2421.680291802579,0.6588870842154598
2.196173600205439,-2421.680284623734,0.6719563961979149
2.238721138568343,-2421.68027716401,0.6852731214712807
2.282092971067454,-2421.680269412374,0.6988421632266706
2.326305067153629,-2421.680261357408,0.7126685175572601
2.371373705661659,-2421.680252987203,0.726757275297759
2.417315480804108,-2421.68024428952,0.741113623898922
2.464147308281285,-2421.680235251459,0.7557428493373344
2.511886431509584,-2421.680225859799,0.7706503380618858
2.56055042797048,-2421.680216100613,0.7858415789767815
2.610157215682541,-2421.680205959573,0.8013221654627102
2.660725059798814,-2421.68019542179,0.8170977974361898
2.712272579332033,-2421.680184471648,0.83317428344812
2.764818754010113,-2421.680173093068,0.8495575428226239
2.818382931264459,-2421.680161269287,0.8662536078363462
2.87298483335367,-2421.680148982889,0.8832686259395137
2.928644564625242,-2421.680136215781,0.9006088620193475
2.985382618917966,-2421.680122949155,0.9182807007067266
3.043219887107728,-2421.680109163425,0.9362906487268913
3.102177664799508,-2421.680094838378,0.95464533729528
3.162277660168387,-2421.680079952822,0.9733515245588108
3.22354200195247,-2421.680064484925,0.9924160980844221
3.285993247600662,-2421.680048411811,1.011846077394692
3.349654391578285,-2421.68003170985,1.031648616552575
3.41454887383361,-2421.680014354492,1.051831006795323
3.480700588428419,-2421.679996320078,1.072400679218873
3.548133892335763,-2421.679977580047,1.09336520751406
3.616873614408168,-2421.679958106886,1.114732310755125
3.686945064519584,-2421.679937871869,1.136509856241545
3.758374042884451,-2421.679916845144,1.158705862394746
3.831186849557297,-2421.679894995834,1.18132850171047
3.90541029411639,-2421.679872291663,1.204386103767426
3.981071705534982,-2421.679848699237,1.227887158294386
4.058198942243808,-2421.679824183805,1.251840318295742
4.136820402388517,-2421.679798709257,1.276254403237411
4.216965034285833,-2421.67977223803,1.301138402293912
4.298662347082288,-2421.679744731221,1.326501477658165
4.381942421619448,-2421.679716148226,1.352352967914455
4.466835921509642,-2421.679686446989,1.378702391477008
4.553374104426261,-2421.679655583761,1.405559450094226
4.641588833612791,-2421.679623513084,1.432934032420668
4.731512589614817,-2421.679590187679,1.460836217657726
4.823178482239319,-2421.679555558546,1.489276279264698
4.916620262745656,-2421.679519574592,1.51826468874081
5.011872336272736,-2421.679482182814,1.547812119480809
5.108969774506941,-2421.679443328227,1.577929450704584
5.207948328595478,-2421.679402953512,1.608627771462178
5.308844442309899,-2421.679360999247,1.639918384716806
5.411695265464652,-2421.679317403636,1.671812811505957
5.516538667595595,-2421.679272102463,1.704322795183085
5.623413251903506,-2421.679225028962,1.737460305740984
5.73235836946773,-2421.679176113842,1.771237544218852
5.843414133735193,-2421.679125285009,1.805666947193954
5.956621435290122,-2421.679072467644,1.840761191360497
6.072021956909904,-2421.679017583951,1.876533198196414
6.189658188912625,-2421.678960553089,1.912996138720526
6.309573444801952,-2421.678901291012,1.950163438341403
6.431811877215107,-2421.678839710478,1.988048781800136
6.556418494179809,-2421.678775720738,2.026666118208067
6.683439175686167,-2421.678709227588,2.06602966618239
6.812920690579634,-2421.678640133088,2.10615391908042
6.944910713781234,-2421.678568335421,2.147053650335212
7.079457843841402,-2421.678493728883,2.18874391889447
7.216611620833906,-2421.67841620354,2.231240074764
7.356422544596438,-2421.678335645202,2.274557764658817
7.498942093324583,-2421.678251935259,2.31871293776321
7.644222742526028,-2421.678164950416,2.363721851601956
7.792317984341968,-2421.678074562505,2.409601078025137
7.943282347242842,-2421.677980638393,2.456367509308821
8.097171416105647,-2421.677883039784,2.504038364373472
8.254041852680212,-2421.67778162288,2.552631195122286
8.41395141645198,-2421.677676238345,2.602163892902665
8.57695898590897,-2421.677566730913,2.652654695091876
8.743124580220766,-2421.677452939292,2.704122191810665
8.912509381337486,-2421.677334695874,2.756585332766273
9.0851757565169,-2421.677211826544,2.810063434227956
9.261187281287969,-2421.677084150284,2.864576186136956
9.440608762859268,-2421.676951479034,2.920143659354528
9.623506263980921,-2421.676813617386,2.976786313049741
9.80994712726881,-2421.67667036228,3.034525002230159
10.00000000000004,-2421.676521502761,3.093380985418317
10.19373485938877,-2421.676366819483,3.153375932475996
10.39122303835173,-2421.676206084656,3.21453193258097
10.59253725177293,-2421.676039061579,3.27687150235695
10.79775162327714,-2421.675865504155,3.34041759416073
11.00694171252214,-2421.675685156791,3.405193604530613
11.22018454301968,-2421.675497753858,3.471223382797085
11.43755863049543,-2421.675303019328,3.53853123986051
11.65914401179836,-2421.67510066633,3.607141957138351
11.88502227437023,-2421.674890396865,3.677080795685921
12.11527658628593,-2421.674671901228,3.748373505492713
12.3499917268759,-2421.67444485755,3.821046334958854
12.58925411794172,-2421.674208931465,3.895126040555254
12.83315185557657,-2421.673963775479,3.970639896669688
13.081774742602,-2421.673709028409,4.047615705643513
13.3352143216333,-2421.673444315134,4.126081808003531
13.59356390878532,-2421.673169245758,4.206067092889853
13.85691862803134,-2421.672883415042,4.28760100868628
14.12537544622761,-2421.672586402079,4.370713573857185
14.39903320881639,-2421.672277769357,4.455435387991805
14.67799267622076,-2421.671957062293,4.541797643063841
14.9623565609444,-2421.67162380852,4.629832134907902
15.25222956539026,-2421.67127751715,4.719571274917792
15.54771842041181,-2421.670917678225,4.811048101971793
15.84893192461121,-2421.670543761651,4.904296294586513
16.15598098439882,-2421.670155216696,4.999350183307969
16.46897865482876,-2421.66975147112,5.096244763340889
16.78804018122569,-2421.669331930259,5.195015707421915
17.11328304161789,-2421.668895976084,5.295699378941676
17.44482698999263,-2421.668442966584,5.39833284532193
17.78279410038932,-2421.667972234482,5.502953891648461
18.12730881184708,-2421.667483086451,5.609601034569693
18.478497974223,-2421.666974802038,5.718313536462735
18.8364908948981,-2421.666446632561,5.829131419873092
19.20141938638811,-2421.665897800139,5.942095482234124
19.5734178148767,-2421.665327496416,6.057247310869565
19.9526231496889,-2421.664734881368,6.174629298286358
20.33917501372302,-2421.664119082152,6.29428465776324
20.73321573485966,-2421.663479191782,6.416257439239738
21.13489039836658,-2421.662814267746,6.540592545511798
21.54434690031895,-2421.662123330795,6.667335748741317
21.96173600205448,-2421.661405363192,6.796533707281675
22.38721138568352,-2421.660659307476,6.928233982831107
22.82092971067463,-2421.659884064866,7.062485057915434
23.26305067153639,-2421.65907849346,7.199336353707256
23.71373705661668,-2421.658241406823,7.33883824819153
24.17315480804117,-2421.657371572058,7.481042094678911
24.64147308281295,-2421.656467707999,7.626000240677162
25.11886431509594,-2421.65552848345,7.773766047127299
25.60550427970491,-2421.654552515,7.924393908008303
26.10157215682552,-2421.653538365263,8.07793927032294
26.60725059798825,-2421.652484540533,8.234458654465485
27.12272579332044,-2421.651389488713,8.394009674984252
27.64818754010124,-2421.650251597045,8.55665106174333
28.1838293126447,-2421.649069189534,8.72244268149042
28.72984833353682,-2421.647840524725,8.891445559843056
29.28644564625254,-2421.646563793038,9.063721903695695
29.85382618917978,-2421.645237114148,9.239335124059172
30.4321988710774,-2421.643858533998,9.418349859337546
31.0217766479952,-2421.642426022323,9.600831999057517
31.62277660168399,-2421.64093746925,9.786848708048023
32.23542001952483,-2421.639390682476,9.976468451089971
32.85993247600675,-2421.637783383977,10.16976101803731
33.49654391578298,-2421.636113206492,10.36679754941972
34.14548873833623,-2421.634377690247,10.56765056254031
