 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-1.58000000e-02  1.65220893e+00  6.42584270e-01  1.93987218e-01  2.65347764e-05  2.33558712e-05  4.98906471e-05 
-1.57000000e-02  1.65131694e+00  6.42656869e-01  1.93983239e-01  2.65138957e-05  2.33766491e-05  4.98905444e-05 
-1.56000000e-02  1.65040639e+00  6.42729408e-01  1.93979231e-01  2.64930430e-05  2.33973984e-05  4.98904410e-05 
-1.55000000e-02  1.64945712e+00  6.42801776e-01  1.93975138e-01  2.64722500e-05  2.34180860e-05  4.98903354e-05 
-1.54000000e-02  1.64849885e+00  6.42874136e-01  1.93971045e-01  2.64514699e-05  2.34387605e-05  4.98902298e-05 
-1.53000000e-02  1.64754010e+00  6.42946534e-01  1.93966974e-01  2.64306893e-05  2.34594356e-05  4.98901247e-05 
-1.52000000e-02  1.64651157e+00  6.43018589e-01  1.93962729e-01  2.64100176e-05  2.34799982e-05  4.98900152e-05 
-1.51000000e-02  1.64548474e+00  6.43090693e-01  1.93958514e-01  2.63893420e-05  2.35005649e-05  4.98899064e-05 
-1.50000000e-02  1.64442562e+00  6.43162661e-01  1.93954231e-01  2.63687163e-05  2.35210801e-05  4.98897959e-05 
-1.49000000e-02  1.64333812e+00  6.43234512e-01  1.93949891e-01  2.63481342e-05  2.35415501e-05  4.98896839e-05 
-1.48000000e-02  1.64222074e+00  6.43306238e-01  1.93945490e-01  2.63275982e-05  2.35619725e-05  4.98895703e-05 
-1.47000000e-02  1.64106451e+00  6.43377790e-01  1.93941002e-01  2.63071226e-05  2.35823324e-05  4.98894545e-05 
-1.46000000e-02  1.63987672e+00  6.43449207e-01  1.93936448e-01  2.62866958e-05  2.36026417e-05  4.98893369e-05 
-1.45000000e-02  1.63865654e+00  6.43520484e-01  1.93931825e-01  2.62663192e-05  2.36228989e-05  4.98892175e-05 
-1.44000000e-02  1.63741921e+00  6.43591705e-01  1.93927176e-01  2.62459688e-05  2.36431290e-05  4.98890975e-05 
-1.43000000e-02  1.63611261e+00  6.43662581e-01  1.93922352e-01  2.62257270e-05  2.36632464e-05  4.98889730e-05 
-1.42000000e-02  1.63477604e+00  6.43733329e-01  1.93917466e-01  2.62055318e-05  2.36833154e-05  4.98888468e-05 
-1.41000000e-02  1.63339544e+00  6.43803871e-01  1.93912477e-01  2.61854054e-05  2.37033129e-05  4.98887180e-05 
-1.40000000e-02  1.63196818e+00  6.43874192e-01  1.93907376e-01  2.61653521e-05  2.37232344e-05  4.98885863e-05 
-1.39000000e-02  1.63049146e+00  6.43944276e-01  1.93902156e-01  2.61453765e-05  2.37430752e-05  4.98884515e-05 
-1.38000000e-02  1.62896224e+00  6.44014104e-01  1.93896808e-01  2.61254832e-05  2.37628302e-05  4.98883133e-05 
-1.37000000e-02  1.62734698e+00  6.44083490e-01  1.93891235e-01  2.61057258e-05  2.37824442e-05  4.98881694e-05 
-1.36000000e-02  1.62569654e+00  6.44152716e-01  1.93885582e-01  2.60860235e-05  2.38020005e-05  4.98880234e-05 
-1.35000000e-02  1.62398190e+00  6.44221620e-01  1.93879766e-01  2.60664225e-05  2.38214512e-05  4.98878731e-05 
-1.34000000e-02  1.62219880e+00  6.44290176e-01  1.93873774e-01  2.60469297e-05  2.38407893e-05  4.98877183e-05 
-1.33000000e-02  1.62034271e+00  6.44358360e-01  1.93867593e-01  2.60275523e-05  2.38600070e-05  4.98875586e-05 
-1.32000000e-02  1.61840894e+00  6.44426143e-01  1.93861208e-01  2.60082979e-05  2.38790964e-05  4.98873937e-05 
-1.31000000e-02  1.61639190e+00  6.44493494e-01  1.93854602e-01  2.59891755e-05  2.38980480e-05  4.98872230e-05 
-1.30000000e-02  1.61428615e+00  6.44560380e-01  1.93847761e-01  2.59701940e-05  2.39168527e-05  4.98870462e-05 
-1.29000000e-02  1.61208572e+00  6.44626767e-01  1.93840664e-01  2.59513630e-05  2.39355004e-05  4.98868628e-05 
-1.28000000e-02  1.60978426e+00  6.44692619e-01  1.93833294e-01  2.59326927e-05  2.39539801e-05  4.98866723e-05 
-1.27000000e-02  1.60737509e+00  6.44757895e-01  1.93825631e-01  2.59141940e-05  2.39722807e-05  4.98864741e-05 
-1.26000000e-02  1.60485115e+00  6.44822555e-01  1.93817652e-01  2.58958784e-05  2.39903900e-05  4.98862679e-05 
-1.25000000e-02  1.60220510e+00  6.44886556e-01  1.93809335e-01  2.58777578e-05  2.40082956e-05  4.98860528e-05 
-1.24000000e-02  1.59942932e+00  6.44949853e-01  1.93800658e-01  2.58598447e-05  2.40259843e-05  4.98858284e-05 
-1.23000000e-02  1.59651600e+00  6.45012399e-01  1.93791596e-01  2.58421518e-05  2.40434428e-05  4.98855941e-05 
-1.22000000e-02  1.59345721e+00  6.45074148e-01  1.93782126e-01  2.58246921e-05  2.40606575e-05  4.98853491e-05 
-1.21000000e-02  1.59024503e+00  6.45135052e-01  1.93772222e-01  2.58074788e-05  2.40776145e-05  4.98850929e-05 
-1.20000000e-02  1.58687166e+00  6.45195065e-01  1.93761861e-01  2.57905247e-05  2.40943005e-05  4.98848249e-05 
-1.19000000e-02  1.58332957e+00  6.45254141e-01  1.93751018e-01  2.57738423e-05  2.41107021e-05  4.98845443e-05 
-1.18000000e-02  1.57961168e+00  6.45312236e-01  1.93739671e-01  2.57574437e-05  2.41268070e-05  4.98842507e-05 
-1.17000000e-02  1.57569411e+00  6.45369211e-01  1.93727749e-01  2.57413679e-05  2.41425747e-05  4.98839421e-05 
-1.16000000e-02  1.57160249e+00  6.45425208e-01  1.93715324e-01  2.57255743e-05  2.41580468e-05  4.98836204e-05 
-1.15000000e-02  1.56731791e+00  6.45480116e-01  1.93702339e-01  2.57100940e-05  2.41731908e-05  4.98832842e-05 
-1.14000000e-02  1.56283688e+00  6.45533911e-01  1.93688781e-01  2.56949335e-05  2.41880002e-05  4.98829331e-05 
-1.13000000e-02  1.55815719e+00  6.45586574e-01  1.93674641e-01  2.56800974e-05  2.42024701e-05  4.98825669e-05 
-1.12000000e-02  1.55327797e+00  6.45638097e-01  1.93659914e-01  2.56655880e-05  2.42165980e-05  4.98821854e-05 
-1.11000000e-02  1.54819976e+00  6.45688477e-01  1.93644599e-01  2.56514055e-05  2.42303836e-05  4.98817886e-05 
-1.10000000e-02  1.54292444e+00  6.45737720e-01  1.93628699e-01  2.56375481e-05  2.42438290e-05  4.98813765e-05 
-1.09000000e-02  1.53745520e+00  6.45785839e-01  1.93612220e-01  2.56240117e-05  2.42569382e-05  4.98809493e-05 
-1.08000000e-02  1.53179638e+00  6.45832853e-01  1.93595172e-01  2.56107906e-05  2.42697173e-05  4.98805073e-05 
-1.07000000e-02  1.52595334e+00  6.45878787e-01  1.93577568e-01  2.55978773e-05  2.42821741e-05  4.98800508e-05 
-1.06000000e-02  1.51993227e+00  6.45923672e-01  1.93559423e-01  2.55852632e-05  2.42943175e-05  4.98795801e-05 
-1.05000000e-02  1.51374003e+00  6.45967542e-01  1.93540755e-01  2.55729384e-05  2.43061580e-05  4.98790958e-05 
-1.04000000e-02  1.50738391e+00  6.46010432e-01  1.93521583e-01  2.55608924e-05  2.43177064e-05  4.98785982e-05 
-1.03000000e-02  1.50087149e+00  6.46052381e-01  1.93501926e-01  2.55491142e-05  2.43289743e-05  4.98780879e-05 
-1.02000000e-02  1.49421051e+00  6.46093429e-01  1.93481805e-01  2.55375925e-05  2.43399735e-05  4.98775655e-05 
-1.01000000e-02  1.48740866e+00  6.46133615e-01  1.93461240e-01  2.55263161e-05  2.43507158e-05  4.98770313e-05 
-1.00000000e-02  1.48047355e+00  6.46172977e-01  1.93440250e-01  2.55152739e-05  2.43612127e-05  4.98764860e-05 
-9.90000000e-03  1.47341257e+00  6.46211554e-01  1.93418856e-01  2.55044551e-05  2.43714756e-05  4.98759300e-05 
-9.80000000e-03  1.46623286e+00  6.46249382e-01  1.93397076e-01  2.54938491e-05  2.43815154e-05  4.98753639e-05 
-9.70000000e-03  1.45894124e+00  6.46286496e-01  1.93374928e-01  2.54834462e-05  2.43913424e-05  4.98747880e-05 
-9.60000000e-03  1.45154421e+00  6.46322929e-01  1.93352429e-01  2.54732367e-05  2.44009667e-05  4.98742028e-05 
-9.50000000e-03  1.44404792e+00  6.46358712e-01  1.93329595e-01  2.54632119e-05  2.44103974e-05  4.98736087e-05 
-9.40000000e-03  1.43645816e+00  6.46393876e-01  1.93306442e-01  2.54533634e-05  2.44196434e-05  4.98730061e-05 
-9.30000000e-03  1.42878038e+00  6.46428446e-01  1.93282983e-01  2.54436832e-05  2.44287128e-05  4.98723954e-05 
-9.20000000e-03  1.42101971e+00  6.46462450e-01  1.93259233e-01  2.54341642e-05  2.44376134e-05  4.98717769e-05 
-9.10000000e-03  1.41318096e+00  6.46495910e-01  1.93235202e-01  2.54247994e-05  2.44463522e-05  4.98711509e-05 
-9.00000000e-03  1.40526863e+00  6.46528850e-01  1.93210903e-01  2.54155825e-05  2.44549359e-05  4.98705178e-05 
-8.90000000e-03  1.39728694e+00  6.46561291e-01  1.93186347e-01  2.54065076e-05  2.44633707e-05  4.98698777e-05 
-8.80000000e-03  1.38923987e+00  6.46593251e-01  1.93161543e-01  2.53975691e-05  2.44716624e-05  4.98692309e-05 
-8.70000000e-03  1.38113114e+00  6.46624748e-01  1.93136501e-01  2.53887619e-05  2.44798164e-05  4.98685777e-05 
-8.60000000e-03  1.37296426e+00  6.46655800e-01  1.93111230e-01  2.53800813e-05  2.44878376e-05  4.98679183e-05 
-8.50000000e-03  1.36474253e+00  6.46686422e-01  1.93085736e-01  2.53715228e-05  2.44957307e-05  4.98672529e-05 
-8.40000000e-03  1.35646906e+00  6.46716628e-01  1.93060029e-01  2.53630822e-05  2.45035001e-05  4.98665817e-05 
-8.30000000e-03  1.34814679e+00  6.46746433e-01  1.93034115e-01  2.53547555e-05  2.45111499e-05  4.98659048e-05 
-8.20000000e-03  1.33977851e+00  6.46775850e-01  1.93008000e-01  2.53465393e-05  2.45186839e-05  4.98652225e-05 
-8.10000000e-03  1.33136687e+00  6.46804889e-01  1.92981692e-01  2.53384300e-05  2.45261055e-05  4.98645349e-05 
-8.00000000e-03  1.32291437e+00  6.46833563e-01  1.92955195e-01  2.53304244e-05  2.45334183e-05  4.98638421e-05 
-7.90000000e-03  1.31442342e+00  6.46861882e-01  1.92928515e-01  2.53225195e-05  2.45406253e-05  4.98631443e-05 
-7.80000000e-03  1.30589629e+00  6.46889856e-01  1.92901657e-01  2.53147126e-05  2.45477296e-05  4.98624415e-05 
-7.70000000e-03  1.29733517e+00  6.46917494e-01  1.92874626e-01  2.53070008e-05  2.45547338e-05  4.98617340e-05 
-7.60000000e-03  1.28874216e+00  6.46944805e-01  1.92847427e-01  2.52993818e-05  2.45616407e-05  4.98610219e-05 
-7.50000000e-03  1.28011925e+00  6.46971798e-01  1.92820063e-01  2.52918530e-05  2.45684527e-05  4.98603051e-05 
-7.40000000e-03  1.27146840e+00  6.46998481e-01  1.92792540e-01  2.52844123e-05  2.45751722e-05  4.98595839e-05 
