quantity,value
vbn_v,0.688776308
tail_v,0.190454596
nmir_v,0.648388819
vx_v,0.648388819
m1_id_a,2.48986716e-05
m2_id_a,2.48986716e-05
m3_id_a,2.48986707e-05
m4_id_a,2.48986707e-05
m5_id_a,4.97973419e-05
m1_gm_s,0.000449250074
m1_gds_s,5.43192697e-06
m2_gm_s,0.000449250074
m2_gds_s,5.43192697e-06
m3_gm_s,0.000275195934
m3_gds_s,8.57923876e-07
m4_gm_s,0.000275195934
m4_gds_s,8.57923876e-07
m5_gm_s,0.00071918096
m5_gds_s,2.70458108e-05
m1_vdsat_v,0.0880174327
m2_vdsat_v,0.0880174327
m3_vdsat_v,0.154346173
m4_vdsat_v,0.154346173
m5_vdsat_v,0.117623409
idd_a,5.97973438e-05
