 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.00000000e+00  5.12358355e-05  9.22666408e-05  9.00000000e-06  3.20308053e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.10000000e+00  5.22112090e-05  9.22666408e-05  9.00000000e-06  3.10554319e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.20000000e+00  5.31883322e-05  9.22666408e-05  9.00000000e-06  3.00783086e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.30000000e+00  5.41676027e-05  9.22666408e-05  9.00000000e-06  2.90990382e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.40000000e+00  5.51495198e-05  9.22666408e-05  9.00000000e-06  2.81171210e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.50000000e+00  5.61347036e-05  9.22666408e-05  9.00000000e-06  2.71319372e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.60000000e+00  5.71239144e-05  9.22666408e-05  9.00000000e-06  2.61427264e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.70000000e+00  5.81180763e-05  9.22666408e-05  9.00000000e-06  2.51485645e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.80000000e+00  5.91183027e-05  9.22666408e-05  9.00000000e-06  2.41483381e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  6.90000000e+00  6.01259244e-05  9.22666408e-05  9.00000000e-06  2.31407164e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.00000000e+00  6.11425220e-05  9.22666408e-05  9.00000000e-06  2.21241188e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.10000000e+00  6.23415839e-05  9.22666408e-05  9.00000000e-06  2.09250569e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.20000000e+00  6.35413115e-05  9.22666408e-05  9.00000000e-06  1.97253293e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.30000000e+00  6.47416567e-05  9.22666408e-05  9.00000000e-06  1.85249841e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.40000000e+00  6.59425741e-05  9.22666408e-05  9.00000000e-06  1.73240667e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.50000000e+00  6.71440212e-05  9.22666408e-05  9.00000000e-06  1.61226196e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.60000000e+00  6.83459578e-05  9.22666408e-05  9.00000000e-06  1.49206830e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.70000000e+00  6.95483463e-05  9.22666408e-05  9.00000000e-06  1.37182945e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.80000000e+00  7.07511509e-05  9.22666408e-05  9.00000000e-06  1.25154899e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  7.90000000e+00  7.19543383e-05  9.22666408e-05  9.00000000e-06  1.13123025e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.00000000e+00  7.31578768e-05  9.22666408e-05  9.00000000e-06  1.01087641e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.10000000e+00  7.43617366e-05  9.22666408e-05  9.00000000e-06  8.90490425e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.20000000e+00  7.55658896e-05  9.22666408e-05  9.00000000e-06  7.70075117e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.30000000e+00  7.67703095e-05  9.22666408e-05  9.00000000e-06  6.49633132e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.40000000e+00  7.79749711e-05  9.22666408e-05  9.00000000e-06  5.29166967e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.50000000e+00  7.91798510e-05  9.22666408e-05  9.00000000e-06  4.08678978e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
