 1.80000000e+00  8.60000000e+00  8.03849269e-05  9.22666408e-05  9.00000000e-06  2.88171390e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.70000000e+00  8.15901778e-05  9.22666408e-05  9.00000000e-06  1.67646303e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.80000000e+00  8.27955839e-05  9.22666408e-05  9.00000000e-06  4.71056959e-07
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  8.90000000e+00  8.40011264e-05  9.22666408e-05  9.00000000e-06 -7.34485599e-07
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.00000000e+00  8.52067878e-05  9.22666408e-05  9.00000000e-06 -1.94014699e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.10000000e+00  8.64125514e-05  9.22666408e-05  9.00000000e-06 -3.14591056e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.20000000e+00  8.76184014e-05  9.22666408e-05  9.00000000e-06 -4.35176057e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.30000000e+00  8.88243230e-05  9.22666408e-05  9.00000000e-06 -5.55768216e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.40000000e+00  9.00303021e-05  9.22666408e-05  9.00000000e-06 -6.76366132e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.50000000e+00  9.12363256e-05  9.22666408e-05  9.00000000e-06 -7.96968482e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.60000000e+00  9.24423810e-05  9.22666408e-05  9.00000000e-06 -9.17574015e-06
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.70000000e+00  9.36484563e-05  9.22666408e-05  9.00000000e-06 -1.03818155e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.80000000e+00  9.48545406e-05  9.22666408e-05  9.00000000e-06 -1.15878998e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  9.90000000e+00  9.60606233e-05  9.22666408e-05  9.00000000e-06 -1.27939825e-05
 vdd             w6_record       m6_id           m7_id           rl_current      residual
 1.80000000e+00  1.00000000e+01  9.72666946e-05  9.22666408e-05  9.00000000e-06 -1.40000538e-05
