 1.00000000e+00  9.00000000e-01  0.00000000e+00  3.82055691e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  9.20000000e-01  0.00000000e+00  3.81066219e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  9.40000000e-01  0.00000000e+00  3.80015756e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  9.60000000e-01  0.00000000e+00  3.78898667e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  9.80000000e-01  0.00000000e+00  3.77708573e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.00000000e+00  0.00000000e+00  3.76438231e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.02000000e+00  0.00000000e+00  3.75079372e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.04000000e+00  0.00000000e+00  3.73622500e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.06000000e+00  0.00000000e+00  3.72056652e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.08000000e+00  0.00000000e+00  3.70369099e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.10000000e+00  0.00000000e+00  3.68544974e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.12000000e+00  0.00000000e+00  3.66568705e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.14000000e+00  0.00000000e+00  3.64416278e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.16000000e+00  0.00000000e+00  3.62064377e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.18000000e+00  0.00000000e+00  3.59483128e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.20000000e+00  0.00000000e+00  3.56636134e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.22000000e+00  0.00000000e+00  3.53478556e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.24000000e+00  0.00000000e+00  3.49954453e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.26000000e+00  0.00000000e+00  3.45993213e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.28000000e+00  0.00000000e+00  3.41503996e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.30000000e+00  0.00000000e+00  3.36368391e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.32000000e+00  0.00000000e+00  3.30428945e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.34000000e+00  0.00000000e+00  3.23472228e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.36000000e+00  0.00000000e+00  3.15203019e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.38000000e+00  0.00000000e+00  3.05205066e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.40000000e+00  0.00000000e+00  2.92882885e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.42000000e+00  0.00000000e+00  2.77381600e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.44000000e+00  0.00000000e+00  2.57506608e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.46000000e+00  0.00000000e+00  2.31736800e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.48000000e+00  0.00000000e+00  1.98623307e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.50000000e+00  0.00000000e+00  1.57999434e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.52000000e+00  0.00000000e+00  1.12569461e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.54000000e+00  0.00000000e+00  6.71590122e+00 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.56000000e+00  0.00000000e+00  2.52880693e+00 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.58000000e+00  0.00000000e+00 -1.23368766e+00 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.60000000e+00  0.00000000e+00 -4.64028230e+00 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.62000000e+00  0.00000000e+00 -7.76908111e+00 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.64000000e+00  0.00000000e+00 -1.06705930e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.66000000e+00  0.00000000e+00 -1.33716806e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.68000000e+00  0.00000000e+00 -1.58863495e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.70000000e+00  0.00000000e+00 -1.82236541e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.72000000e+00  0.00000000e+00 -2.03918916e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.74000000e+00  0.00000000e+00 -2.24002640e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.76000000e+00  0.00000000e+00 -2.42591795e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.78000000e+00  0.00000000e+00 -2.59799541e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.80000000e+00  0.00000000e+00 -2.75743302e+01 
