quantity,value
vbn_v,0.658036427
tail_v,0.214800884
nmir_v,0.808582312
vx_v,0.808582312
m1_id_a,1.90365886e-05
m2_id_a,1.90365886e-05
m3_id_a,1.90365936e-05
m4_id_a,1.90365936e-05
m5_id_a,3.80731764e-05
m1_gm_s,0.00038225577
m1_gds_s,3.84082554e-06
m2_gm_s,0.00038225577
m2_gds_s,3.84082554e-06
m3_gm_s,0.000323905614
m3_gds_s,8.52373783e-07
m4_gm_s,0.000323905614
m4_gds_s,8.52373783e-07
m5_gm_s,0.000642194633
m5_gds_s,1.31472816e-05
m1_vdsat_v,0.0745318833
m2_vdsat_v,0.0745318833
m3_vdsat_v,0.0671123088
m4_vdsat_v,0.0671123088
m5_vdsat_v,0.098594385
idd_a,4.80731787e-05
