 frequency           cmr                 cmi                 dmr                 dmi                
 1.000000000000e+00 -2.060693862542e+03 -7.484597598603e-01  7.914127686758e+01 -5.366685514428e-04 
 1.023292992281e+00 -2.060693849689e+03 -7.658936224768e-01  7.914127686743e+01 -5.491691678679e-04 
 1.047128548051e+00 -2.060693836227e+03 -7.837335715756e-01  7.914127686727e+01 -5.619609610548e-04 
 1.071519305238e+00 -2.060693822133e+03 -8.019890661051e-01  7.914127686710e+01 -5.750507133816e-04 
 1.096478196143e+00 -2.060693807374e+03 -8.206697853333e-01  7.914127686692e+01 -5.884453652083e-04 
 1.122018454302e+00 -2.060693791918e+03 -8.397856339878e-01  7.914127686673e+01 -6.021520185565e-04 
 1.148153621497e+00 -2.060693775732e+03 -8.593467475041e-01  7.914127686654e+01 -6.161779408752e-04 
 1.174897554940e+00 -2.060693758784e+03 -8.793634974025e-01  7.914127686634e+01 -6.305305688941e-04 
 1.202264434617e+00 -2.060693741042e+03 -8.998464967872e-01  7.914127686612e+01 -6.452175125665e-04 
 1.230268770812e+00 -2.060693722460e+03 -9.208066059587e-01  7.914127686590e+01 -6.602465591044e-04 
 1.258925411794e+00 -2.060693703001e+03 -9.422549381959e-01  7.914127686545e+01 -6.756256771042e-04 
 1.288249551693e+00 -2.060693682628e+03 -9.642028656337e-01  7.914127686521e+01 -6.913630207838e-04 
 1.318256738556e+00 -2.060693661291e+03 -9.866620252872e-01  7.914127686495e+01 -7.074669342880e-04 
 1.348962882592e+00 -2.060693638957e+03 -1.009644325249e+00  7.914127686468e+01 -7.239459561250e-04 
 1.380384264603e+00 -2.060693615560e+03 -1.033161950951e+00  7.914127686440e+01 -7.408088236903e-04 
 1.412537544623e+00 -2.060693591067e+03 -1.057227371691e+00  7.914127686410e+01 -7.580644778995e-04 
 1.445439770746e+00 -2.060693565414e+03 -1.081853347183e+00  7.914127686379e+01 -7.757220679288e-04 
 1.479108388168e+00 -2.060693538557e+03 -1.107052934372e+00  7.914127686347e+01 -7.937909560661e-04 
 1.513561248436e+00 -2.060693510434e+03 -1.132839494313e+00  7.914127686313e+01 -8.122807226752e-04 
 1.548816618912e+00 -2.060693480986e+03 -1.159226699288e+00  7.914127686278e+01 -8.312011712748e-04 
 1.584893192461e+00 -2.060693450145e+03 -1.186228540031e+00  7.914127686240e+01 -8.505623337374e-04 
 1.621810097359e+00 -2.060693417855e+03 -1.213859333172e+00  7.914127686202e+01 -8.703744756076e-04 
 1.659586907438e+00 -2.060693384046e+03 -1.242133728803e+00  7.914127686139e+01 -8.906481015412e-04 
