polarity,physical_row,physical_col,core_row,core_col,net,electrical,instance,local_x_um,local_y_um
P,0,52,,,EDGE,0,XP_r00_c52_EDGE,312.000,0.000
P,0,53,,,EDGE,0,XP_r00_c53_EDGE,318.000,0.000
P,0,54,,,EDGE,0,XP_r00_c54_EDGE,324.000,0.000
P,0,55,,,EDGE,0,XP_r00_c55_EDGE,330.000,0.000
P,0,56,,,EDGE,0,XP_r00_c56_EDGE,336.000,0.000
P,0,57,,,EDGE,0,XP_r00_c57_EDGE,342.000,0.000
P,0,58,,,EDGE,0,XP_r00_c58_EDGE,348.000,0.000
P,0,59,,,EDGE,0,XP_r00_c59_EDGE,354.000,0.000
P,0,60,,,EDGE,0,XP_r00_c60_EDGE,360.000,0.000
P,0,61,,,EDGE,0,XP_r00_c61_EDGE,366.000,0.000
P,0,62,,,EDGE,0,XP_r00_c62_EDGE,372.000,0.000
P,0,63,,,EDGE,0,XP_r00_c63_EDGE,378.000,0.000
P,0,64,,,EDGE,0,XP_r00_c64_EDGE,384.000,0.000
P,0,65,,,EDGE,0,XP_r00_c65_EDGE,390.000,0.000
P,1,0,,,EDGE,0,XP_r01_c00_EDGE,0.000,4.540
P,1,1,0,0,B11,1,XP_r01_c01_B11,6.000,4.540
P,1,2,0,1,B11,1,XP_r01_c02_B11,12.000,4.540
P,1,3,0,2,B11,1,XP_r01_c03_B11,18.000,4.540
P,1,4,0,3,B11,1,XP_r01_c04_B11,24.000,4.540
P,1,5,0,4,B11,1,XP_r01_c05_B11,30.000,4.540
P,1,6,0,5,B11,1,XP_r01_c06_B11,36.000,4.540
P,1,7,0,6,B11,1,XP_r01_c07_B11,42.000,4.540
P,1,8,0,7,B11,1,XP_r01_c08_B11,48.000,4.540
P,1,9,0,8,B11,1,XP_r01_c09_B11,54.000,4.540
P,1,10,0,9,B11,1,XP_r01_c10_B11,60.000,4.540
P,1,11,0,10,B11,1,XP_r01_c11_B11,66.000,4.540
P,1,12,0,11,B11,1,XP_r01_c12_B11,72.000,4.540
P,1,13,0,12,B11,1,XP_r01_c13_B11,78.000,4.540
P,1,14,0,13,B11,1,XP_r01_c14_B11,84.000,4.540
P,1,15,0,14,B11,1,XP_r01_c15_B11,90.000,4.540
P,1,16,0,15,B11,1,XP_r01_c16_B11,96.000,4.540
P,1,17,0,16,B11,1,XP_r01_c17_B11,102.000,4.540
P,1,18,0,17,B11,1,XP_r01_c18_B11,108.000,4.540
P,1,19,0,18,B11,1,XP_r01_c19_B11,114.000,4.540
P,1,20,0,19,B11,1,XP_r01_c20_B11,120.000,4.540
P,1,21,0,20,B11,1,XP_r01_c21_B11,126.000,4.540
P,1,22,0,21,B11,1,XP_r01_c22_B11,132.000,4.540
P,1,23,0,22,B11,1,XP_r01_c23_B11,138.000,4.540
P,1,24,0,23,B11,1,XP_r01_c24_B11,144.000,4.540
P,1,25,0,24,B11,1,XP_r01_c25_B11,150.000,4.540
P,1,26,0,25,B11,1,XP_r01_c26_B11,156.000,4.540
P,1,27,0,26,B11,1,XP_r01_c27_B11,162.000,4.540
P,1,28,0,27,B11,1,XP_r01_c28_B11,168.000,4.540
P,1,29,0,28,B11,1,XP_r01_c29_B11,174.000,4.540
P,1,30,0,29,B11,1,XP_r01_c30_B11,180.000,4.540
P,1,31,0,30,B11,1,XP_r01_c31_B11,186.000,4.540
P,1,32,0,31,B11,1,XP_r01_c32_B11,192.000,4.540
P,1,33,0,32,B11,1,XP_r01_c33_B11,198.000,4.540
P,1,34,0,33,B11,1,XP_r01_c34_B11,204.000,4.540
P,1,35,0,34,B11,1,XP_r01_c35_B11,210.000,4.540
P,1,36,0,35,B11,1,XP_r01_c36_B11,216.000,4.540
P,1,37,0,36,B11,1,XP_r01_c37_B11,222.000,4.540
P,1,38,0,37,B11,1,XP_r01_c38_B11,228.000,4.540
P,1,39,0,38,B11,1,XP_r01_c39_B11,234.000,4.540
P,1,40,0,39,B11,1,XP_r01_c40_B11,240.000,4.540
