 time            od              hd              cm              v(acq)          v(sp)           v(sn)           i(vdd)         
 0.00000000e+00 -3.39315217e-01  7.30995136e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 5.00000000e-11 -3.39315217e-01  7.30995131e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.00000000e-10 -3.39315217e-01  7.30995128e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 2.00000000e-10 -3.39315217e-01  7.30995121e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 4.00000000e-10 -3.39315217e-01  7.30995111e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 8.00000000e-10 -3.39315217e-01  7.30995099e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.60000000e-09 -3.39315217e-01  7.30995088e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 3.20000000e-09 -3.39315217e-01  7.30995079e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 6.40000000e-09 -3.39315217e-01  7.30995052e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.14000000e-08 -3.39315217e-01  7.30995009e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.64000000e-08 -3.39315217e-01  7.30994948e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 2.14000000e-08 -3.39315217e-01  7.30994886e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 2.64000000e-08 -3.39315217e-01  7.30994824e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 3.14000000e-08 -3.39315217e-01  7.30994762e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 3.64000000e-08 -3.39315217e-01  7.30994700e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 4.14000000e-08 -3.39315217e-01  7.30994637e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 4.64000000e-08 -3.39315217e-01  7.30994575e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 5.14000000e-08 -3.39315217e-01  7.30994513e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 5.64000000e-08 -3.39315218e-01  7.30994451e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 6.14000000e-08 -3.39315218e-01  7.30994389e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 6.64000000e-08 -3.39315218e-01  7.30994328e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 7.14000000e-08 -3.39315218e-01  7.30994266e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 7.64000000e-08 -3.39315218e-01  7.30994204e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 8.14000000e-08 -3.39315218e-01  7.30994143e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 8.64000000e-08 -3.39315218e-01  7.30994081e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 9.14000000e-08 -3.39315218e-01  7.30994016e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 9.64000000e-08 -3.39315218e-01  7.30993953e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.01400000e-07 -3.39315218e-01  7.30993892e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.06400000e-07 -3.39315218e-01  7.30993831e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.11400000e-07 -3.39315218e-01  7.30993770e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.16400000e-07 -3.39315218e-01  7.30993709e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
 1.21400000e-07 -3.39315218e-01  7.30993647e-08  9.28042861e-01  0.00000000e+00  8.88750000e-01  9.11250000e-01 -9.77737037e-04 
