 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-1.58000000e-02  1.68712832e+00  7.86963939e-01  2.17797825e-01  2.06428258e-05  1.74692554e-05  3.81120805e-05 
-1.57000000e-02  1.68579628e+00  7.87016356e-01  2.17791430e-01  2.06257612e-05  1.74862380e-05  3.81119985e-05 
-1.56000000e-02  1.68441242e+00  7.87068598e-01  2.17784916e-01  2.06087657e-05  1.75031500e-05  3.81119150e-05 
-1.55000000e-02  1.68297369e+00  7.87120651e-01  2.17778276e-01  2.05918436e-05  1.75199870e-05  3.81118299e-05 
-1.54000000e-02  1.68147693e+00  7.87172502e-01  2.17771500e-01  2.05749993e-05  1.75367444e-05  3.81117430e-05 
-1.53000000e-02  1.67991875e+00  7.87224135e-01  2.17764578e-01  2.05582375e-05  1.75534175e-05  3.81116543e-05 
-1.52000000e-02  1.67829563e+00  7.87275535e-01  2.17757498e-01  2.05415631e-05  1.75700011e-05  3.81115635e-05 
-1.51000000e-02  1.67660387e+00  7.87326685e-01  2.17750251e-01  2.05249813e-05  1.75864899e-05  3.81114706e-05 
-1.50000000e-02  1.67483964e+00  7.87377568e-01  2.17742825e-01  2.05084975e-05  1.76028785e-05  3.81113753e-05 
-1.49000000e-02  1.67299896e+00  7.87428166e-01  2.17735208e-01  2.04921172e-05  1.76191611e-05  3.81112776e-05 
-1.48000000e-02  1.67107771e+00  7.87478461e-01  2.17727387e-01  2.04758463e-05  1.76353317e-05  3.81111773e-05 
-1.47000000e-02  1.66907173e+00  7.87528435e-01  2.17719351e-01  2.04596906e-05  1.76513843e-05  3.81110743e-05 
-1.46000000e-02  1.66697677e+00  7.87578067e-01  2.17711086e-01  2.04436560e-05  1.76673128e-05  3.81109683e-05 
-1.45000000e-02  1.66478857e+00  7.87627338e-01  2.17702579e-01  2.04277487e-05  1.76831110e-05  3.81108591e-05 
-1.44000000e-02  1.66250292e+00  7.87676230e-01  2.17693818e-01  2.04119745e-05  1.76987728e-05  3.81107467e-05 
