 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-2.00000000e-02  1.75089545e+00  7.99790753e-01  2.35908219e-01  2.21043259e-05  1.62241947e-05  3.83285199e-05 
-1.99000000e-02  1.75070694e+00  7.99840948e-01  2.35902754e-01  2.20855546e-05  1.62429050e-05  3.83284589e-05 
-1.98000000e-02  1.75051682e+00  7.99891192e-01  2.35897320e-01  2.20667801e-05  1.62616188e-05  3.83283982e-05 
-1.97000000e-02  1.75032506e+00  7.99941484e-01  2.35891917e-01  2.20480023e-05  1.62803362e-05  3.83283378e-05 
-1.96000000e-02  1.75013164e+00  7.99991826e-01  2.35886545e-01  2.20292214e-05  1.62990571e-05  3.83282778e-05 
-1.95000000e-02  1.74993653e+00  8.00042216e-01  2.35881204e-01  2.20104374e-05  1.63177814e-05  3.83282181e-05 
-1.94000000e-02  1.74973970e+00  8.00092655e-01  2.35875893e-01  2.19916504e-05  1.63365091e-05  3.83281587e-05 
-1.93000000e-02  1.74954111e+00  8.00143142e-01  2.35870614e-01  2.19728604e-05  1.63552401e-05  3.83280997e-05 
-1.92000000e-02  1.74934074e+00  8.00193678e-01  2.35865365e-01  2.19540674e-05  1.63739745e-05  3.83280411e-05 
-1.91000000e-02  1.74913855e+00  8.00244263e-01  2.35860147e-01  2.19352715e-05  1.63927120e-05  3.83279828e-05 
-1.90000000e-02  1.74893450e+00  8.00294896e-01  2.35854960e-01  2.19164728e-05  1.64114527e-05  3.83279248e-05 
-1.89000000e-02  1.74872857e+00  8.00345577e-01  2.35849803e-01  2.18976714e-05  1.64301965e-05  3.83278672e-05 
-1.88000000e-02  1.74852072e+00  8.00396307e-01  2.35844677e-01  2.18788672e-05  1.64489434e-05  3.83278099e-05 
-1.87000000e-02  1.74831091e+00  8.00447085e-01  2.35839582e-01  2.18600604e-05  1.64676932e-05  3.83277529e-05 
-1.86000000e-02  1.74809911e+00  8.00497911e-01  2.35834516e-01  2.18412511e-05  1.64864460e-05  3.83276963e-05 
-1.85000000e-02  1.74788527e+00  8.00548785e-01  2.35829482e-01  2.18224392e-05  1.65052016e-05  3.83276400e-05 
-1.84000000e-02  1.74766935e+00  8.00599707e-01  2.35824477e-01  2.18036248e-05  1.65239600e-05  3.83275841e-05 
-1.83000000e-02  1.74745133e+00  8.00650677e-01  2.35819503e-01  2.17848080e-05  1.65427212e-05  3.83275285e-05 
-1.82000000e-02  1.74723114e+00  8.00701695e-01  2.35814559e-01  2.17659889e-05  1.65614850e-05  3.83274732e-05 
-1.81000000e-02  1.74700875e+00  8.00752760e-01  2.35809644e-01  2.17471676e-05  1.65802514e-05  3.83274183e-05 
-1.80000000e-02  1.74678412e+00  8.00803873e-01  2.35804760e-01  2.17283440e-05  1.65990204e-05  3.83273637e-05 
-1.79000000e-02  1.74655720e+00  8.00855034e-01  2.35799906e-01  2.17095183e-05  1.66177918e-05  3.83273094e-05 
-1.78000000e-02  1.74632793e+00  8.00906242e-01  2.35795082e-01  2.16906906e-05  1.66365656e-05  3.83272555e-05 
-1.77000000e-02  1.74609628e+00  8.00957498e-01  2.35790287e-01  2.16718608e-05  1.66553418e-05  3.83272019e-05 
-1.76000000e-02  1.74586219e+00  8.01008800e-01  2.35785523e-01  2.16530291e-05  1.66741202e-05  3.83271486e-05 
-1.75000000e-02  1.74562561e+00  8.01060150e-01  2.35780787e-01  2.16341956e-05  1.66929008e-05  3.83270957e-05 
-1.74000000e-02  1.74538649e+00  8.01111547e-01  2.35776082e-01  2.16153603e-05  1.67116834e-05  3.83270430e-05 
-1.73000000e-02  1.74514476e+00  8.01162991e-01  2.35771405e-01  2.15965233e-05  1.67304681e-05  3.83269907e-05 
-1.72000000e-02  1.74490038e+00  8.01214481e-01  2.35766758e-01  2.15776847e-05  1.67492548e-05  3.83269388e-05 
-1.71000000e-02  1.74465328e+00  8.01266018e-01  2.35762140e-01  2.15588446e-05  1.67680433e-05  3.83268871e-05 
-1.70000000e-02  1.74440340e+00  8.01317602e-01  2.35757552e-01  2.15400030e-05  1.67868336e-05  3.83268358e-05 
