quantity,value
vbn_v,0.658036427
tail_v,0.23362418
nmir_v,0.808229764
vx_v,0.808229764
m1_id_a,1.91513998e-05
m2_id_a,1.91513998e-05
m3_id_a,1.91514152e-05
m4_id_a,1.91514152e-05
m5_id_a,3.83027987e-05
m1_gm_s,0.000387403355
m1_gds_s,2.40846431e-06
m2_gm_s,0.000387403355
m2_gds_s,2.40846431e-06
m3_gm_s,0.000325766732
m3_gds_s,8.57034286e-07
m4_gm_s,0.000325766732
m4_gds_s,8.57034286e-07
m5_gm_s,0.00064695938
m5_gds_s,1.13519318e-05
m1_vdsat_v,0.0768638732
m2_vdsat_v,0.0768638732
m3_vdsat_v,0.0672199742
m4_vdsat_v,0.0672199742
m5_vdsat_v,0.0985943979
idd_a,4.83028011e-05
