 frequency       gain_db         phase_deg      
 1.23026877e+01  4.14724848e+01  1.79999912e+02 
 1.25892541e+01  4.14724848e+01  1.79999910e+02 
 1.28824955e+01  4.14724848e+01  1.79999907e+02 
 1.31825674e+01  4.14724848e+01  1.79999905e+02 
 1.34896288e+01  4.14724848e+01  1.79999903e+02 
 1.38038426e+01  4.14724848e+01  1.79999901e+02 
 1.41253754e+01  4.14724848e+01  1.79999898e+02 
 1.44543977e+01  4.14724848e+01  1.79999896e+02 
 1.47910839e+01  4.14724848e+01  1.79999894e+02 
 1.51356125e+01  4.14724848e+01  1.79999891e+02 
 1.54881662e+01  4.14724848e+01  1.79999889e+02 
 1.58489319e+01  4.14724848e+01  1.79999886e+02 
 1.62181010e+01  4.14724848e+01  1.79999883e+02 
 1.65958691e+01  4.14724848e+01  1.79999881e+02 
 1.69824365e+01  4.14724848e+01  1.79999878e+02 
 1.73780083e+01  4.14724848e+01  1.79999875e+02 
 1.77827941e+01  4.14724848e+01  1.79999872e+02 
 1.81970086e+01  4.14724848e+01  1.79999869e+02 
 1.86208714e+01  4.14724848e+01  1.79999866e+02 
 1.90546072e+01  4.14724848e+01  1.79999863e+02 
 1.94984460e+01  4.14724848e+01  1.79999860e+02 
 1.99526231e+01  4.14724848e+01  1.79999857e+02 
 2.04173794e+01  4.14724848e+01  1.79999853e+02 
 2.08929613e+01  4.14724848e+01  1.79999850e+02 
 2.13796209e+01  4.14724848e+01  1.79999846e+02 
 2.18776162e+01  4.14724848e+01  1.79999843e+02 
 2.23872114e+01  4.14724848e+01  1.79999839e+02 
 2.29086765e+01  4.14724848e+01  1.79999835e+02 
 2.34422882e+01  4.14724848e+01  1.79999832e+02 
 2.39883292e+01  4.14724848e+01  1.79999828e+02 
 2.45470892e+01  4.14724848e+01  1.79999824e+02 
 2.51188643e+01  4.14724848e+01  1.79999819e+02 
 2.57039578e+01  4.14724848e+01  1.79999815e+02 
 2.63026799e+01  4.14724848e+01  1.79999811e+02 
 2.69153480e+01  4.14724848e+01  1.79999807e+02 
 2.75422870e+01  4.14724848e+01  1.79999802e+02 
 2.81838293e+01  4.14724848e+01  1.79999797e+02 
 2.88403150e+01  4.14724848e+01  1.79999793e+02 
 2.95120923e+01  4.14724848e+01  1.79999788e+02 
 3.01995172e+01  4.14724848e+01  1.79999783e+02 
 3.09029543e+01  4.14724848e+01  1.79999778e+02 
 3.16227766e+01  4.14724848e+01  1.79999773e+02 
 3.23593657e+01  4.14724848e+01  1.79999767e+02 
 3.31131121e+01  4.14724848e+01  1.79999762e+02 
 3.38844156e+01  4.14724848e+01  1.79999756e+02 
 3.46736850e+01  4.14724848e+01  1.79999751e+02 
 3.54813389e+01  4.14724848e+01  1.79999745e+02 
 3.63078055e+01  4.14724848e+01  1.79999739e+02 
 3.71535229e+01  4.14724848e+01  1.79999733e+02 
 3.80189396e+01  4.14724848e+01  1.79999727e+02 
 3.89045145e+01  4.14724848e+01  1.79999720e+02 
 3.98107171e+01  4.14724848e+01  1.79999714e+02 
 4.07380278e+01  4.14724848e+01  1.79999707e+02 
 4.16869383e+01  4.14724848e+01  1.79999700e+02 
 4.26579519e+01  4.14724848e+01  1.79999693e+02 
 4.36515832e+01  4.14724848e+01  1.79999686e+02 
 4.46683592e+01  4.14724848e+01  1.79999679e+02 
 4.57088190e+01  4.14724848e+01  1.79999671e+02 
 4.67735141e+01  4.14724848e+01  1.79999664e+02 
 4.78630092e+01  4.14724848e+01  1.79999656e+02 
 4.89778819e+01  4.14724848e+01  1.79999648e+02 
 5.01187234e+01  4.14724848e+01  1.79999640e+02 
 5.12861384e+01  4.14724848e+01  1.79999631e+02 
 5.24807460e+01  4.14724848e+01  1.79999623e+02 
 5.37031796e+01  4.14724848e+01  1.79999614e+02 
 5.49540874e+01  4.14724848e+01  1.79999605e+02 
 5.62341325e+01  4.14724848e+01  1.79999596e+02 
 5.75439937e+01  4.14724848e+01  1.79999586e+02 
 5.88843655e+01  4.14724848e+01  1.79999577e+02 
 6.02559586e+01  4.14724848e+01  1.79999567e+02 
 6.16595002e+01  4.14724848e+01  1.79999557e+02 
 6.30957344e+01  4.14724848e+01  1.79999547e+02 
 6.45654229e+01  4.14724848e+01  1.79999536e+02 
 6.60693448e+01  4.14724848e+01  1.79999525e+02 
 6.76082975e+01  4.14724848e+01  1.79999514e+02 
 6.91830971e+01  4.14724848e+01  1.79999503e+02 
 7.07945784e+01  4.14724848e+01  1.79999491e+02 
 7.24435960e+01  4.14724848e+01  1.79999479e+02 
 7.41310241e+01  4.14724848e+01  1.79999467e+02 
 7.58577575e+01  4.14724848e+01  1.79999455e+02 
 7.76247117e+01  4.14724848e+01  1.79999442e+02 
 7.94328235e+01  4.14724848e+01  1.79999429e+02 
 8.12830516e+01  4.14724848e+01  1.79999416e+02 
 8.31763771e+01  4.14724848e+01  1.79999402e+02 
 8.51138038e+01  4.14724848e+01  1.79999388e+02 
 8.70963590e+01  4.14724848e+01  1.79999374e+02 
 8.91250938e+01  4.14724848e+01  1.79999359e+02 
 9.12010839e+01  4.14724848e+01  1.79999344e+02 
 9.33254301e+01  4.14724848e+01  1.79999329e+02 
 9.54992586e+01  4.14724848e+01  1.79999314e+02 
 9.77237221e+01  4.14724848e+01  1.79999298e+02 
 1.00000000e+02  4.14724848e+01  1.79999281e+02 
 1.02329299e+02  4.14724848e+01  1.79999265e+02 
 1.04712855e+02  4.14724848e+01  1.79999247e+02 
 1.07151931e+02  4.14724848e+01  1.79999230e+02 
 1.09647820e+02  4.14724848e+01  1.79999212e+02 
 1.12201845e+02  4.14724848e+01  1.79999194e+02 
