 frequency              gain                  
 1.000000000000000e+00  4.039495609322958e+00 
 1.019373485938873e+00  4.039495609322885e+00 
 1.039122303835169e+00  4.039495609322807e+00 
 1.059253725177289e+00  4.039495609322707e+00 
 1.079775162327710e+00  4.039495609322649e+00 
 1.100694171252210e+00  4.039495609322556e+00 
 1.122018454301964e+00  4.039495609322449e+00 
 1.143755863049539e+00  4.039495609322384e+00 
 1.165914401179832e+00  4.039495609322261e+00 
 1.188502227437019e+00  4.039495609322146e+00 
 1.211527658628589e+00  4.039495609322051e+00 
 1.234999172687586e+00  4.039495609321930e+00 
 1.258925411794168e+00  4.039495609321796e+00 
 1.283315185557652e+00  4.039495609321671e+00 
 1.308177474260195e+00  4.039495609321541e+00 
 1.333521432163325e+00  4.039495609321419e+00 
 1.359356390878527e+00  4.039495609321284e+00 
 1.385691862803129e+00  4.039495609321165e+00 
 1.412537544622755e+00  4.039495609320990e+00 
 1.439903320881634e+00  4.039495609320864e+00 
 1.467799267622071e+00  4.039495609320679e+00 
 1.496235656094435e+00  4.039495609320543e+00 
 1.525222956539020e+00  4.039495609320405e+00 
 1.554771842041175e+00  4.039495609320210e+00 
 1.584893192461115e+00  4.039495609320038e+00 
 1.615598098439875e+00  4.039495609319812e+00 
 1.646897865482870e+00  4.039495609319632e+00 
 1.678804018122562e+00  4.039495609319417e+00 
 1.711328304161782e+00  4.039495609319172e+00 
 1.744482698999256e+00  4.039495609318977e+00 
 1.778279410038925e+00  4.039495609318740e+00 
 1.812730881184701e+00  4.039495609318511e+00 
 1.847849797422293e+00  4.039495609318264e+00 
 1.883649089489803e+00  4.039495609317986e+00 
 1.920141938638804e+00  4.039495609317733e+00 
 1.957341781487663e+00  4.039495609317443e+00 
 1.995262314968882e+00  4.039495609317128e+00 
 2.033917501372295e+00  4.039495609316822e+00 
 2.073321573485958e+00  4.039495609316509e+00 
 2.113489039836649e+00  4.039495609316186e+00 
 2.154434690031886e+00  4.039495609315841e+00 
 2.196173600205439e+00  4.039495609315503e+00 
 2.238721138568343e+00  4.039495609315152e+00 
 2.282092971067454e+00  4.039495609314772e+00 
 2.326305067153629e+00  4.039495609314379e+00 
 2.371373705661659e+00  4.039495609313956e+00 
 2.417315480804108e+00  4.039495609313450e+00 
