 frequency       av              ph             
 1.00000000e+00 -2.58114557e-02 -1.03960056e-05 
 1.02920053e+00 -2.58114557e-02 -1.06995744e-05 
 1.05925373e+00 -2.58114557e-02 -1.10120077e-05 
 1.09018449e+00 -2.58114557e-02 -1.13335641e-05 
 1.12201845e+00 -2.58114557e-02 -1.16645101e-05 
 1.15478198e+00 -2.58114557e-02 -1.20051200e-05 
 1.18850223e+00 -2.58114557e-02 -1.23556758e-05 
 1.22320712e+00 -2.58114557e-02 -1.27164681e-05 
 1.25892541e+00 -2.58114557e-02 -1.30877956e-05 
 1.29568670e+00 -2.58114557e-02 -1.34699662e-05 
 1.33352143e+00 -2.58114557e-02 -1.38632963e-05 
 1.37246096e+00 -2.58114557e-02 -1.42681118e-05 
 1.41253754e+00 -2.58114557e-02 -1.46847482e-05 
 1.45378439e+00 -2.58114557e-02 -1.51135506e-05 
 1.49623566e+00 -2.58114557e-02 -1.55548743e-05 
 1.53992653e+00 -2.58114557e-02 -1.60090848e-05 
 1.58489319e+00 -2.58114557e-02 -1.64765585e-05 
 1.63117291e+00 -2.58114557e-02 -1.69576827e-05 
 1.67880402e+00 -2.58114557e-02 -1.74528560e-05 
 1.72782598e+00 -2.58114557e-02 -1.79624886e-05 
 1.77827941e+00 -2.58114557e-02 -1.84870027e-05 
 1.83020611e+00 -2.58114557e-02 -1.90268329e-05 
 1.88364909e+00 -2.58114557e-02 -1.95824265e-05 
 1.93865264e+00 -2.58114557e-02 -2.01542437e-05 
 1.99526231e+00 -2.58114557e-02 -2.07427582e-05 
 2.05352503e+00 -2.58114557e-02 -2.13484577e-05 
 2.11348904e+00 -2.58114557e-02 -2.19718439e-05 
 2.17520403e+00 -2.58114557e-02 -2.26134333e-05 
 2.23872114e+00 -2.58114557e-02 -2.32737575e-05 
 2.30409298e+00 -2.58114557e-02 -2.39533635e-05 
 2.37137371e+00 -2.58114557e-02 -2.46528143e-05 
 2.44061907e+00 -2.58114557e-02 -2.53726895e-05 
 2.51188643e+00 -2.58114557e-02 -2.61135854e-05 
 2.58523484e+00 -2.58114557e-02 -2.68761159e-05 
 2.66072506e+00 -2.58114557e-02 -2.76609126e-05 
 2.73841963e+00 -2.58114557e-02 -2.84686258e-05 
 2.81838293e+00 -2.58114557e-02 -2.92999247e-05 
 2.90068120e+00 -2.58114557e-02 -3.01554980e-05 
 2.98538262e+00 -2.58114557e-02 -3.10360544e-05 
 3.07255737e+00 -2.58114557e-02 -3.19423236e-05 
 3.16227766e+00 -2.58114557e-02 -3.28750562e-05 
 3.25461783e+00 -2.58114557e-02 -3.38350252e-05 
 3.34965439e+00 -2.58114556e-02 -3.48230258e-05 
 3.44746607e+00 -2.58114556e-02 -3.58398765e-05 
 3.54813389e+00 -2.58114556e-02 -3.68864198e-05 
 3.65174127e+00 -2.58114556e-02 -3.79635227e-05 
 3.75837404e+00 -2.58114556e-02 -3.90720776e-05 
 3.86812055e+00 -2.58114556e-02 -4.02130028e-05 
 3.98107171e+00 -2.58114556e-02 -4.13872437e-05 
 4.09732110e+00 -2.58114556e-02 -4.25957731e-05 
 4.21696503e+00 -2.58114556e-02 -4.38395921e-05 
 4.34010264e+00 -2.58114556e-02 -4.51197313e-05 
 4.46683592e+00 -2.58114556e-02 -4.64372512e-05 
 4.59726989e+00 -2.58114556e-02 -4.77932435e-05 
 4.73151259e+00 -2.58114556e-02 -4.91888314e-05 
 4.86967525e+00 -2.58114556e-02 -5.06251712e-05 
 5.01187234e+00 -2.58114556e-02 -5.21034529e-05 
 5.15822165e+00 -2.58114556e-02 -5.36249011e-05 
 5.30884444e+00 -2.58114556e-02 -5.51907765e-05 
 5.46386550e+00 -2.58114556e-02 -5.68023763e-05 
 5.62341325e+00 -2.58114556e-02 -5.84610356e-05 
 5.78761988e+00 -2.58114556e-02 -6.01681287e-05 
 5.95662144e+00 -2.58114556e-02 -6.19250698e-05 
 6.13055792e+00 -2.58114556e-02 -6.37333145e-05 
 6.30957344e+00 -2.58114556e-02 -6.55943608e-05 
 6.49381632e+00 -2.58114556e-02 -6.75097508e-05 
 6.68343918e+00 -2.58114556e-02 -6.94810711e-05 
 6.87859912e+00 -2.58114556e-02 -7.15099550e-05 
 7.07945784e+00 -2.58114556e-02 -7.35980834e-05 
 7.28618175e+00 -2.58114556e-02 -7.57471862e-05 
 7.49894209e+00 -2.58114556e-02 -7.79590440e-05 
 7.71791516e+00 -2.58114556e-02 -8.02354891e-05 
 7.94328235e+00 -2.58114556e-02 -8.25784077e-05 
 8.17523038e+00 -2.58114556e-02 -8.49897408e-05 
 8.41395142e+00 -2.58114556e-02 -8.74714860e-05 
 8.65964323e+00 -2.58114556e-02 -9.00256995e-05 
 8.91250938e+00 -2.58114556e-02 -9.26544974e-05 
 9.17275935e+00 -2.58114556e-02 -9.53600576e-05 
 9.44060876e+00 -2.58114556e-02 -9.81446215e-05 
 9.71627952e+00 -2.58114556e-02 -1.01010496e-04 
 1.00000000e+01 -2.58114556e-02 -1.03960056e-04 
 1.02920053e+01 -2.58114556e-02 -1.06995744e-04 
 1.05925373e+01 -2.58114556e-02 -1.10120077e-04 
 1.09018449e+01 -2.58114556e-02 -1.13335641e-04 
 1.12201845e+01 -2.58114556e-02 -1.16645101e-04 
 1.15478198e+01 -2.58114556e-02 -1.20051200e-04 
 1.18850223e+01 -2.58114556e-02 -1.23556758e-04 
 1.22320712e+01 -2.58114556e-02 -1.27164681e-04 
 1.25892541e+01 -2.58114556e-02 -1.30877956e-04 
 1.29568670e+01 -2.58114556e-02 -1.34699662e-04 
 1.33352143e+01 -2.58114556e-02 -1.38632963e-04 
 1.37246096e+01 -2.58114556e-02 -1.42681118e-04 
 1.41253754e+01 -2.58114556e-02 -1.46847482e-04 
 1.45378439e+01 -2.58114556e-02 -1.51135506e-04 
 1.49623566e+01 -2.58114556e-02 -1.55548743e-04 
 1.53992653e+01 -2.58114556e-02 -1.60090848e-04 
 1.58489319e+01 -2.58114556e-02 -1.64765585e-04 
 1.63117291e+01 -2.58114556e-02 -1.69576827e-04 
 1.67880402e+01 -2.58114555e-02 -1.74528560e-04 
 1.72782598e+01 -2.58114555e-02 -1.79624886e-04 
 1.77827941e+01 -2.58114555e-02 -1.84870027e-04 
 1.83020611e+01 -2.58114555e-02 -1.90268329e-04 
 1.88364909e+01 -2.58114555e-02 -1.95824265e-04 
 1.93865264e+01 -2.58114555e-02 -2.01542437e-04 
 1.99526231e+01 -2.58114555e-02 -2.07427582e-04 
