device,ids,gm,gds,vgs,vds,vdsat
M8,-9.999998820817405e-06,0.0001020060154098751,3.36458221676724e-07,-1.16724668807448,-1.16724668807448,-0.1697032387080531
M9,-9.991455090098706e-06,0.0001019238855917205,3.417718766349612e-07,-1.16724668807448,-1.142051055908432,-0.1696953444088251
M10,9.991455574786332e-06,0.0001727560309578945,1.036214078893169e-06,0.657948944091568,0.657948944091568,0.09235519778443177
M1,1.90117313757613e-05,0.0003818206113818187,3.889986492092603e-06,0.6852772303133909,0.5774296717132985,0.07456184962951591
M2,1.901173137576132e-05,0.000381820611381819,3.889986492092581e-06,0.6852772303133909,0.577429671713306,0.07456184962951591
M3A,-9.50586500833823e-06,0.0001506444116729327,9.78294305358927e-07,-1.007847558600092,-1.007847558600092,-0.08721542695150156
M3B,-9.50586500833823e-06,0.0001506444116729327,9.78294305358927e-07,-1.007847558600092,-1.007847558600092,-0.08721542695150156
M4A,-9.505865008338227e-06,0.0001506444116729326,9.782943053589296e-07,-1.007847558600092,-1.007847558600085,-0.08721542695150156
M4B,-9.505865008338227e-06,0.0001506444116729326,9.782943053589296e-07,-1.007847558600092,-1.007847558600085,-0.08721542695150156
M5,3.802346205207837e-05,0.0006416107571551585,1.313440308001934e-05,0.657948944091568,0.2147227696866091,0.0985417932030154
M6,8.359470313212163e-05,0.0008380820034352287,8.509194429232494e-06,0.792152441399915,0.9292125074322217,0.1585112725706505
M7A,-4.644341372004939e-05,0.0004851531157351608,1.968393664552102e-06,-1.16724668807448,-0.8707874925677783,-0.1650042077995001
M7B,-4.644341372004939e-05,0.0004851531157351608,1.968393664552102e-06,-1.16724668807448,-0.8707874925677783,-0.1650042077995001
