 frequency       mag             ph             
 4.67735141e+00  9.36086966e+01  1.47092731e+02 
 4.78630092e+00  9.35487016e+01  1.46488187e+02 
 4.89778819e+00  9.34867550e+01  1.45878186e+02 
 5.01187234e+00  9.34228223e+01  1.45262958e+02 
 5.12861384e+00  9.33568701e+01  1.44642742e+02 
 5.24807460e+00  9.32888667e+01  1.44017793e+02 
 5.37031796e+00  9.32187816e+01  1.43388372e+02 
 5.49540874e+00  9.31465858e+01  1.42754756e+02 
 5.62341325e+00  9.30722522e+01  1.42117226e+02 
 5.75439937e+00  9.29957554e+01  1.41476077e+02 
 5.88843655e+00  9.29170719e+01  1.40831611e+02 
 6.02559586e+00  9.28361801e+01  1.40184139e+02 
 6.16595002e+00  9.27530604e+01  1.39533978e+02 
 6.30957344e+00  9.26676955e+01  1.38881454e+02 
 6.45654229e+00  9.25800703e+01  1.38226897e+02 
 6.60693448e+00  9.24901717e+01  1.37570645e+02 
 6.76082975e+00  9.23979893e+01  1.36913037e+02 
 6.91830971e+00  9.23035147e+01  1.36254418e+02 
 7.07945784e+00  9.22067421e+01  1.35595136e+02 
 7.24435960e+00  9.21076682e+01  1.34935537e+02 
 7.41310241e+00  9.20062918e+01  1.34275973e+02 
 7.58577575e+00  9.19026146e+01  1.33616793e+02 
 7.76247117e+00  9.17966404e+01  1.32958345e+02 
 7.94328235e+00  9.16883754e+01  1.32300976e+02 
 8.12830516e+00  9.15778284e+01  1.31645028e+02 
 8.31763771e+00  9.14650105e+01  1.30990843e+02 
 8.51138038e+00  9.13499350e+01  1.30338756e+02 
 8.70963590e+00  9.12326175e+01  1.29689096e+02 
 8.91250938e+00  9.11130758e+01  1.29042187e+02 
 9.12010839e+00  9.09913299e+01  1.28398346e+02 
 9.33254301e+00  9.08674017e+01  1.27757882e+02 
 9.54992586e+00  9.07413150e+01  1.27121096e+02 
 9.77237221e+00  9.06130958e+01  1.26488278e+02 
 1.00000000e+01  9.04827715e+01  1.25859712e+02 
 1.02329299e+01  9.03503713e+01  1.25235669e+02 
 1.04712855e+01  9.02159259e+01  1.24616410e+02 
 1.07151931e+01  9.00794675e+01  1.24002186e+02 
 1.09647820e+01  8.99410297e+01  1.23393235e+02 
 1.12201845e+01  8.98006471e+01  1.22789786e+02 
 1.14815362e+01  8.96583555e+01  1.22192054e+02 
 1.17489755e+01  8.95141919e+01  1.21600241e+02 
 1.20226443e+01  8.93681938e+01  1.21014541e+02 
 1.23026877e+01  8.92203997e+01  1.20435131e+02 
 1.25892541e+01  8.90708486e+01  1.19862179e+02 
 1.28824955e+01  8.89195804e+01  1.19295839e+02 
 1.31825674e+01  8.87666349e+01  1.18736254e+02 
 1.34896288e+01  8.86120525e+01  1.18183554e+02 
 1.38038426e+01  8.84558740e+01  1.17637857e+02 
 1.41253754e+01  8.82981401e+01  1.17099271e+02 
 1.44543977e+01  8.81388915e+01  1.16567890e+02 
 1.47910839e+01  8.79781690e+01  1.16043798e+02 
 1.51356125e+01  8.78160133e+01  1.15527069e+02 
 1.54881662e+01  8.76524647e+01  1.15017764e+02 
 1.58489319e+01  8.74875636e+01  1.14515936e+02 
 1.62181010e+01  8.73213496e+01  1.14021626e+02 
 1.65958691e+01  8.71538622e+01  1.13534867e+02 
 1.69824365e+01  8.69851404e+01  1.13055683e+02 
 1.73780083e+01  8.68152226e+01  1.12584086e+02 
 1.77827941e+01  8.66441468e+01  1.12120083e+02 
 1.81970086e+01  8.64719501e+01  1.11663671e+02 
 1.86208714e+01  8.62986693e+01  1.11214840e+02 
 1.90546072e+01  8.61243402e+01  1.10773572e+02 
 1.94984460e+01  8.59489983e+01  1.10339843e+02 
 1.99526231e+01  8.57726780e+01  1.09913622e+02 
 2.04173794e+01  8.55954131e+01  1.09494872e+02 
 2.08929613e+01  8.54172366e+01  1.09083549e+02 
 2.13796209e+01  8.52381807e+01  1.08679605e+02 
 2.18776162e+01  8.50582770e+01  1.08282986e+02 
 2.23872114e+01  8.48775559e+01  1.07893635e+02 
 2.29086765e+01  8.46960474e+01  1.07511489e+02 
 2.34422882e+01  8.45137805e+01  1.07136481e+02 
 2.39883292e+01  8.43307833e+01  1.06768541e+02 
 2.45470892e+01  8.41470832e+01  1.06407595e+02 
 2.51188643e+01  8.39627069e+01  1.06053567e+02 
 2.57039578e+01  8.37776800e+01  1.05706376e+02 
 2.63026799e+01  8.35920275e+01  1.05365942e+02 
 2.69153480e+01  8.34057737e+01  1.05032180e+02 
 2.75422870e+01  8.32189419e+01  1.04705003e+02 
 2.81838293e+01  8.30315549e+01  1.04384323e+02 
 2.88403150e+01  8.28436345e+01  1.04070051e+02 
 2.95120923e+01  8.26552019e+01  1.03762095e+02 
 3.01995172e+01  8.24662774e+01  1.03460364e+02 
 3.09029543e+01  8.22768810e+01  1.03164765e+02 
 3.16227766e+01  8.20870315e+01  1.02875203e+02 
 3.23593657e+01  8.18967473e+01  1.02591586e+02 
 3.31131121e+01  8.17060462e+01  1.02313816e+02 
 3.38844156e+01  8.15149453e+01  1.02041801e+02 
 3.46736850e+01  8.13234608e+01  1.01775444e+02 
 3.54813389e+01  8.11316087e+01  1.01514651e+02 
 3.63078055e+01  8.09394042e+01  1.01259326e+02 
 3.71535229e+01  8.07468619e+01  1.01009375e+02 
 3.80189396e+01  8.05539960e+01  1.00764702e+02 
 3.89045145e+01  8.03608199e+01  1.00525215e+02 
 3.98107171e+01  8.01673467e+01  1.00290820e+02 
 4.07380278e+01  7.99735889e+01  1.00061423e+02 
 4.16869383e+01  7.97795586e+01  9.98369334e+01 
 4.26579519e+01  7.95852672e+01  9.96172585e+01 
 4.36515832e+01  7.93907260e+01  9.94023082e+01 
 4.46683592e+01  7.91959454e+01  9.91919927e+01 
 4.57088190e+01  7.90009358e+01  9.89862230e+01 
 4.67735141e+01  7.88057070e+01  9.87849115e+01 
 4.78630092e+01  7.86102683e+01  9.85879712e+01 
 4.89778819e+01  7.84146288e+01  9.83953164e+01 
 5.01187234e+01  7.82187972e+01  9.82068623e+01 
 5.12861384e+01  7.80227817e+01  9.80225253e+01 
 5.24807460e+01  7.78265902e+01  9.78422230e+01 
 5.37031796e+01  7.76302305e+01  9.76658740e+01 
 5.49540874e+01  7.74337098e+01  9.74933983e+01 
 5.62341325e+01  7.72370351e+01  9.73247169e+01 
 5.75439937e+01  7.70402131e+01  9.71597521e+01 
 5.88843655e+01  7.68432502e+01  9.69984273e+01 
 6.02559586e+01  7.66461527e+01  9.68406672e+01 
 6.16595002e+01  7.64489263e+01  9.66863978e+01 
 6.30957344e+01  7.62515767e+01  9.65355463e+01 
 6.45654229e+01  7.60541094e+01  9.63880410e+01 
 6.60693448e+01  7.58565294e+01  9.62438115e+01 
 6.76082975e+01  7.56588418e+01  9.61027887e+01 
 6.91830971e+01  7.54610513e+01  9.59649047e+01 
 7.07945784e+01  7.52631624e+01  9.58300927e+01 
 7.24435960e+01  7.50651794e+01  9.56982872e+01 
 7.41310241e+01  7.48671065e+01  9.55694240e+01 
 7.58577575e+01  7.46689477e+01  9.54434398e+01 
 7.76247117e+01  7.44707067e+01  9.53202729e+01 
 7.94328235e+01  7.42723872e+01  9.51998625e+01 
 8.12830516e+01  7.40739927e+01  9.50821489e+01 
 8.31763771e+01  7.38755265e+01  9.49670738e+01 
 8.51138038e+01  7.36769918e+01  9.48545798e+01 
 8.70963590e+01  7.34783916e+01  9.47446108e+01 
 8.91250938e+01  7.32797288e+01  9.46371116e+01 
 9.12010839e+01  7.30810062e+01  9.45320284e+01 
 9.33254301e+01  7.28822265e+01  9.44293083e+01 
 9.54992586e+01  7.26833921e+01  9.43288994e+01 
 9.77237221e+01  7.24845056e+01  9.42307509e+01 
 1.00000000e+02  7.22855693e+01  9.41348132e+01 
 1.02329299e+02  7.20865853e+01  9.40410375e+01 
 1.04712855e+02  7.18875558e+01  9.39493761e+01 
 1.07151931e+02  7.16884828e+01  9.38597823e+01 
 1.09647820e+02  7.14893683e+01  9.37722103e+01 
 1.12201845e+02  7.12902141e+01  9.36866154e+01 
 1.14815362e+02  7.10910220e+01  9.36029536e+01 
 1.17489755e+02  7.08917937e+01  9.35211821e+01 
 1.20226443e+02  7.06925308e+01  9.34412588e+01 
 1.23026877e+02  7.04932348e+01  9.33631427e+01 
 1.25892541e+02  7.02939072e+01  9.32867934e+01 
 1.28824955e+02  7.00945495e+01  9.32121715e+01 
 1.31825674e+02  6.98951629e+01  9.31392386e+01 
 1.34896288e+02  6.96957488e+01  9.30679568e+01 
 1.38038426e+02  6.94963085e+01  9.29982893e+01 
 1.41253754e+02  6.92968430e+01  9.29301999e+01 
 1.44543977e+02  6.90973535e+01  9.28636534e+01 
 1.47910839e+02  6.88978411e+01  9.27986151e+01 
 1.51356125e+02  6.86983068e+01  9.27350513e+01 
 1.54881662e+02  6.84987515e+01  9.26729288e+01 
 1.58489319e+02  6.82991763e+01  9.26122154e+01 
 1.62181010e+02  6.80995821e+01  9.25528793e+01 
 1.65958691e+02  6.78999696e+01  9.24948897e+01 
 1.69824365e+02  6.77003397e+01  9.24382162e+01 
 1.73780083e+02  6.75006931e+01  9.23828292e+01 
 1.77827941e+02  6.73010307e+01  9.23286999e+01 
 1.81970086e+02  6.71013531e+01  9.22757998e+01 
 1.86208714e+02  6.69016610e+01  9.22241013e+01 
 1.90546072e+02  6.67019551e+01  9.21735774e+01 
 1.94984460e+02  6.65022360e+01  9.21242015e+01 
 1.99526231e+02  6.63025042e+01  9.20759477e+01 
 2.04173794e+02  6.61027604e+01  9.20287908e+01 
 2.08929613e+02  6.59030051e+01  9.19827060e+01 
 2.13796209e+02  6.57032388e+01  9.19376691e+01 
 2.18776162e+02  6.55034619e+01  9.18936565e+01 
 2.23872114e+02  6.53036751e+01  9.18506450e+01 
 2.29086765e+02  6.51038786e+01  9.18086120e+01 
 2.34422882e+02  6.49040730e+01  9.17675354e+01 
 2.39883292e+02  6.47042587e+01  9.17273936e+01 
 2.45470892e+02  6.45044360e+01  9.16881655e+01 
 2.51188643e+02  6.43046053e+01  9.16498304e+01 
 2.57039578e+02  6.41047670e+01  9.16123682e+01 
 2.63026799e+02  6.39049215e+01  9.15757590e+01 
 2.69153480e+02  6.37050690e+01  9.15399837e+01 
 2.75422870e+02  6.35052098e+01  9.15050233e+01 
 2.81838293e+02  6.33053443e+01  9.14708594e+01 
 2.88403150e+02  6.31054728e+01  9.14374740e+01 
 2.95120923e+02  6.29055955e+01  9.14048495e+01 
 3.01995172e+02  6.27057127e+01  9.13729688e+01 
 3.09029543e+02  6.25058246e+01  9.13418148e+01 
 3.16227766e+02  6.23059315e+01  9.13113713e+01 
 3.23593657e+02  6.21060336e+01  9.12816221e+01 
 3.31131121e+02  6.19061310e+01  9.12525515e+01 
 3.38844156e+02  6.17062241e+01  9.12241442e+01 
 3.46736850e+02  6.15063130e+01  9.11963852e+01 
 3.54813389e+02  6.13063979e+01  9.11692598e+01 
 3.63078055e+02  6.11064790e+01  9.11427537e+01 
 3.71535229e+02  6.09065564e+01  9.11168528e+01 
 3.80189396e+02  6.07066304e+01  9.10915435e+01 
 3.89045145e+02  6.05067010e+01  9.10668124e+01 
 3.98107171e+02  6.03067685e+01  9.10426464e+01 
 4.07380278e+02  6.01068329e+01  9.10190328e+01 
 4.16869383e+02  5.99068944e+01  9.09959590e+01 
 4.26579519e+02  5.97069531e+01  9.09734129e+01 
 4.36515832e+02  5.95070092e+01  9.09513825e+01 
