node_a,node_b,extracted_cap_fF,intrinsic_mim_cap_fF,total_cap_fF,extracted_element_count,intrinsic_mim_device_count
N_B7,N_B8,43.2062,0,43.2062,1,0
N_B7,N_B9,3.17486,0,3.17486,1,0
N_B7,N_DUMMY,1.12173,0,1.12173,1,0
N_B7,N_EDGE_BIAS,2.99253,0,2.99253,1,0
N_B7,N_TOP,162.52,2540.16,2702.68,1,128
N_B7,VSUBS,183.71802,0,183.71802,127,0
N_B8,N_B9,44.716,0,44.716,1,0
N_B8,N_DUMMY,1.93432,0,1.93432,1,0
N_B8,N_EDGE_BIAS,3.44842,0,3.44842,1,0
N_B8,N_TOP,324.99,5080.32,5405.31,1,256
N_B8,VSUBS,266.0067,0,266.0067,255,0
N_B9,N_DUMMY,3.65477,0,3.65477,1,0
N_B9,N_EDGE_BIAS,6.28886,0,6.28886,1,0
N_B9,N_TOP,649.98,10160.64,10810.62,1,512
N_B9,VSUBS,422.15207,0,422.15207,511,0
N_DUMMY,N_EDGE_BIAS,0.82814,0,0.82814,1,0
N_DUMMY,N_TOP,7.8185,19.845,27.6635,1,1
N_DUMMY,VSUBS,24.0904,0,24.0904,1,0
N_EDGE_BIAS,N_TOP,28.0951,0,28.0951,1,0
N_EDGE_BIAS,VSUBS,335.27832,0,335.27832,522,0
N_TOP,VSUBS,11414.24201,0,11414.24201,4160,0
P_B0,P_B1,0.85575,0,0.85575,1,0
P_B0,P_B10,7.09567,0,7.09567,1,0
P_B0,P_B11,13.9903,0,13.9903,1,0
P_B0,P_B2,0.21387,0,0.21387,1,0
P_B0,P_B3,0.21387,0,0.21387,1,0
P_B0,P_B4,0.21387,0,0.21387,1,0
P_B0,P_B5,1.0588,0,1.0588,1,0
P_B0,P_B6,0.22787,0,0.22787,1,0
P_B0,P_B7,1.14058,0,1.14058,1,0
P_B0,P_B8,1.93432,0,1.93432,1,0
P_B0,P_B9,3.65477,0,3.65477,1,0
P_B0,P_DUMMY,4.19607,0,4.19607,1,0
P_B0,P_EDGE_BIAS,0.82814,0,0.82814,1,0
P_B0,P_TOP,8.04523,19.845,27.89023,1,1
P_B0,VSUBS,24.1563,0,24.1563,1,0
P_B1,P_B10,13.715,0,13.715,1,0
P_B1,P_B11,27.0414,0,27.0414,1,0
P_B1,P_B2,11.0414,0,11.0414,1,0
P_B1,P_B3,0.0046,0,0.0046,1,0
P_B1,P_B4,0.00179,0,0.00179,1,0
P_B1,P_B5,0,0,0,1,0
P_B1,P_B6,1.45409,0,1.45409,1,0
P_B1,P_B7,2.18304,0,2.18304,1,0
P_B1,P_B8,3.75071,0,3.75071,1,0
P_B1,P_B9,7.07213,0,7.07213,1,0
P_B1,P_DUMMY,0.21387,0,0.21387,1,0
P_B1,P_EDGE_BIAS,1.68024,0,1.68024,1,0
P_B1,P_TOP,16.2546,39.69,55.9446,1,2
P_B1,VSUBS,55.3929,0,55.3929,1,0
P_B10,P_B11,53.8385,0,53.8385,1,0
P_B10,P_B2,14.2701,0,14.2701,1,0
P_B10,P_B3,14.3489,0,14.3489,1,0
P_B10,P_B4,14.3489,0,14.3489,1,0
P_B10,P_B5,14.3489,0,14.3489,1,0
P_B10,P_B6,6.1141,0,6.1141,1,0
P_B10,P_B7,5.91729,0,5.91729,1,0
P_B10,P_B8,5.94575,0,5.94575,1,0
P_B10,P_B9,47.647,0,47.647,1,0
P_B10,P_DUMMY,7.09567,0,7.09567,1,0
P_B10,P_EDGE_BIAS,12.6376,0,12.6376,1,0
P_B10,P_TOP,1299.96,20321.28,21621.24,1,1024
P_B10,VSUBS,740.5424,0,740.5424,1023,0
P_B11,P_B2,28.1366,0,28.1366,1,0
P_B11,P_B3,28.2925,0,28.2925,1,0
P_B11,P_B4,28.2925,0,28.2925,1,0
P_B11,P_B5,28.2925,0,28.2925,1,0
P_B11,P_B6,12.0473,0,12.0473,1,0
P_B11,P_B7,11.5176,0,11.5176,1,0
P_B11,P_B8,11.5652,0,11.5652,1,0
P_B11,P_B9,11.7155,0,11.7155,1,0
P_B11,P_DUMMY,13.9903,0,13.9903,1,0
P_B11,P_EDGE_BIAS,39.8576,0,39.8576,1,0
P_B11,P_TOP,2595.04,40642.56,43237.6,1,2048
P_B11,VSUBS,1408.41621,0,1408.41621,2047,0
P_B2,P_B3,6.86104,0,6.86104,1,0
P_B2,P_B4,0.0046,0,0.0046,1,0
P_B2,P_B5,0.00179,0,0.00179,1,0
P_B2,P_B6,1.80611,0,1.80611,1,0
P_B2,P_B7,2.42699,0,2.42699,1,0
P_B2,P_B8,3.88949,0,3.88949,1,0
P_B2,P_B9,7.3497,0,7.3497,1,0
P_B2,P_DUMMY,0.21387,0,0.21387,1,0
P_B2,P_EDGE_BIAS,1.67822,0,1.67822,1,0
P_B2,P_TOP,18.8578,79.38,98.2378,1,4
P_B2,VSUBS,119.6542,0,119.6542,3,0
P_B3,P_B4,5.29905,0,5.29905,1,0
P_B3,P_B5,0.0046,0,0.0046,1,0
P_B3,P_B6,2.46714,0,2.46714,1,0
P_B3,P_B7,2.75917,0,2.75917,1,0
P_B3,P_B8,3.91035,0,3.91035,1,0
P_B3,P_B9,7.38986,0,7.38986,1,0
P_B3,P_DUMMY,0.21387,0,0.21387,1,0
P_B3,P_EDGE_BIAS,1.69285,0,1.69285,1,0
P_B3,P_TOP,24.1465,158.76,182.9065,1,8
P_B3,VSUBS,119.81388,0,119.81388,5,0
P_B4,P_B5,2.17927,0,2.17927,1,0
P_B4,P_B6,4.18835,0,4.18835,1,0
P_B4,P_B7,3.41174,0,3.41174,1,0
P_B4,P_B8,3.91035,0,3.91035,1,0
P_B4,P_B9,7.38986,0,7.38986,1,0
P_B4,P_DUMMY,0.21387,0,0.21387,1,0
P_B4,P_EDGE_BIAS,1.69285,0,1.69285,1,0
P_B4,P_TOP,34.3218,317.52,351.8418,1,16
P_B4,VSUBS,117.79494,0,117.79494,13,0
P_B5,P_B6,5.7937,0,5.7937,1,0
P_B5,P_B7,4.71688,0,4.71688,1,0
P_B5,P_B8,3.91035,0,3.91035,1,0
P_B5,P_B9,7.38986,0,7.38986,1,0
P_B5,P_DUMMY,0.27615,0,0.27615,1,0
