node,P_TOP,P_B11,P_B10,P_B9,P_B8,P_B7,P_B6,P_B5,P_B4,P_B3,P_B2,P_B1,P_B0,P_DUMMY,P_EDGE_BIAS,N_TOP,N_B11,N_B10,N_B9,N_B8,N_B7,N_B6,N_B5,N_B4,N_B3,N_B2,N_B1,N_B0,N_DUMMY,N_EDGE_BIAS,VSUBS
N_TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43237.71,21621.24,10810.62,5405.31,2702.68,1351.439,689.7165,351.8418,182.9065,98.2308,55.9326,28.01669,27.6635,28.0951,11414.24201
N_B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43237.71,0,53.8385,11.7155,11.5652,11.5176,12.0706,28.2925,28.2925,28.2925,28.1366,27.0414,13.9903,13.9903,39.809,1408.46305
N_B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21621.24,53.8385,0,47.647,5.94575,5.91729,6.12572,14.3489,14.3489,14.3489,14.2701,13.715,7.09567,7.09567,12.6376,740.5364
N_B9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10810.62,11.7155,47.647,0,44.716,3.17486,3.27116,7.38986,7.38986,7.38986,7.3497,7.07213,3.65477,3.65477,6.28886,422.15207
N_B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5405.31,11.5652,5.94575,44.716,0,43.2062,1.85405,3.91035,3.91035,3.91035,3.88949,3.75071,1.93432,1.93432,3.44842,266.0067
N_B7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702.68,11.5176,5.91729,3.17486,43.2062,0,37.2462,4.71688,3.41174,2.75917,2.42699,2.18304,1.14058,1.12173,2.99253,183.71802
N_B6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351.439,12.0706,6.12572,3.27116,1.85405,37.2462,0,5.7937,4.18835,2.46714,1.79645,1.44444,0.22787,0.22787,18.5527,154.14778
N_B5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.7165,28.2925,14.3489,7.38986,3.91035,4.71688,5.7937,0,2.17927,0.0046,0.00179,0,1.0588,0.27615,1.69285,116.82874
N_B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.8418,28.2925,14.3489,7.38986,3.91035,3.41174,4.18835,2.17927,0,5.29905,0.0046,0.00179,0.21387,0.21387,1.69285,117.79504
N_B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.9065,28.2925,14.3489,7.38986,3.91035,2.75917,2.46714,0.0046,5.29905,0,6.86104,0.0046,0.21387,0.21387,1.69285,119.81378
N_B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2308,28.1366,14.2701,7.3497,3.88949,2.42699,1.79645,0.00179,0.0046,6.86104,0,11.1363,0.21387,0.21387,1.67822,119.5921
N_B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9326,27.0414,13.715,7.07213,3.75071,2.18304,1.44444,0,0.00179,0.0046,11.1363,0,0.7258,0.29323,1.68024,55.2764
N_B0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.01669,13.9903,7.09567,3.65477,1.93432,1.14058,0.22787,1.0588,0.21387,0.21387,0.21387,0.7258,0,4.00551,0.8318,24.73993
N_DUMMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6635,13.9903,7.09567,3.65477,1.93432,1.12173,0.22787,0.27615,0.21387,0.21387,0.21387,0.29323,4.00551,0,0.82814,24.0904
N_EDGE_BIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0951,39.809,12.6376,6.28886,3.44842,2.99253,18.5527,1.69285,1.69285,1.69285,1.67822,1.68024,0.8318,0.82814,0,335.27832
VSUBS,11414.87697,1408.41621,740.5424,422.15711,266.02826,184.0373,155.36164,116.82864,117.79494,119.81388,119.6542,55.3929,24.1563,24.7362,337.10778,11414.24201,1408.46305,740.5364,422.15207,266.0067,183.71802,154.14778,116.82874,117.79504,119.81378,119.5921,55.2764,24.73993,24.0904,335.27832,0
