code,p_top_delta_v,n_top_equivalent_delta_v,n_top_complement_delta_v,differential_output_v,p_inl_lsb,n_inl_lsb,differential_inl_lsb,p_dnl_to_next_lsb,n_dnl_to_next_lsb,differential_dnl_to_next_lsb
0,0,0,0.353186367301529,-0.353186367301529,0,0,0,0.319809056408768,0.325792937946327,0.322801008853147
1,0.000113830263281863,0.000114347250683098,0.353072020050846,-0.352958189787564,0.319809056408768,0.325792937946327,0.322801008853276,0.327576416467073,0.321023873067991,0.324300131982379
2,0.000228330442136852,0.00022828317811838,0.35295808412341,-0.352729753681274,0.647385472875841,0.646816811014319,0.647101140835462,0.319809056408768,0.325792937946327,0.322801008853147
3,0.000342160705418714,0.000342630428801477,0.352843736872727,-0.352501576167309,0.967194529284609,0.972609748960646,0.969902149688738,-0.318429061173615,-0.324176942343658,-0.321303012973799
4,0.000400944511329988,0.000400918949112162,0.352785448352417,-0.352384503841087,0.648765468110993,0.648432806616987,0.648599136714746,0.319809056408768,0.325792937946327,0.322801008853147
5,0.00051477477461185,0.00051526619979526,0.352671101101734,-0.352156326327122,0.968574524519761,0.974225744563315,0.971400145568022,0.327576416467072,0.321023873067991,0.324300131982379
6,0.000629274953466839,0.000629202127230542,0.352557165174298,-0.351927890220831,1.29615094098683,1.29524961763131,1.29570027755053,0.319809056408768,0.325792937946327,0.322801008853147
7,0.000743105216748702,0.000743549377913639,0.352442817923615,-0.351699712706867,1.6159599973956,1.62104255557763,1.61850128640348,-0.960539974827472,-0.965625159572612,-0.963082577122184
8,0.000746508546217224,0.000746514145927588,0.352439853155601,-0.351693344609384,0.65542002256813,0.655417396005021,0.655418709281429,0.319809056408768,0.325792937946327,0.322801008853147
9,0.000860338809499086,0.000860861396610685,0.352325505904918,-0.351465167095419,0.975229078976897,0.981210333951348,0.978219718134383,0.327576416467074,0.321023873067991,0.324300131982701
10,0.000974838988354075,0.000974797324045967,0.352211569977483,-0.351236730989129,1.30280549544397,1.30223420701934,1.30251985011721,0.319809056408768,0.325792937946327,0.322801008852825
11,0.00108866925163594,0.00108914457472906,0.3520972227268,-0.351008553475164,1.62261455185274,1.62802714496567,1.62532085897017,-0.318429061173615,-0.324176942343658,-0.321303012973799
12,0.00114745305754721,0.00114743309503975,0.352038934206489,-0.350891481148942,1.30418549067913,1.30385020262201,1.30401784599618,0.319809056408765,0.325792937946328,0.322801008853147
13,0.00126128332082907,0.00126178034572285,0.351924586955806,-0.350663303634977,1.62399454708789,1.62964314056834,1.62681885484945,0.327576416467072,0.321023873067993,0.324300131982379
14,0.00137578349968406,0.00137571627315813,0.351810651028371,-0.350434867528687,1.95157096355496,1.95066701363633,1.95111898683164,0.31980905640877,0.325792937946325,0.322801008853147
