 frequency       response        response        stimulus        stimulus        v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00 -3.69172020e+01  4.65930851e-03  1.00000000e+00  0.00000000e+00 -3.69172020e+01  4.65930851e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00 -3.69172020e+01  4.74957556e-03  1.00000000e+00  0.00000000e+00 -3.69172020e+01  4.74957556e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00 -3.69172020e+01  4.84159139e-03  1.00000000e+00  0.00000000e+00 -3.69172020e+01  4.84159139e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00 -3.69172020e+01  4.93538989e-03  1.00000000e+00  0.00000000e+00 -3.69172020e+01  4.93538989e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00 -3.69172019e+01  5.03100559e-03  1.00000000e+00  0.00000000e+00 -3.69172019e+01  5.03100559e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00 -3.69172019e+01  5.12847370e-03  1.00000000e+00  0.00000000e+00 -3.69172019e+01  5.12847370e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00 -3.69172019e+01  5.22783011e-03  1.00000000e+00  0.00000000e+00 -3.69172019e+01  5.22783011e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00 -3.69172019e+01  5.32911140e-03  1.00000000e+00  0.00000000e+00 -3.69172019e+01  5.32911140e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00 -3.69172018e+01  5.43235486e-03  1.00000000e+00  0.00000000e+00 -3.69172018e+01  5.43235486e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00 -3.69172018e+01  5.53759851e-03  1.00000000e+00  0.00000000e+00 -3.69172018e+01  5.53759851e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
