 frequency       onoise_spectrum inoise_spectrum	manifest_sha256
 2.69153480e+01  4.49241297e-03  1.85668371e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.75422870e+01  4.44864762e-03  1.83859629e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+01  4.40531043e-03  1.82068584e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.88403150e+01  4.36239720e-03  1.80295062e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.95120923e+01  4.31990375e-03  1.78538891e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.01995172e+01  4.27782595e-03  1.76799900e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.09029543e+01  4.23615971e-03  1.75077920e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+01  4.19490099e-03  1.73372784e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.23593657e+01  4.15404576e-03  1.71684326e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.31131121e+01  4.11359007e-03  1.70012382e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.38844156e+01  4.07352998e-03  1.68356790e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.46736850e+01  4.03386160e-03  1.66717390e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.54813389e+01  3.99458108e-03  1.65094021e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.63078055e+01  3.95568461e-03  1.63486526e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.71535229e+01  3.91716839e-03  1.61894750e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.80189396e+01  3.87902870e-03  1.60318537e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.89045145e+01  3.84126183e-03  1.58757735e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+01  3.80386412e-03  1.57212193e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.07380278e+01  3.76683193e-03  1.55681760e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.16869383e+01  3.73016167e-03  1.54166288e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.26579519e+01  3.69384978e-03  1.52665629e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.36515832e+01  3.65789274e-03  1.51179639e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.46683592e+01  3.62228705e-03  1.49708174e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.57088190e+01  3.58702926e-03  1.48251090e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.67735141e+01  3.55211596e-03  1.46808246e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.78630092e+01  3.51754375e-03  1.45379503e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.89778819e+01  3.48330927e-03  1.43964721e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+01  3.44940922e-03  1.42563765e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.12861384e+01  3.41584030e-03  1.41176497e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.24807460e+01  3.38259925e-03  1.39802785e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
