 frequency       response        response        stimulus        stimulus        v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  6.57181257e-01 -8.27566534e-05  1.00000000e+00  0.00000000e+00  6.57181257e-01 -8.27566534e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  6.57181257e-01 -8.43599382e-05  1.00000000e+00  0.00000000e+00  6.57181257e-01 -8.43599382e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  6.57181256e-01 -8.59942842e-05  1.00000000e+00  0.00000000e+00  6.57181256e-01 -8.59942842e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  6.57181256e-01 -8.76602932e-05  1.00000000e+00  0.00000000e+00  6.57181256e-01 -8.76602932e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  6.57181255e-01 -8.93585786e-05  1.00000000e+00  0.00000000e+00  6.57181255e-01 -8.93585786e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  6.57181255e-01 -9.10897657e-05  1.00000000e+00  0.00000000e+00  6.57181255e-01 -9.10897657e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  6.57181254e-01 -9.28544919e-05  1.00000000e+00  0.00000000e+00  6.57181254e-01 -9.28544919e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  6.57181254e-01 -9.46534070e-05  1.00000000e+00  0.00000000e+00  6.57181254e-01 -9.46534070e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  6.57181253e-01 -9.64871734e-05  1.00000000e+00  0.00000000e+00  6.57181253e-01 -9.64871734e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  6.57181253e-01 -9.83564662e-05  1.00000000e+00  0.00000000e+00  6.57181253e-01 -9.83564662e-05	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  6.57181252e-01 -1.00261974e-04  1.00000000e+00  0.00000000e+00  6.57181252e-01 -1.00261974e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  6.57181252e-01 -1.02204398e-04  1.00000000e+00  0.00000000e+00  6.57181252e-01 -1.02204398e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  6.57181251e-01 -1.04184453e-04  1.00000000e+00  0.00000000e+00  6.57181251e-01 -1.04184453e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  6.57181250e-01 -1.06202869e-04  1.00000000e+00  0.00000000e+00  6.57181250e-01 -1.06202869e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  6.57181250e-01 -1.08260389e-04  1.00000000e+00  0.00000000e+00  6.57181250e-01 -1.08260389e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  6.57181249e-01 -1.10357770e-04  1.00000000e+00  0.00000000e+00  6.57181249e-01 -1.10357770e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  6.57181248e-01 -1.12495784e-04  1.00000000e+00  0.00000000e+00  6.57181248e-01 -1.12495784e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38569186e+00  6.57181247e-01 -1.14675219e-04  1.00000000e+00  0.00000000e+00  6.57181247e-01 -1.14675219e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+00  6.57181247e-01 -1.16896878e-04  1.00000000e+00  0.00000000e+00  6.57181247e-01 -1.16896878e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.43990332e+00  6.57181246e-01 -1.19161578e-04  1.00000000e+00  0.00000000e+00  6.57181246e-01 -1.19161578e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.46779927e+00  6.57181245e-01 -1.21470153e-04  1.00000000e+00  0.00000000e+00  6.57181245e-01 -1.21470153e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.49623566e+00  6.57181244e-01 -1.23823453e-04  1.00000000e+00  0.00000000e+00  6.57181244e-01 -1.23823453e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.52522296e+00  6.57181243e-01 -1.26222345e-04  1.00000000e+00  0.00000000e+00  6.57181243e-01 -1.26222345e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.55477184e+00  6.57181242e-01 -1.28667711e-04  1.00000000e+00  0.00000000e+00  6.57181242e-01 -1.28667711e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  6.57181241e-01 -1.31160453e-04  1.00000000e+00  0.00000000e+00  6.57181241e-01 -1.31160453e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.61559810e+00  6.57181240e-01 -1.33701488e-04  1.00000000e+00  0.00000000e+00  6.57181240e-01 -1.33701488e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.64689787e+00  6.57181239e-01 -1.36291752e-04  1.00000000e+00  0.00000000e+00  6.57181239e-01 -1.36291752e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.67880402e+00  6.57181238e-01 -1.38932198e-04  1.00000000e+00  0.00000000e+00  6.57181238e-01 -1.38932198e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.71132830e+00  6.57181237e-01 -1.41623799e-04  1.00000000e+00  0.00000000e+00  6.57181237e-01 -1.41623799e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  6.57181236e-01 -1.44367545e-04  1.00000000e+00  0.00000000e+00  6.57181236e-01 -1.44367545e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  6.57181234e-01 -1.47164448e-04  1.00000000e+00  0.00000000e+00  6.57181234e-01 -1.47164448e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81273088e+00  6.57181233e-01 -1.50015536e-04  1.00000000e+00  0.00000000e+00  6.57181233e-01 -1.50015536e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.84784980e+00  6.57181232e-01 -1.52921859e-04  1.00000000e+00  0.00000000e+00  6.57181232e-01 -1.52921859e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.88364909e+00  6.57181230e-01 -1.55884488e-04  1.00000000e+00  0.00000000e+00  6.57181230e-01 -1.55884488e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.92014194e+00  6.57181229e-01 -1.58904514e-04  1.00000000e+00  0.00000000e+00  6.57181229e-01 -1.58904514e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.95734178e+00  6.57181227e-01 -1.61983048e-04  1.00000000e+00  0.00000000e+00  6.57181227e-01 -1.61983048e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  6.57181226e-01 -1.65121224e-04  1.00000000e+00  0.00000000e+00  6.57181226e-01 -1.65121224e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.03391750e+00  6.57181224e-01 -1.68320197e-04  1.00000000e+00  0.00000000e+00  6.57181224e-01 -1.68320197e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.07332157e+00  6.57181223e-01 -1.71581146e-04  1.00000000e+00  0.00000000e+00  6.57181223e-01 -1.71581146e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.11348904e+00  6.57181221e-01 -1.74905270e-04  1.00000000e+00  0.00000000e+00  6.57181221e-01 -1.74905270e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.15443469e+00  6.57181219e-01 -1.78293794e-04  1.00000000e+00  0.00000000e+00  6.57181219e-01 -1.78293794e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.19617360e+00  6.57181217e-01 -1.81747966e-04  1.00000000e+00  0.00000000e+00  6.57181217e-01 -1.81747966e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+00  6.57181215e-01 -1.85269057e-04  1.00000000e+00  0.00000000e+00  6.57181215e-01 -1.85269057e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.28209297e+00  6.57181213e-01 -1.88858364e-04  1.00000000e+00  0.00000000e+00  6.57181213e-01 -1.88858364e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.32630507e+00  6.57181211e-01 -1.92517209e-04  1.00000000e+00  0.00000000e+00  6.57181211e-01 -1.92517209e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.37137371e+00  6.57181209e-01 -1.96246937e-04  1.00000000e+00  0.00000000e+00  6.57181209e-01 -1.96246937e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.41731548e+00  6.57181206e-01 -2.00048924e-04  1.00000000e+00  0.00000000e+00  6.57181206e-01 -2.00048924e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.46414731e+00  6.57181204e-01 -2.03924568e-04  1.00000000e+00  0.00000000e+00  6.57181204e-01 -2.03924568e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  6.57181202e-01 -2.07875297e-04  1.00000000e+00  0.00000000e+00  6.57181202e-01 -2.07875297e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.56055043e+00  6.57181199e-01 -2.11902565e-04  1.00000000e+00  0.00000000e+00  6.57181199e-01 -2.11902565e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.61015722e+00  6.57181196e-01 -2.16007856e-04  1.00000000e+00  0.00000000e+00  6.57181196e-01 -2.16007856e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.66072506e+00  6.57181194e-01 -2.20192680e-04  1.00000000e+00  0.00000000e+00  6.57181194e-01 -2.20192680e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.71227258e+00  6.57181191e-01 -2.24458579e-04  1.00000000e+00  0.00000000e+00  6.57181191e-01 -2.24458579e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.76481875e+00  6.57181188e-01 -2.28807123e-04  1.00000000e+00  0.00000000e+00  6.57181188e-01 -2.28807123e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+00  6.57181185e-01 -2.33239913e-04  1.00000000e+00  0.00000000e+00  6.57181185e-01 -2.33239913e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.87298483e+00  6.57181181e-01 -2.37758582e-04  1.00000000e+00  0.00000000e+00  6.57181181e-01 -2.37758582e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.92864456e+00  6.57181178e-01 -2.42364794e-04  1.00000000e+00  0.00000000e+00  6.57181178e-01 -2.42364794e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.98538262e+00  6.57181174e-01 -2.47060243e-04  1.00000000e+00  0.00000000e+00  6.57181174e-01 -2.47060243e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.04321989e+00  6.57181171e-01 -2.51846660e-04  1.00000000e+00  0.00000000e+00  6.57181171e-01 -2.51846660e-04	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
