 frequency       response        response        stimulus        stimulus        v(VOUT)         v(VOUT)	manifest_sha256
 1.21152766e+00  3.72600205e+01 -5.54461912e-03  1.00000000e+00  0.00000000e+00  3.72600205e+01 -5.54461912e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  3.72600205e+01 -5.65203771e-03  1.00000000e+00  0.00000000e+00  3.72600205e+01 -5.65203771e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  3.72600204e+01 -5.76153738e-03  1.00000000e+00  0.00000000e+00  3.72600204e+01 -5.76153738e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  3.72600204e+01 -5.87315844e-03  1.00000000e+00  0.00000000e+00  3.72600204e+01 -5.87315844e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  3.72600204e+01 -5.98694198e-03  1.00000000e+00  0.00000000e+00  3.72600204e+01 -5.98694198e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  3.72600203e+01 -6.10292991e-03  1.00000000e+00  0.00000000e+00  3.72600203e+01 -6.10292991e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  3.72600203e+01 -6.22116493e-03  1.00000000e+00  0.00000000e+00  3.72600203e+01 -6.22116493e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38569186e+00  3.72600202e+01 -6.34169058e-03  1.00000000e+00  0.00000000e+00  3.72600202e+01 -6.34169058e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+00  3.72600202e+01 -6.46455122e-03  1.00000000e+00  0.00000000e+00  3.72600202e+01 -6.46455122e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.43990332e+00  3.72600202e+01 -6.58979211e-03  1.00000000e+00  0.00000000e+00  3.72600202e+01 -6.58979211e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.46779927e+00  3.72600201e+01 -6.71745934e-03  1.00000000e+00  0.00000000e+00  3.72600201e+01 -6.71745934e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.49623566e+00  3.72600201e+01 -6.84759994e-03  1.00000000e+00  0.00000000e+00  3.72600201e+01 -6.84759994e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.52522296e+00  3.72600200e+01 -6.98026181e-03  1.00000000e+00  0.00000000e+00  3.72600200e+01 -6.98026181e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.55477184e+00  3.72600200e+01 -7.11549380e-03  1.00000000e+00  0.00000000e+00  3.72600200e+01 -7.11549380e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  3.72600199e+01 -7.25334571e-03  1.00000000e+00  0.00000000e+00  3.72600199e+01 -7.25334571e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.61559810e+00  3.72600198e+01 -7.39386829e-03  1.00000000e+00  0.00000000e+00  3.72600198e+01 -7.39386829e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.64689787e+00  3.72600198e+01 -7.53711328e-03  1.00000000e+00  0.00000000e+00  3.72600198e+01 -7.53711328e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.67880402e+00  3.72600197e+01 -7.68313343e-03  1.00000000e+00  0.00000000e+00  3.72600197e+01 -7.68313343e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.71132830e+00  3.72600197e+01 -7.83198249e-03  1.00000000e+00  0.00000000e+00  3.72600197e+01 -7.83198249e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  3.72600196e+01 -7.98371528e-03  1.00000000e+00  0.00000000e+00  3.72600196e+01 -7.98371528e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  3.72600195e+01 -8.13838766e-03  1.00000000e+00  0.00000000e+00  3.72600195e+01 -8.13838766e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81273088e+00  3.72600195e+01 -8.29605658e-03  1.00000000e+00  0.00000000e+00  3.72600195e+01 -8.29605658e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.84784980e+00  3.72600194e+01 -8.45678010e-03  1.00000000e+00  0.00000000e+00  3.72600194e+01 -8.45678010e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.88364909e+00  3.72600193e+01 -8.62061739e-03  1.00000000e+00  0.00000000e+00  3.72600193e+01 -8.62061739e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.92014194e+00  3.72600192e+01 -8.78762878e-03  1.00000000e+00  0.00000000e+00  3.72600192e+01 -8.78762878e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.95734178e+00  3.72600191e+01 -8.95787576e-03  1.00000000e+00  0.00000000e+00  3.72600191e+01 -8.95787576e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  3.72600191e+01 -9.13142102e-03  1.00000000e+00  0.00000000e+00  3.72600191e+01 -9.13142102e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.03391750e+00  3.72600190e+01 -9.30832845e-03  1.00000000e+00  0.00000000e+00  3.72600190e+01 -9.30832845e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.07332157e+00  3.72600189e+01 -9.48866320e-03  1.00000000e+00  0.00000000e+00  3.72600189e+01 -9.48866320e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.11348904e+00  3.72600188e+01 -9.67249166e-03  1.00000000e+00  0.00000000e+00  3.72600188e+01 -9.67249166e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.15443469e+00  3.72600187e+01 -9.85988151e-03  1.00000000e+00  0.00000000e+00  3.72600187e+01 -9.85988151e-03	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.19617360e+00  3.72600186e+01 -1.00509018e-02  1.00000000e+00  0.00000000e+00  3.72600186e+01 -1.00509018e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+00  3.72600185e+01 -1.02456227e-02  1.00000000e+00  0.00000000e+00  3.72600185e+01 -1.02456227e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.28209297e+00  3.72600183e+01 -1.04441161e-02  1.00000000e+00  0.00000000e+00  3.72600183e+01 -1.04441161e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.32630507e+00  3.72600182e+01 -1.06464550e-02  1.00000000e+00  0.00000000e+00  3.72600182e+01 -1.06464550e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.37137371e+00  3.72600181e+01 -1.08527139e-02  1.00000000e+00  0.00000000e+00  3.72600181e+01 -1.08527139e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.41731548e+00  3.72600180e+01 -1.10629688e-02  1.00000000e+00  0.00000000e+00  3.72600180e+01 -1.10629688e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.46414731e+00  3.72600178e+01 -1.12772970e-02  1.00000000e+00  0.00000000e+00  3.72600178e+01 -1.12772970e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  3.72600177e+01 -1.14957775e-02  1.00000000e+00  0.00000000e+00  3.72600177e+01 -1.14957775e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.56055043e+00  3.72600176e+01 -1.17184908e-02  1.00000000e+00  0.00000000e+00  3.72600176e+01 -1.17184908e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.61015722e+00  3.72600174e+01 -1.19455187e-02  1.00000000e+00  0.00000000e+00  3.72600174e+01 -1.19455187e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.66072506e+00  3.72600173e+01 -1.21769450e-02  1.00000000e+00  0.00000000e+00  3.72600173e+01 -1.21769450e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.71227258e+00  3.72600171e+01 -1.24128549e-02  1.00000000e+00  0.00000000e+00  3.72600171e+01 -1.24128549e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.76481875e+00  3.72600169e+01 -1.26533351e-02  1.00000000e+00  0.00000000e+00  3.72600169e+01 -1.26533351e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+00  3.72600168e+01 -1.28984742e-02  1.00000000e+00  0.00000000e+00  3.72600168e+01 -1.28984742e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.87298483e+00  3.72600166e+01 -1.31483626e-02  1.00000000e+00  0.00000000e+00  3.72600166e+01 -1.31483626e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.92864456e+00  3.72600164e+01 -1.34030921e-02  1.00000000e+00  0.00000000e+00  3.72600164e+01 -1.34030921e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.98538262e+00  3.72600162e+01 -1.36627566e-02  1.00000000e+00  0.00000000e+00  3.72600162e+01 -1.36627566e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.04321989e+00  3.72600160e+01 -1.39274518e-02  1.00000000e+00  0.00000000e+00  3.72600160e+01 -1.39274518e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.10217766e+00  3.72600158e+01 -1.41972750e-02  1.00000000e+00  0.00000000e+00  3.72600158e+01 -1.41972750e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  3.72600156e+01 -1.44723256e-02  1.00000000e+00  0.00000000e+00  3.72600156e+01 -1.44723256e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.22354200e+00  3.72600154e+01 -1.47527049e-02  1.00000000e+00  0.00000000e+00  3.72600154e+01 -1.47527049e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.28599325e+00  3.72600151e+01 -1.50385162e-02  1.00000000e+00  0.00000000e+00  3.72600151e+01 -1.50385162e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.34965439e+00  3.72600149e+01 -1.53298645e-02  1.00000000e+00  0.00000000e+00  3.72600149e+01 -1.53298645e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.41454887e+00  3.72600146e+01 -1.56268573e-02  1.00000000e+00  0.00000000e+00  3.72600146e+01 -1.56268573e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.48070059e+00  3.72600144e+01 -1.59296039e-02  1.00000000e+00  0.00000000e+00  3.72600144e+01 -1.59296039e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.54813389e+00  3.72600141e+01 -1.62382158e-02  1.00000000e+00  0.00000000e+00  3.72600141e+01 -1.62382158e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.61687361e+00  3.72600138e+01 -1.65528065e-02  1.00000000e+00  0.00000000e+00  3.72600138e+01 -1.65528065e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.68694506e+00  3.72600135e+01 -1.68734919e-02  1.00000000e+00  0.00000000e+00  3.72600135e+01 -1.68734919e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.75837404e+00  3.72600132e+01 -1.72003901e-02  1.00000000e+00  0.00000000e+00  3.72600132e+01 -1.72003901e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.83118685e+00  3.72600129e+01 -1.75336215e-02  1.00000000e+00  0.00000000e+00  3.72600129e+01 -1.75336215e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.90541029e+00  3.72600125e+01 -1.78733087e-02  1.00000000e+00  0.00000000e+00  3.72600125e+01 -1.78733087e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  3.72600122e+01 -1.82195768e-02  1.00000000e+00  0.00000000e+00  3.72600122e+01 -1.82195768e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.05819894e+00  3.72600118e+01 -1.85725533e-02  1.00000000e+00  0.00000000e+00  3.72600118e+01 -1.85725533e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
