 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.41990123e+03 -2.88367625e-01  1.00000000e+00 -7.30443883e-21  2.41990123e+03 -2.88367625e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.41990123e+03 -2.94612162e-01  1.00000000e+00 -7.18165210e-21  2.41990123e+03 -2.94612162e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.41990123e+03 -3.00965174e-01  1.00000000e+00 -7.06030192e-21  2.41990123e+03 -3.00965174e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.41990123e+03 -3.07429001e-01  1.00000000e+00 -6.94041117e-21  2.41990123e+03 -3.07429001e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.41990123e+03 -3.14006023e-01  1.00000000e+00 -6.82199949e-21  2.41990123e+03 -3.14006023e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.41990123e+03 -3.20698662e-01  1.00000000e+00 -6.70508347e-21  2.41990123e+03 -3.20698662e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.41990122e+03 -3.27509382e-01  1.00000000e+00 -6.58967693e-21  2.41990122e+03 -3.27509382e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.41990122e+03 -3.34440690e-01  1.00000000e+00 -6.47579104e-21  2.41990122e+03 -3.34440690e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.41990122e+03 -3.41495138e-01  1.00000000e+00 -6.36343451e-21  2.41990122e+03 -3.41495138e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.41990122e+03 -3.48675325e-01  1.00000000e+00 -6.25261382e-21  2.41990122e+03 -3.48675325e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
