 frequency              r_VOUT                 i_VOUT                
 1.000000000000000e+00  2.001532596925067e+00  3.131161920277575e-06 
 1.019373485938873e+00  2.001532596925427e+00  2.975144474516369e-06 
 1.039122303835169e+00  2.001532596925760e+00  2.820222472981084e-06 
 1.059253725177289e+00  2.001532596926073e+00  2.666338873597487e-06 
 1.079775162327710e+00  2.001532596926364e+00  2.513437016629599e-06 
 1.100694171252210e+00  2.001532596926634e+00  2.361460603817699e-06 
 1.122018454301964e+00  2.001532596926884e+00  2.210353677649369e-06 
 1.143755863049539e+00  2.001532596927110e+00  2.060060600756009e-06 
 1.165914401179832e+00  2.001532596927318e+00  1.910526035427245e-06 
 1.188502227437019e+00  2.001532596927504e+00  1.761694923235639e-06 
 1.211527658628589e+00  2.001532596927670e+00  1.613512464764271e-06 
 1.234999172687586e+00  2.001532596927820e+00  1.465924099429644e-06 
 1.258925411794168e+00  2.001532596927949e+00  1.318875485392563e-06 
 1.283315185557652e+00  2.001532596928059e+00  1.172312479549549e-06 
 1.308177474260195e+00  2.001532596928148e+00  1.026181117597400e-06 
 1.333521432163325e+00  2.001532596928222e+00  8.804275941636295e-07 
 1.359356390878527e+00  2.001532596928274e+00  7.349982429953780e-07 
 1.385691862803129e+00  2.001532596928308e+00  5.898395171995946e-07 
 1.412537544622755e+00  2.001532596928326e+00  4.448979695271190e-07 
 1.439903320881634e+00  2.001532596928322e+00  3.001202326934919e-07 
 1.467799267622071e+00  2.001532596928301e+00  1.554529997291856e-07 
 1.496235656094435e+00  2.001532596928262e+00  1.084300435204496e-08 
 1.525222956539020e+00  2.001532596928202e+00 -1.337629986452755e-07 
 1.554771842041175e+00  2.001532596928125e+00 -2.784182530001394e-07 
 1.584893192461115e+00  2.001532596928028e+00 -4.231760205841833e-07 
 1.615598098439875e+00  2.001532596927915e+00 -5.680896010142906e-07 
 1.646897865482870e+00  2.001532596927779e+00 -7.132123512774164e-07 
 1.678804018122562e+00  2.001532596927626e+00 -8.585977053765777e-07 
 1.711328304161782e+00  2.001532596927454e+00 -1.004299194005168e-06 
 1.744482698999256e+00  2.001532596927259e+00 -1.150370464256893e-06 
 1.778279410038925e+00  2.001532596927046e+00 -1.296865299378560e-06 
 1.812730881184701e+00  2.001532596926812e+00 -1.443837638572995e-06 
 1.847849797422293e+00  2.001532596926556e+00 -1.591341596859389e-06 
 1.883649089489803e+00  2.001532596926284e+00 -1.739431484998372e-06 
 1.920141938638804e+00  2.001532596925985e+00 -1.888161829489157e-06 
 1.957341781487663e+00  2.001532596925668e+00 -2.037587392646147e-06 
 1.995262314968882e+00  2.001532596925324e+00 -2.187763192762303e-06 
 2.033917501372295e+00  2.001532596924959e+00 -2.338744524366866e-06 
 2.073321573485958e+00  2.001532596924571e+00 -2.490586978584672e-06 
 2.113489039836649e+00  2.001532596924160e+00 -2.643346463604769e-06 
 2.154434690031886e+00  2.001532596923723e+00 -2.797079225265710e-06 
 2.196173600205439e+00  2.001532596923261e+00 -2.951841867765212e-06 
 2.238721138568343e+00  2.001532596922774e+00 -3.107691374501752e-06 
 2.282092971067454e+00  2.001532596922256e+00 -3.264685129055743e-06 
 2.326305067153629e+00  2.001532596921714e+00 -3.422880936318159e-06 
 2.371373705661659e+00  2.001532596921142e+00 -3.582337043774131e-06 
 2.417315480804108e+00  2.001532596920545e+00 -3.743112162949688e-06 
 2.464147308281285e+00  2.001532596919914e+00 -3.905265491029159e-06 
 2.511886431509584e+00  2.001532596919254e+00 -4.068856732651591e-06 
 2.560550427970480e+00  2.001532596918559e+00 -4.233946121893868e-06 
 2.610157215682541e+00  2.001532596917834e+00 -4.400594444448830e-06 
 2.660725059798814e+00  2.001532596917074e+00 -4.568863060006471e-06 
 2.712272579332033e+00  2.001532596916280e+00 -4.738813924846534e-06 
 2.764818754010113e+00  2.001532596915447e+00 -4.910509614650649e-06 
 2.818382931264459e+00  2.001532596914579e+00 -5.084013347542741e-06 
 2.872984833353670e+00  2.001532596913672e+00 -5.259389007365731e-06 
 2.928644564625242e+00  2.001532596912724e+00 -5.436701167203548e-06 
 2.985382618917966e+00  2.001532596911734e+00 -5.616015113156858e-06 
 3.043219887107728e+00  2.001532596910701e+00 -5.797396868381291e-06 
 3.102177664799508e+00  2.001532596909624e+00 -5.980913217397110e-06 
