quantity,value
vbn_v,0.742290183
tail_v,0.154231596
nmir_v,0.66304844
vx_v,0.66304844
m1_id_a,2.10654289e-05
m2_id_a,2.10654289e-05
m3_id_a,2.10654284e-05
m4_id_a,2.10654284e-05
m5_id_a,4.21308573e-05
m1_gm_s,0.000315735965
m1_gds_s,3.57768054e-06
m2_gm_s,0.000315735965
m2_gds_s,3.57768054e-06
m3_gm_s,0.000246263658
m3_gds_s,7.40896581e-07
m4_gm_s,0.000246263658
m4_gds_s,7.40896581e-07
m5_gm_s,0.000445705227
m5_gds_s,7.1423412e-05
m1_vdsat_v,0.10714076
m2_vdsat_v,0.10714076
m3_vdsat_v,0.143918181
m4_vdsat_v,0.143918181
m5_vdsat_v,0.150238126
idd_a,5.21308591e-05
