 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-1.58000000e-02  1.65573248e+00  6.57622106e-01  1.57203882e-01  2.24347137e-05  1.99021928e-05  4.23369060e-05 
-1.57000000e-02  1.65490313e+00  6.57680572e-01  1.57200887e-01  2.24196509e-05  1.99170541e-05  4.23367045e-05 
-1.56000000e-02  1.65405499e+00  6.57738997e-01  1.57197865e-01  2.24046054e-05  1.99318963e-05  4.23365012e-05 
-1.55000000e-02  1.65318723e+00  6.57797379e-01  1.57194814e-01  2.23895779e-05  1.99467186e-05  4.23362960e-05 
-1.54000000e-02  1.65229895e+00  6.57855713e-01  1.57191733e-01  2.23745693e-05  1.99615199e-05  4.23360887e-05 
-1.53000000e-02  1.65138920e+00  6.57913996e-01  1.57188619e-01  2.23595805e-05  1.99762991e-05  4.23358791e-05 
-1.52000000e-02  1.65045696e+00  6.57972224e-01  1.57185469e-01  2.23446125e-05  1.99910552e-05  4.23356672e-05 
-1.51000000e-02  1.64950116e+00  6.58030394e-01  1.57182281e-01  2.23296662e-05  2.00057869e-05  4.23354526e-05 
-1.50000000e-02  1.64852064e+00  6.58088501e-01  1.57179052e-01  2.23147428e-05  2.00204930e-05  4.23352353e-05 
-1.49000000e-02  1.64751418e+00  6.58146540e-01  1.57175778e-01  2.22998434e-05  2.00351721e-05  4.23350150e-05 
-1.48000000e-02  1.64648047e+00  6.58204507e-01  1.57172458e-01  2.22849692e-05  2.00498228e-05  4.23347915e-05 
-1.47000000e-02  1.64541811e+00  6.58262397e-01  1.57169086e-01  2.22701216e-05  2.00644435e-05  4.23345646e-05 
-1.46000000e-02  1.64432560e+00  6.58320202e-01  1.57165660e-01  2.22553020e-05  2.00790325e-05  4.23343339e-05 
-1.45000000e-02  1.64320133e+00  6.58377919e-01  1.57162176e-01  2.22405119e-05  2.00935880e-05  4.23340994e-05 
-1.44000000e-02  1.64204360e+00  6.58435539e-01  1.57158629e-01  2.22257529e-05  2.01081082e-05  4.23338606e-05 
-1.43000000e-02  1.64085057e+00  6.58493057e-01  1.57155015e-01  2.22110267e-05  2.01225911e-05  4.23336173e-05 
-1.42000000e-02  1.63962027e+00  6.58550465e-01  1.57151329e-01  2.21963352e-05  2.01370343e-05  4.23333691e-05 
-1.41000000e-02  1.63835068e+00  6.58607756e-01  1.57147566e-01  2.21816804e-05  2.01514358e-05  4.23331156e-05 
-1.40000000e-02  1.63703932e+00  6.58664919e-01  1.57143720e-01  2.21670644e-05  2.01657927e-05  4.23328566e-05 
-1.39000000e-02  1.63568391e+00  6.58721947e-01  1.57139785e-01  2.21524896e-05  2.01801025e-05  4.23325916e-05 
-1.38000000e-02  1.63428181e+00  6.58778829e-01  1.57135755e-01  2.21379584e-05  2.01943623e-05  4.23323202e-05 
-1.37000000e-02  1.63283024e+00  6.58835555e-01  1.57131623e-01  2.21234734e-05  2.02085689e-05  4.23320418e-05 
-1.36000000e-02  1.63132619e+00  6.58892113e-01  1.57127381e-01  2.21090374e-05  2.02227191e-05  4.23317560e-05 
-1.35000000e-02  1.62976643e+00  6.58948493e-01  1.57123021e-01  2.20946536e-05  2.02368092e-05  4.23314623e-05 
-1.34000000e-02  1.62814752e+00  6.59004679e-01  1.57118536e-01  2.20803251e-05  2.02508354e-05  4.23311601e-05 
-1.33000000e-02  1.62646576e+00  6.59060659e-01  1.57113915e-01  2.20660555e-05  2.02647936e-05  4.23308487e-05 
-1.32000000e-02  1.62471719e+00  6.59116418e-01  1.57109149e-01  2.20518486e-05  2.02786794e-05  4.23305275e-05 
-1.31000000e-02  1.62289759e+00  6.59171939e-01  1.57104227e-01  2.20377082e-05  2.02924880e-05  4.23301958e-05 
-1.30000000e-02  1.62100246e+00  6.59227205e-01  1.57099139e-01  2.20236388e-05  2.03062144e-05  4.23298528e-05 
-1.29000000e-02  1.61902700e+00  6.59282198e-01  1.57093871e-01  2.20096448e-05  2.03198532e-05  4.23294977e-05 
-1.28000000e-02  1.61696614e+00  6.59336899e-01  1.57088412e-01  2.19957311e-05  2.03333988e-05  4.23291297e-05 
-1.27000000e-02  1.61481453e+00  6.59391287e-01  1.57082748e-01  2.19819029e-05  2.03468451e-05  4.23287478e-05 
-1.26000000e-02  1.61256654e+00  6.59445341e-01  1.57076865e-01  2.19681653e-05  2.03601858e-05  4.23283511e-05 
-1.25000000e-02  1.61018827e+00  6.59498935e-01  1.57070680e-01  2.19545505e-05  2.03733839e-05  4.23279339e-05 
-1.24000000e-02  1.60772223e+00  6.59552224e-01  1.57064296e-01  2.19410186e-05  2.03864852e-05  4.23275033e-05 
-1.23000000e-02  1.60513958e+00  6.59605101e-01  1.57057641e-01  2.19275969e-05  2.03994580e-05  4.23270544e-05 
-1.22000000e-02  1.60243343e+00  6.59657540e-01  1.57050699e-01  2.19142920e-05  2.04122945e-05  4.23265860e-05 
-1.21000000e-02  1.59959669e+00  6.59709512e-01  1.57043451e-01  2.19011107e-05  2.04249867e-05  4.23260969e-05 
-1.20000000e-02  1.59662225e+00  6.59760991e-01  1.57035879e-01  2.18880599e-05  2.04375265e-05  4.23255859e-05 
-1.19000000e-02  1.59350299e+00  6.59811947e-01  1.57027965e-01  2.18751467e-05  2.04499055e-05  4.23250517e-05 
-1.18000000e-02  1.59023314e+00  6.59862358e-01  1.57019693e-01  2.18623766e-05  2.04621171e-05  4.23244932e-05 
-1.17000000e-02  1.58680135e+00  6.59912180e-01  1.57011035e-01  2.18497608e-05  2.04741483e-05  4.23239086e-05 
-1.16000000e-02  1.58320875e+00  6.59961414e-01  1.57001991e-01  2.18372985e-05  2.04859998e-05  4.23232979e-05 
-1.15000000e-02  1.57944634e+00  6.60010025e-01  1.56992539e-01  2.18249986e-05  2.04976611e-05  4.23226594e-05 
