 frequency              gain                  
 1.000000000000000e+00  1.046671413111370e+00 
 1.019373485938873e+00  1.046671413111349e+00 
 1.039122303835169e+00  1.046671413111333e+00 
 1.059253725177289e+00  1.046671413111311e+00 
 1.079775162327710e+00  1.046671413111294e+00 
 1.100694171252210e+00  1.046671413111261e+00 
 1.122018454301964e+00  1.046671413111232e+00 
 1.143755863049539e+00  1.046671413111212e+00 
 1.165914401179832e+00  1.046671413111184e+00 
 1.188502227437019e+00  1.046671413111163e+00 
 1.211527658628589e+00  1.046671413111130e+00 
 1.234999172687586e+00  1.046671413111096e+00 
 1.258925411794168e+00  1.046671413111059e+00 
 1.283315185557652e+00  1.046671413111028e+00 
 1.308177474260195e+00  1.046671413110992e+00 
 1.333521432163325e+00  1.046671413110957e+00 
 1.359356390878527e+00  1.046671413110918e+00 
 1.385691862803129e+00  1.046671413110880e+00 
 1.412537544622755e+00  1.046671413110842e+00 
 1.439903320881634e+00  1.046671413110805e+00 
 1.467799267622071e+00  1.046671413110765e+00 
 1.496235656094435e+00  1.046671413110715e+00 
 1.525222956539020e+00  1.046671413110675e+00 
 1.554771842041175e+00  1.046671413110620e+00 
 1.584893192461115e+00  1.046671413110568e+00 
 1.615598098439875e+00  1.046671413110524e+00 
 1.646897865482870e+00  1.046671413110473e+00 
 1.678804018122562e+00  1.046671413110412e+00 
 1.711328304161782e+00  1.046671413110354e+00 
 1.744482698999256e+00  1.046671413110293e+00 
 1.778279410038925e+00  1.046671413110231e+00 
 1.812730881184701e+00  1.046671413110164e+00 
 1.847849797422293e+00  1.046671413110102e+00 
 1.883649089489803e+00  1.046671413110035e+00 
 1.920141938638804e+00  1.046671413109955e+00 
 1.957341781487663e+00  1.046671413109888e+00 
 1.995262314968882e+00  1.046671413109809e+00 
 2.033917501372295e+00  1.046671413109734e+00 
 2.073321573485958e+00  1.046671413109643e+00 
 2.113489039836649e+00  1.046671413109554e+00 
 2.154434690031886e+00  1.046671413109463e+00 
 2.196173600205439e+00  1.046671413109366e+00 
 2.238721138568343e+00  1.046671413109267e+00 
 2.282092971067454e+00  1.046671413109165e+00 
 2.326305067153629e+00  1.046671413109065e+00 
 2.371373705661659e+00  1.046671413108948e+00 
 2.417315480804108e+00  1.046671413108831e+00 
 2.464147308281285e+00  1.046671413108710e+00 
 2.511886431509584e+00  1.046671413108592e+00 
 2.560550427970480e+00  1.046671413108469e+00 
 2.610157215682541e+00  1.046671413108323e+00 
 2.660725059798814e+00  1.046671413108182e+00 
 2.712272579332033e+00  1.046671413108032e+00 
 2.764818754010113e+00  1.046671413107880e+00 
 2.818382931264459e+00  1.046671413107717e+00 
 2.872984833353670e+00  1.046671413107554e+00 
 2.928644564625242e+00  1.046671413107388e+00 
 2.985382618917966e+00  1.046671413107219e+00 
 3.043219887107728e+00  1.046671413107026e+00 
 3.102177664799508e+00  1.046671413106845e+00 
 3.162277660168387e+00  1.046671413106635e+00 
 3.223542001952470e+00  1.046671413106442e+00 
 3.285993247600662e+00  1.046671413106226e+00 
 3.349654391578285e+00  1.046671413105999e+00 
 3.414548873833610e+00  1.046671413105776e+00 
 3.480700588428419e+00  1.046671413105527e+00 
 3.548133892335763e+00  1.046671413105284e+00 
 3.616873614408168e+00  1.046671413105026e+00 
 3.686945064519584e+00  1.046671413104747e+00 
 3.758374042884451e+00  1.046671413104459e+00 
 3.831186849557297e+00  1.046671413104181e+00 
 3.905410294116390e+00  1.046671413103874e+00 
 3.981071705534982e+00  1.046671413103559e+00 
 4.058198942243808e+00  1.046671413103219e+00 
 4.136820402388517e+00  1.046671413102891e+00 
 4.216965034285833e+00  1.046671413102552e+00 
 4.298662347082288e+00  1.046671413102167e+00 
 4.381942421619448e+00  1.046671413101788e+00 
 4.466835921509642e+00  1.046671413101386e+00 
 4.553374104426261e+00  1.046671413100989e+00 
 4.641588833612791e+00  1.046671413100564e+00 
 4.731512589614817e+00  1.046671413100115e+00 
 4.823178482239319e+00  1.046671413099664e+00 
 4.916620262745656e+00  1.046671413099165e+00 
 5.011872336272736e+00  1.046671413098667e+00 
 5.108969774506941e+00  1.046671413098161e+00 
 5.207948328595478e+00  1.046671413097622e+00 
 5.308844442309899e+00  1.046671413097076e+00 
 5.411695265464652e+00  1.046671413096491e+00 
 5.516538667595595e+00  1.046671413095890e+00 
 5.623413251903506e+00  1.046671413095259e+00 
 5.732358369467730e+00  1.046671413094617e+00 
 5.843414133735193e+00  1.046671413093930e+00 
 5.956621435290122e+00  1.046671413093223e+00 
 6.072021956909904e+00  1.046671413092495e+00 
 6.189658188912625e+00  1.046671413091742e+00 
 6.309573444801952e+00  1.046671413090945e+00 
 6.431811877215107e+00  1.046671413090132e+00 
 6.556418494179809e+00  1.046671413089283e+00 
 6.683439175686167e+00  1.046671413088379e+00 
 6.812920690579634e+00  1.046671413087465e+00 
 6.944910713781234e+00  1.046671413086504e+00 
 7.079457843841402e+00  1.046671413085514e+00 
 7.216611620833906e+00  1.046671413084474e+00 
 7.356422544596438e+00  1.046671413083408e+00 
