tag,role,description,total_gate_area_proxy_um2,a0_db,loop_phase_1hz_deg,zero_db_downward_crossings,zero_db_all_crossings,zero_db_exact_samples,ugb_crossing_index,ugb_crossing_at_boundary,ugb_mhz,phase_at_ugb_deg,pm_deg,ivdd_signed_ua,power_uw,vout_v,vx_v,vbn_v,vbp_v,tail_v,nmir_v,sr_plus_v_per_us,sr_minus_v_per_us,sr_plus_fit_points,sr_minus_fit_points,rise_input_50_us,fall_input_50_us,rise_settling_us,fall_settling_us,worst_settling_us,overshoot_mv,undershoot_mv,ad_1k_db,asupply_plus_1k_v_per_v,asupply_minus_1k_v_per_v,psrr_plus_1k_db,psrr_minus_1k_db,icmr_0p8_valid,icmr_1p3_valid,icmr_1p3_gain_delta_db,icmr_1p3_minimum_margin_v,core_hard_specs_pass,delta_psrr_plus_db,delta_psrr_minus_db,delta_a0_db,delta_pm_deg,delta_icmr_1p3_gain_db,total_gate_area_factor_vs_baseline,changed_device_area_factor,disposition,bounded_nominal_rank,manifest_sha256
baseline,BASELINE,Frozen Day 3/Day 4 geometry,167.73915713520415,67.6747746,-0.00682757217,1,1,0,866,False,16.745447946145656,-110.91708916531462,69.08291083468538,-150.298315,270.536967,0.899999207,0.792073509,0.657987201,0.632753936,0.214698188,0.792124975,8.202029183242562,11.51994780576901,62,47,1.01,3.03,0.07475000000000001,0.04075000000000042,0.07475000000000001,74.99684000000006,1.858472,67.60730559828647,36.62672803937847,36.967058518505155,36.33134312339121,36.251007698539134,True,False,-4.935270530824049,0.15608119379999996,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PRODUCTION_BASELINE_RETAINED,NOT_BEST,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,CANDIDATE,Lengthen M1-M4 by 2x at constant W/L,368.2530971352042,74.376128,-0.0147882289,1,1,0,866,False,16.740657519415482,-118.47615061139037,61.523849388609634,-150.602377,271.0842786,0.900291979,0.792065634,0.657987201,0.632753936,0.24034225,0.751476178,8.093816779739612,11.857508786807301,63,45,1.01,3.03,0.07674999999999994,0.05175000000000039,0.07674999999999994,91.26535999999996,4.433380000000042,74.08236349530226,1.211038219900537,2.1795051572579713,72.41920650477854,67.31520547520202,True,False,-7.360502958834417,0.09521244150000001,True,36.087863381387336,31.064197776662887,6.701353399999988,-7.559061446075745,-2.425232428010368,2.195391364929646,4.0,REJECTED_TRADEOFF_NOT_PRODUCTION_SELECTED,BEST_NOMINAL_PSRR_CANDIDATE,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,CANDIDATE,Lengthen M1-M4 by 3x at constant W/L,702.4429971352041,76.124771,-0.0181480888,1,1,0,863,False,15.707635579578355,-126.2868250954643,53.713174904535705,-150.68221200000002,271.2279816,0.900323097,0.792064797,0.657987201,0.632753936,0.247907245,0.737412957,7.912402138831527,12.104594873569384,65,45,1.01,3.03,0.10174999999999991,0.05975000000000015,0.10174999999999991,104.80748000000007,10.708213999999995,75.69307107972628,0.41090913735520085,1.3918085573666288,83.41815510487478,72.82148103223997,True,False,-7.791745505530798,0.07350604850000006,False,47.08681198148358,36.57047333370084,8.44999639999999,-15.369735930149673,-2.8564749747067495,4.187710306479055,9.0,REJECT_CORE_HARD_REGRESSION,NOT_BEST,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,CANDIDATE,Lengthen only M7 by 2x at constant total W/L (mult=2),341.0203571352042,65.202595,-0.00492109748,1,1,0,855,False,13.446309589940203,-142.97849776403712,37.021502235962885,-93.8180418,168.87247524,0.898584028,0.702111854,0.657987201,0.632753936,0.213731894,0.792433169,4.686390668996051,11.655350594180707,104,46,1.01,3.03,0.26574999999999993,0.08975000000000029,0.26574999999999993,83.66470000000015,16.678213000000053,65.15962936608207,0.4778638160020459,1.469362680150156,71.57354642905324,61.81704926311077,True,False,-10.896318761087386,0.06397666130000007,False,35.24220330566203,25.566041564571634,-2.472179600000004,-32.061408598722494,-5.961048230263337,2.0330396489373608,4.0,REJECT_CORE_HARD_REGRESSION,NOT_BEST,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
