tag,vcm_v,device,role,drain_current_ua,vdsat_abs_v,saturation_margin_v,saturation_status,manifest_sha256
baseline,0.9,M3,"PMOS diode mirror load, two units",19.0200607,0.0872281236,0.9206469014000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,M4,"PMOS mirror output load, two units",19.020161400000003,0.0872282034,0.9206982876,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,M5,NMOS tail current source,38.040224099999996,0.0985645235,0.11613366450000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,M6,NMOS second-stage gain device,83.2666517,0.158432391,0.741566816,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,M7,PMOS second-stage current source,92.26664380000001,0.164441277,0.735559516,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M1,"NMOS input, VINN side",20.156128600000002,0.0790072754,0.16336607360000008,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M2,"NMOS input, VINP side",20.1709587,0.0790902632,0.15608119379999996,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M3,"PMOS diode mirror load, two units",20.1561273,0.0889369928,0.9225891972000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M4,"PMOS mirror output load, two units",20.1709573,0.0889484411,0.9297796409,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M5,NMOS tail current source,40.3270856,0.0985647501,0.4475357109,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M6,NMOS second-stage gain device,77.3627466,0.151938156,1.147878714,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M7,PMOS second-stage current source,90.3611112,0.16431738,0.33586575000000013,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
