 frequency       lr              li             
 1.00000000e+00 -6.66713310e+02 -6.88556678e-02 
 1.02329299e+00 -6.66713310e+02 -7.04595223e-02 
 1.04712855e+00 -6.66713309e+02 -7.21007354e-02 
 1.07151931e+00 -6.66713309e+02 -7.37801772e-02 
 1.09647820e+00 -6.66713308e+02 -7.54987383e-02 
 1.12201845e+00 -6.66713308e+02 -7.72573298e-02 
 1.14815362e+00 -6.66713308e+02 -7.90568841e-02 
 1.17489755e+00 -6.66713307e+02 -8.08983554e-02 
 1.20226443e+00 -6.66713307e+02 -8.27827201e-02 
 1.23026877e+00 -6.66713306e+02 -8.47109773e-02 
 1.25892541e+00 -6.66713306e+02 -8.66841494e-02 
 1.28824955e+00 -6.66713305e+02 -8.87032826e-02 
 1.31825674e+00 -6.66713305e+02 -9.07694474e-02 
 1.34896288e+00 -6.66713304e+02 -9.28837393e-02 
 1.38038426e+00 -6.66713303e+02 -9.50472795e-02 
 1.41253754e+00 -6.66713303e+02 -9.72612149e-02 
 1.44543977e+00 -6.66713302e+02 -9.95267195e-02 
 1.47910839e+00 -6.66713301e+02 -1.01844995e-01 
 1.51356125e+00 -6.66713301e+02 -1.04217269e-01 
 1.54881662e+00 -6.66713300e+02 -1.06644801e-01 
 1.58489319e+00 -6.66713299e+02 -1.09128877e-01 
 1.62181010e+00 -6.66713298e+02 -1.11670815e-01 
 1.65958691e+00 -6.66713297e+02 -1.14271963e-01 
 1.69824365e+00 -6.66713296e+02 -1.16933698e-01 
 1.73780083e+00 -6.66713295e+02 -1.19657434e-01 
 1.77827941e+00 -6.66713294e+02 -1.22444613e-01 
 1.81970086e+00 -6.66713293e+02 -1.25296715e-01 
 1.86208714e+00 -6.66713292e+02 -1.28215250e-01 
 1.90546072e+00 -6.66713291e+02 -1.31201766e-01 
 1.94984460e+00 -6.66713290e+02 -1.34257848e-01 
 1.99526231e+00 -6.66713288e+02 -1.37385115e-01 
 2.04173794e+00 -6.66713287e+02 -1.40585225e-01 
 2.08929613e+00 -6.66713286e+02 -1.43859875e-01 
 2.13796209e+00 -6.66713284e+02 -1.47210802e-01 
 2.18776162e+00 -6.66713283e+02 -1.50639781e-01 
 2.23872114e+00 -6.66713281e+02 -1.54148632e-01 
 2.29086765e+00 -6.66713279e+02 -1.57739215e-01 
 2.34422882e+00 -6.66713278e+02 -1.61413433e-01 
 2.39883292e+00 -6.66713276e+02 -1.65173234e-01 
 2.45470892e+00 -6.66713274e+02 -1.69020612e-01 
 2.51188643e+00 -6.66713272e+02 -1.72957608e-01 
 2.57039578e+00 -6.66713270e+02 -1.76986307e-01 
 2.63026799e+00 -6.66713267e+02 -1.81108847e-01 
 2.69153480e+00 -6.66713265e+02 -1.85327414e-01 
 2.75422870e+00 -6.66713263e+02 -1.89644243e-01 
 2.81838293e+00 -6.66713260e+02 -1.94061624e-01 
 2.88403150e+00 -6.66713257e+02 -1.98581899e-01 
 2.95120923e+00 -6.66713255e+02 -2.03207465e-01 
 3.01995172e+00 -6.66713252e+02 -2.07940774e-01 
 3.09029543e+00 -6.66713249e+02 -2.12784336e-01 
 3.16227766e+00 -6.66713245e+02 -2.17740719e-01 
 3.23593657e+00 -6.66713242e+02 -2.22812551e-01 
 3.31131121e+00 -6.66713238e+02 -2.28002520e-01 
 3.38844156e+00 -6.66713235e+02 -2.33313380e-01 
 3.46736850e+00 -6.66713231e+02 -2.38747945e-01 
