 frequency       lr              li             
 1.04712855e+01 -2.93114125e+04 -8.77492996e+02 
 1.07151931e+01 -2.93101751e+04 -8.97894512e+02 
 1.09647820e+01 -2.93088798e+04 -9.18768548e+02 
 1.12201845e+01 -2.93075233e+04 -9.40125886e+02 
 1.14815362e+01 -2.93061030e+04 -9.61977590e+02 
 1.17489755e+01 -2.93046159e+04 -9.84334956e+02 
 1.20226443e+01 -2.93030589e+04 -1.00720952e+03 
 1.23026877e+01 -2.93014286e+04 -1.03061308e+03 
 1.25892541e+01 -2.92997218e+04 -1.05455769e+03 
 1.28824955e+01 -2.92979349e+04 -1.07905567e+03 
 1.31825674e+01 -2.92960639e+04 -1.10411956e+03 
 1.34896288e+01 -2.92941049e+04 -1.12976222e+03 
 1.38038426e+01 -2.92920538e+04 -1.15599679e+03 
 1.41253754e+01 -2.92899064e+04 -1.18283666e+03 
 1.44543977e+01 -2.92876582e+04 -1.21029552e+03 
 1.47910839e+01 -2.92853046e+04 -1.23838737e+03 
 1.51356125e+01 -2.92828402e+04 -1.26712643e+03 
 1.54881662e+01 -2.92802601e+04 -1.29652731e+03 
 1.58489319e+01 -2.92775589e+04 -1.32660487e+03 
 1.62181010e+01 -2.92747312e+04 -1.35737431e+03 
 1.65958691e+01 -2.92717706e+04 -1.38885109e+03 
 1.69824365e+01 -2.92686710e+04 -1.42105104e+03 
 1.73780083e+01 -2.92654261e+04 -1.45399029e+03 
 1.77827941e+01 -2.92620293e+04 -1.48768532e+03 
 1.81970086e+01 -2.92584730e+04 -1.52215288e+03 
 1.86208714e+01 -2.92547500e+04 -1.55741010e+03 
 1.90546072e+01 -2.92508528e+04 -1.59347446e+03 
 1.94984460e+01 -2.92467728e+04 -1.63036372e+03 
 1.99526231e+01 -2.92425020e+04 -1.66809606e+03 
 2.04173794e+01 -2.92380312e+04 -1.70668995e+03 
 2.08929613e+01 -2.92333509e+04 -1.74616419e+03 
 2.13796209e+01 -2.92284519e+04 -1.78653804e+03 
 2.18776162e+01 -2.92233236e+04 -1.82783096e+03 
 2.23872114e+01 -2.92179554e+04 -1.87006290e+03 
 2.29086765e+01 -2.92123367e+04 -1.91325413e+03 
 2.34422882e+01 -2.92064552e+04 -1.95742520e+03 
 2.39883292e+01 -2.92002993e+04 -2.00259716e+03 
 2.45470892e+01 -2.91938560e+04 -2.04879129e+03 
 2.51188643e+01 -2.91871119e+04 -2.09602926e+03 
 2.57039578e+01 -2.91800535e+04 -2.14433317e+03 
 2.63026799e+01 -2.91726658e+04 -2.19372535e+03 
 2.69153480e+01 -2.91649343e+04 -2.24422862e+03 
 2.75422870e+01 -2.91568427e+04 -2.29586604e+03 
 2.81838293e+01 -2.91483744e+04 -2.34866101e+03 
 2.88403150e+01 -2.91395125e+04 -2.40263739e+03 
 2.95120923e+01 -2.91302387e+04 -2.45781925e+03 
 3.01995172e+01 -2.91205341e+04 -2.51423102e+03 
 3.09029543e+01 -2.91103791e+04 -2.57189745e+03 
 3.16227766e+01 -2.90997531e+04 -2.63084360e+03 
 3.23593657e+01 -2.90886347e+04 -2.69109482e+03 
 3.31131121e+01 -2.90770013e+04 -2.75267674e+03 
 3.38844156e+01 -2.90648296e+04 -2.81561525e+03 
 3.46736850e+01 -2.90520954e+04 -2.87993655e+03 
 3.54813389e+01 -2.90387728e+04 -2.94566694e+03 
 3.63078055e+01 -2.90248354e+04 -3.01283305e+03 
 3.71535229e+01 -2.90102554e+04 -3.08146167e+03 
 3.80189396e+01 -2.89950043e+04 -3.15157982e+03 
