metric,day3_reference,day4_observed,absolute_difference,tolerance,unit,status,manifest_sha256
open_loop_gain,67.6747747,67.67595287,0.001178167715,0.02,dB,PASS,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
unity_gain_bandwidth,16.74544802,16.74544794,7.069057517e-08,0.02,MHz,PASS,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
phase_margin,69.08291077,69.08291044,3.270988458e-07,0.02,deg,PASS,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
quiescent_power,270.536967,270.536967,0,0.02,uW,PASS,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
slew_rate_positive_formal,8.202029183,8.202029183,0,0.02,V/us,PASS,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
slew_rate_negative_formal,11.51994781,11.51994781,0,0.02,V/us,PASS,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
worst_1pct_settling_formal,0.07475,0.07475,0,0.002,us,PASS,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
