deck,log,exit_code,ngspice_done,convergence_failure,fatal_error,dynamic_gmin_start_count,known_multiplier_warning_count,warning_count,noise_conductance_reset_warning_count,status,manifest_sha256
results/generated/day4/icmr/vcm_0p40.spice,results/raw/day4/logs/icmr/vcm_0p40.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p41.spice,results/raw/day4/logs/icmr/vcm_0p41.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p42.spice,results/raw/day4/logs/icmr/vcm_0p42.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p43.spice,results/raw/day4/logs/icmr/vcm_0p43.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p44.spice,results/raw/day4/logs/icmr/vcm_0p44.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p45.spice,results/raw/day4/logs/icmr/vcm_0p45.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p46.spice,results/raw/day4/logs/icmr/vcm_0p46.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p47.spice,results/raw/day4/logs/icmr/vcm_0p47.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p48.spice,results/raw/day4/logs/icmr/vcm_0p48.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
results/generated/day4/icmr/vcm_0p49.spice,results/raw/day4/logs/icmr/vcm_0p49.log,0,True,False,False,2,1,1,0,PASS_WITH_DYNAMIC_GMIN,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
