state,tag,cc_pf,rz_ohm,a0_db,low_frequency_phase_deg,ugb_hz,phase_at_ugb_deg,phase_margin_deg,gain_3db_bandwidth_hz,low_frequency_phase_near_zero,hard_ac_specs_pass,selection_role,phase_margin_improvement_vs_cc_only_deg
BEFORE_CC_ONLY,cc3p_rz0,3,0.001,67.6747747,-0.00682757217,17255334.1,-146.776357,33.2236432,7905.7642,True,False,CC_ONLY_BASELINE,0
AFTER_RZ_SELECTED,cc3p_rz2k,3,2000,67.6747747,-0.00682757215,16745448,-110.917089,69.0829108,7903.42039,True,True,SELECTED,35.8592675
