metric,value,unit,requirement_or_context,status,evidence_path,notes,manifest_sha256
stage_status,DAY4_CHARACTERIZATION_COMPLETE,,13-point PVT plus nominal characterization,INFO,results/pvt_summary.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
nominal_open_loop_gain,67.67595286771476,dB,>=50 hard; >=60 stretch,PASS,results/raw/day4/pvt/P01_diff_ac.tsv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
nominal_unity_gain_bandwidth,16.74544794482149,MHz,>=5 hard; >=10 stretch,PASS,results/raw/day4/pvt/P01_loop.tsv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
nominal_phase_margin,69.08291044444665,deg,>=55 hard; >=65 stretch,PASS,results/raw/day4/pvt/P01_loop.tsv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
nominal_quiescent_power,270.536967,uW,<=600 hard; <=400 stretch,PASS,results/raw/day4/pvt/P01_op.tsv,Signed source current retained in pvt_summary.csv,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
nominal_slew_rate_positive,8.202029183242544,V/us,>=2 hard; >=4 stretch,PASS,results/raw/day4/pvt/P01_transient.tsv,Least-squares fit over directed monotonic 20%-80% interval,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
nominal_slew_rate_negative,11.519947805768885,V/us,>=2 hard; >=4 stretch,PASS,results/raw/day4/pvt/P01_transient.tsv,Least-squares fit over directed monotonic 80%-20% interval,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
nominal_worst_1pct_settling,0.07475000000000001,us,<=1.5 hard; <=1.0 stretch,PASS,results/raw/day4/pvt/P01_transient.tsv,Time zero is interpolated input 50% crossing,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
CMRR_at_1kHz,71.32221500652518,dB,>=55 hard; >=65 stretch,PASS,results/day4_cmrr_psrr_curves.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
PSRR_plus_at_1kHz,36.33134312339121,dB,>=45 hard; >=55 stretch,PSRR_PLUS_FAIL,results/day4_cmrr_psrr_curves.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
PSRR_minus_at_1kHz,36.251007698539134,dB,>=45 hard; >=55 stretch,PSRR_MINUS_FAIL,results/day4_cmrr_psrr_curves.csv,VSS is an explicit AC source; VDD and inputs remain absolute AC ground,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
ICMR_low_endpoint,0.76,V,<=0.8,PASS,results/day4_icmr_sweep.csv,Largest continuous valid 10-mV-grid interval containing 0.9 V; 50-mV rail guard,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
ICMR_high_endpoint,1.22,V,>=1.3,ICMR_HIGH_FAIL,results/day4_icmr_sweep.csv,Gain within -3 dB of nominal and every M1-M10 saturation margin nonnegative,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
ICMR_combined_interval,0.76-1.22,V,contains 0.8-1.3 V,ICMR_FAIL,results/day4_icmr_sweep.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
output_swing_low_endpoint,0.18,V,<=0.3,PASS,results/day4_output_swing_sweep.csv,Equal 10-Megohm RIN/RFB; forward/reverse sweeps,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
output_swing_high_endpoint,1.63,V,>=1.5,PASS,results/day4_output_swing_sweep.csv,Tracking error <=10 mV and M6/M7 saturated,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
output_swing_combined_interval,0.18-1.63,V,contains 0.3-1.5 V,PASS,results/day4_output_swing_sweep.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
input_noise_density_at_1kHz,401.170045,nV/sqrtHz,REPORT,REPORTED,results/day4_noise_curve.csv,SPICE conductance-reset warnings retained: 24 (see log audit),6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
integrated_input_noise_10Hz_1MHz,52.301624079588606,uV_rms,REPORT,REPORTED,results/day4_noise_curve.csv,SPICE conductance-reset warnings retained: 24 (see log audit),6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
phase_margin_CL_1pF,94.16261628405134,deg,>=55 and no sustained/growing oscillation,PASS,results/day4_load_stability.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
phase_margin_CL_2pF,86.28820242611019,deg,>=55 and no sustained/growing oscillation,PASS,results/day4_load_stability.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
phase_margin_CL_5pF,69.08291044444665,deg,>=55 and no sustained/growing oscillation,PASS,results/day4_load_stability.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
external_IREF_model,IDEAL_10_UA,,scope limitation,LIMITATION,results/generated/day4/day4_manifest.json,Reference-generator PVT variation is not represented,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
mismatch_and_Monte_Carlo,NOT_PERFORMED_SCOPE_LIMITATION,,not in five-day schematic scope,N/A_SCOPE_LIMITATION,results/generated/day4/day4_manifest.json,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
schematic_level_only,True,,no measured/fabricated claim,LIMITATION,results/generated/day4/day4_manifest.json,No extracted parasitics or layout,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
completed_ngspice_decks,171,decks,171 required,PASS,results/day4_log_audit.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
