frequency_hz,output_noise_density_V_per_sqrtHz,input_noise_density_V_per_sqrtHz,independent_output_over_Ad_V_per_sqrtHz,input_refer_verification_relative_error,manifest_sha256
10,0.00684666434,2.82966571e-06,2.829317819e-06,0.0001229443158,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.2329299,0.0067798346,2.80204568e-06,2.80170118e-06,0.000122945816,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.4712855,0.00671366037,2.77469657e-06,2.77435543e-06,0.0001229469507,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.7151931,0.00664813517,2.74761569e-06,2.747277884e-06,0.0001229451782,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.964782,0.00658325259,2.72080041e-06,2.720465903e-06,0.0001229442505,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.2201845,0.00651900629,2.6942481e-06,2.693916856e-06,0.0001229449003,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.4815362,0.00645538999,2.66795617e-06,2.667628157e-06,0.0001229454651,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.7489755,0.00639239748,2.64192205e-06,2.641597236e-06,0.0001229461818,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
12.0226443,0.00633002261,2.61614319e-06,2.615821553e-06,0.0001229432135,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
12.3026877,0.00626825927,2.59061708e-06,2.590298583e-06,0.0001229424879,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
12.5892541,0.00620710143,2.56534123e-06,2.565025832e-06,0.0001229459026,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
12.8824955,0.00614654313,2.54031316e-06,2.540000841e-06,0.0001229450253,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
