frequency_hz,ad_magnitude_V_per_V,acm_magnitude_V_per_V,aps_plus_magnitude_V_per_V,aps_minus_magnitude_V_per_V,cmrr_dB,psrr_plus_dB,psrr_minus_dB,common_mode_stimulus_magnitude_V,psrr_plus_stimulus_magnitude_V,psrr_minus_stimulus_magnitude_V,manifest_sha256
1.64689787,2419.90122,0.6571812531,36.9172018,37.26002056,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.67880402,2419.901212,0.6571812527,36.91720183,37.26002049,71.32224942,36.33137722,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.7113283,2419.901214,0.6571812523,36.91720176,37.26002052,71.32224944,36.33137725,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.7444827,2419.901217,0.6571812519,36.91720169,37.26002046,71.32224945,36.33137727,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.77827941,2419.901209,0.6571812505,36.91720173,37.26002039,71.32224944,36.33137724,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.81273088,2419.901211,0.6571812501,36.91720167,37.26002042,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.8478498,2419.901204,0.6571812498,36.9172016,37.26002036,71.32224943,36.33137725,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.88364909,2419.901206,0.6571812485,36.91720154,37.2600203,71.32224946,36.33137727,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.92014194,2419.901199,0.6571812482,36.91720158,37.26002024,71.32224944,36.33137723,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.95734178,2419.901192,0.657181247,36.91720153,37.26002018,71.32224943,36.33137722,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.99526231,2419.901195,0.6571812467,36.91720147,37.26002022,71.32224944,36.33137725,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.0339175,2419.901188,0.6571812456,36.91720142,37.26002016,71.32224943,36.33137723,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.07332157,2419.901191,0.6571812454,36.91720136,37.26002011,71.32224944,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.11348904,2419.901184,0.6571812443,36.91720131,37.26002006,71.32224943,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.15443469,2419.901177,0.6571812432,36.91720126,37.26002,71.32224942,36.33137723,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.1961736,2419.901181,0.6571812421,36.91720122,37.26001996,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.23872114,2419.901175,0.6571812411,36.91720117,37.26001991,71.32224944,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.28209297,2419.901168,0.6571812401,36.91720113,37.26001976,71.32224943,36.33137723,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.32630507,2419.901162,0.6571812392,36.91720099,37.26001972,71.32224942,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.37137371,2419.901166,0.6571812383,36.91720095,37.26001968,71.32224945,36.33137727,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.41731548,2419.901161,0.6571812364,36.91720092,37.26001964,71.32224945,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.46414731,2419.901155,0.6571812356,36.91720089,37.26001951,71.32224944,36.33137724,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.51188643,2419.90115,0.6571812349,36.91720076,37.26001947,71.32224943,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.56055043,2419.901144,0.6571812332,36.91720073,37.26001944,71.32224944,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.61015722,2419.901139,0.6571812315,36.9172006,37.26001931,71.32224944,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.66072506,2419.901134,0.6571812309,36.91720058,37.26001929,71.32224943,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.71227258,2419.90113,0.6571812293,36.91720046,37.26001917,71.32224944,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.76481875,2419.901125,0.6571812278,36.91720035,37.26001905,71.32224944,36.33137726,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.81838293,2419.901121,0.6571812264,36.91720034,37.26001903,71.32224944,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.87298483,2419.901107,0.657181224,36.91720023,37.26001892,71.32224943,36.33137722,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.92864456,2419.901103,0.6571812227,36.91720012,37.26001881,71.32224943,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
2.98538262,2419.9011,0.6571812204,36.91720002,37.2600187,71.32224945,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.04321989,2419.901096,0.6571812193,36.91719992,37.2600186,71.32224945,36.33137726,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.10217766,2419.901083,0.6571812171,36.91719983,37.2600185,71.32224943,36.33137723,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.16227766,2419.901081,0.6571812151,36.91719964,37.26001841,71.32224945,36.33137727,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.223542,2419.901068,0.6571812131,36.91719956,37.26001832,71.32224943,36.33137724,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.28599325,2419.901066,0.6571812113,36.91719947,37.26001813,71.32224945,36.33137725,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
