vcm_V,gain_dB,vout_V,actual_diff_input_at_1Hz_V,vx_V,vbn_V,vbp_V,tail_V,nmir_V,tracking_error_mV,minimum_saturation_margin_V,m1_id_uA,m1_vdsat_V,m1_saturation_margin_V,m2_id_uA,m2_vdsat_V,m2_saturation_margin_V,m3_id_uA,m3_vdsat_V,m3_saturation_margin_V,m4_id_uA,m4_vdsat_V,m4_saturation_margin_V,m5_id_uA,m5_vdsat_V,m5_saturation_margin_V,m6_id_uA,m6_vdsat_V,m6_saturation_margin_V,m7_id_uA,m7_vdsat_V,m7_saturation_margin_V,m8_id_uA,m8_vdsat_V,m8_saturation_margin_V,m9_id_uA,m9_vdsat_V,m9_saturation_margin_V,m10_id_uA,m10_vdsat_V,m10_saturation_margin_V,point_status,gain_delta_vs_0p9_dB,valid,manifest_sha256
0.5,66.03595584,0.497485861,1,0.803795985,0.657987201,0.632753936,0.00244999219,0.977339805,2.514139,-0.09611438611,0.776303842,0.04286975,0.9320200628,0.792615225,0.0429815643,0.7583644285,0.776303361,0.0470510889,0.7756091061,0.792614023,0.0470837871,0.9491202279,1.56891906,0.0985643783,-0.09611438611,88.6235926,0.165474265,0.332011596,93.5984487,0.164566042,1.137948097,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-1.639997026,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.51,66.15300116,0.50765997,1,0.803454518,0.657987201,0.632753936,0.00307298537,0.964909418,2.34003,-0.09549139343,0.971264349,0.0433825802,0.9184538524,0.990038152,0.0435091459,0.7568723867,0.971263824,0.0478133204,0.7872772616,0.990036948,0.0478497769,0.9486957051,1.96130249,0.0985643788,-0.09549139343,88.4920867,0.165268354,0.342391616,93.5686842,0.164562887,1.127777143,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-1.522951707,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.52,66.26698339,0.517832148,1,0.803117488,0.657987201,0.632753936,0.00383483704,0.952673571,2.167852,-0.09472954226,1.20805766,0.0439932545,0.9048454795,1.22947406,0.044134529,0.755148122,1.20805709,0.0487096272,0.7986168018,1.22947285,0.0487498154,0.9481326966,2.43753171,0.0985643793,-0.09472954226,88.3604448,0.165065197,0.352766951,93.5387644,0.164559734,1.117608118,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-1.408969473,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.53,66.37934993,0.528001435,1,0.802784636,0.657987201,0.632753936,0.00475910051,0.940704791,1.998565,-0.09380527939,1.4928802,0.0447108472,0.8912348433,1.51707399,0.0448662111,0.7531593244,1.49287958,0.0497492121,0.8095459969,1.51707278,0.0497929732,0.9474223908,3.00995417,0.0985643799,-0.09380527939,88.2286769,0.164864632,0.363136803,93.5086896,0.164556582,1.107441983,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-1.296602941,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.54,66.49107756,0.538166783,1,0.802455732,0.657987201,0.632753936,0.00587071618,0.929070551,1.833217,-0.09269366452,1.83181973,0.0455420706,0.8776577642,1.85886122,0.04571028,0.7508747358,1.83181906,0.0509375634,0.8199918856,1.85886001,0.0509845914,0.9465596766,3.69068093,0.0985643807,-0.09269366452,88.0967941,0.164666515,0.373500268,93.4784605,0.16455343,1.097279787,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-1.184875308,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.55,66.60256856,0.548327105,1,0.802130565,0.657987201,0.632753936,0.00719521885,0.917831099,1.672895,-0.09136916275,2.23044982,0.0464903434,0.8641455368,2.26032574,0.0466695371,0.7482658091,2.2304491,0.0522754995,0.8298934015,2.26032452,0.0523253383,0.9455440967,4.49077553,0.0985643816,-0.09136916275,87.9648081,0.164470713,0.383856392,93.4480779,0.164550281,1.087122614,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-1.073384306,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.56,66.71363034,0.558481351,1,0.801808946,0.657987201,0.632753936,0.00875774379,0.907037935,1.518649,-0.08980663891,2.69335592,0.0475550294,0.8507251618,2.72595267,0.0477427968,0.7453084054,2.69335515,0.0537585185,0.8392035465,2.72595145,0.0538105719,0.9443804821,5.41930856,0.0985643827,-0.08980663891,87.83273,0.164277107,0.394204244,93.4175424,0.164547133,1.076971516,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.9623225228,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.57,66.82354664,0.568628581,1,0.801490694,0.657987201,0.632753936,0.0105819243,0.896732911,1.371419,-0.0879824596,3.22364007,0.0487309925,0.8374199942,3.25873207,0.0489244968,0.7419842729,3.22363925,0.0553765785,0.8478905105,3.25873084,0.0554301338,0.9430791722,6.4823721,0.0985643839,-0.0879824596,87.7005697,0.164085584,0.404542997,93.3868545,0.164543987,1.066827432,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.8524062292,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.58,66.93122306,0.578768031,1,0.801175641,0.657987201,0.632753936,0.0126888179,0.886947916,1.231969,-0.0858755674,3.82246814,0.0500085717,0.8242505264,3.85971366,0.0502047124,0.7382821107,3.82246727,0.0571143706,0.8559377134,3.85971243,0.0571686342,0.9416557248,7.68218175,0.0985643853,-0.0858755674,87.5683346,0.163896039,0.414871992,93.356014,0.164540844,1.056691125,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.7447298125,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.59,67.03537442,0.588899152,1,0.800863625,0.657987201,0.632753936,0.0150960148,0.87770508,1.100848,-0.0834683722,4.48872669,0.0513739983,0.8112350669,4.527673,0.0515695913,0.7341980189,4.48872578,0.0589520586,0.8633428614,4.52767177,0.0590061974,0.9401301776,9.01639963,0.098564387,-0.0834683722,87.4360293,0.16370837,0.425190782,93.32502,0.164537704,1.046563144,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.6405784462,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
