point_id,process,VDD_V,temp_C,device,role,drain_current_uA,gm_uS,gds_uS,vdsat_abs_V,saturation_margin_V,saturation_status,vout_V,vx_V,tail_V,nmir_V,vbn_V,vbp_V,ivdd_signed_uA,manifest_sha256
P03,SS,1.8,27,M1,"NMOS input, VINN side",19.1816843,374.840316,3.74871074,0.076584639,0.487810278,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M2,"NMOS input, VINP side",19.0658326,373.064379,3.53660115,0.0761984726,0.5507802844,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M3,"PMOS diode mirror load, two units",19.1816828,313.310879,1.83335526,0.0898124632,0.9506993078,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M4,"PMOS mirror output load, two units",19.0658314,311.594282,1.86970787,0.0897208187,0.8882071123,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M5,NMOS tail current source,38.2475163,621.985988,16.2362647,0.101309582,0.09378373,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M6,NMOS second-stage gain device,83.637225,803.97109,8.19620476,0.164889899,0.736028815,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M7,PMOS second-stage current source,92.6464122,936.59502,3.74817321,0.168660618,0.730420668,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M8,PMOS diode IREF reference,9.99999877,98.2972146,0.320744745,0.174152986,1.028154794,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M9,PMOS VBN-bias current source,9.97237046,98.0399175,0.338264103,0.17412882,0.944276872,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P03,SS,1.8,27,M10,NMOS diode VBN reference,9.9723709,167.953748,0.989849176,0.0942045594,0.5873897486,PASS,0.900918714,0.822072069,0.195093312,0.759488229,0.681594308,0.59769222,-150.866303,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M1,"NMOS input, VINN side",19.1814215,372.783816,3.46269081,0.0766982947,0.5600273423,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M2,"NMOS input, VINP side",19.1645518,372.519571,3.44096881,0.0766497307,0.5674804083,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M3,"PMOS diode mirror load, two units",19.1814202,307.84404,2.27632381,0.0849571804,0.8910983876,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M4,"PMOS mirror output load, two units",19.1645506,307.593996,2.28028191,0.0849436106,0.8837074554,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M5,NMOS tail current source,38.3459726,618.328583,18.0149428,0.102101613,0.085117182,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M6,NMOS second-stage gain device,82.7773337,795.004755,7.97742657,0.165361546,0.734752309,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
