scale,command_V,drive_V,vout_V,vinn_V,vx_V,m6_id_A,m6_vdsat_V,m7_id_A,m7_vdsat_V,direction,mapping_error_V,tracking_error_mV,m6_saturation_margin_V,m7_saturation_margin_V,not_clipped,valid,point_status,reverse_vout_V,forward_reverse_delta_uV,reverse_valid,counterpart_point_status,manifest_sha256
1.7,0.1,1.7,0.102516764,0.901258382,0.875332006,9.37062494e-05,0.208774872,9.46509506e-05,0.164688503,COMMAND_ASCENDING,-8.326672685e-17,2.516764,-0.106258108,1.532794733,True,False,SATURATION,0.102516764,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.69,0.11,1.69,0.112156544,0.901078272,0.863279252,9.35851089e-05,0.201665143,9.46272665e-05,0.164685513,COMMAND_ASCENDING,-9.714451465e-17,2.156544,-0.089508599,1.523157943,True,False,SATURATION,0.112156544,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.68,0.12,1.68,0.121869122,0.900934561,0.853693056,9.34630185e-05,0.19593786,9.46033176e-05,0.164682501,COMMAND_ASCENDING,-1.110223025e-16,1.869122,-0.074068738,1.513448377,True,False,SATURATION,0.121869122,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.67,0.13,1.67,0.131639055,0.900819527,0.846040661,9.33401007e-05,0.191321677,9.45791391e-05,0.164679472,COMMAND_ASCENDING,-1.110223025e-16,1.639055,-0.059682622,1.503681473,True,False,SATURATION,0.131639055,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.66,0.14,1.66,0.141454602,0.900727301,0.839918881,9.32165272e-05,0.187602085,9.45547576e-05,0.164676428,COMMAND_ASCENDING,-1.110223025e-16,1.454602,-0.046147483,1.49386897,True,False,SATURATION,0.141454602,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.65,0.15,1.65,0.151306514,0.900653257,0.835013616,9.30924103e-05,0.184605749,9.45301939e-05,0.164673373,COMMAND_ASCENDING,-1.387778781e-16,1.306514,-0.033299235,1.484020113,True,False,SATURATION,0.151306514,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.64,0.16,1.64,0.161187391,0.900593696,0.83107387,9.29678388e-05,0.182189958,9.45054645e-05,0.164670309,COMMAND_ASCENDING,-1.387778781e-16,1.187391,-0.021002567,1.4741423,True,False,SATURATION,0.161187391,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.63,0.17,1.63,0.171091175,0.900545587,0.82789577,9.28428893e-05,0.180236033,9.44805826e-05,0.164667238,COMMAND_ASCENDING,-1.387778781e-16,1.091175,-0.009144858,1.464241587,True,False,SATURATION,0.171091175,0,False,SATURATION,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.62,0.18,1.62,0.181012904,0.900506452,0.825313161,9.27176213e-05,0.178645518,9.4455559e-05,0.164664161,COMMAND_ASCENDING,5.551115123e-17,1.012904,0.002367386,1.454322935,True,True,VALID,0.181012904,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.61,0.19,1.61,0.190948563,0.900474281,0.823191993,9.25920829e-05,0.177337942,9.44304021e-05,0.16466108,COMMAND_ASCENDING,5.551115123e-17,0.948563,0.013610621,1.444390357,True,True,VALID,0.190948563,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
