 frequency              onoise_spectrum        inoise_spectrum       
 1.000000000000000e+01  6.877615712008577e-03  2.829544861614720e-06 
 1.023292992280754e+01  6.810483802059120e-03  2.801925981150810e-06 
 1.047128548050899e+01  6.744010356447407e-03  2.774578004673344e-06 
 1.071519305237606e+01  6.678188875891330e-03  2.747498258401626e-06 
 1.096478196143185e+01  6.613012925766871e-03  2.720684095161312e-06 
 1.122018454301963e+01  6.548476135441890e-03  2.694132894107242e-06 
 1.148153621496883e+01  6.484572197633044e-03  2.667842060459137e-06 
 1.174897554939530e+01  6.421294867821154e-03  2.641809025271696e-06 
 1.202264434617413e+01  6.358637963531301e-03  2.616031245120725e-06 
 1.230268770812381e+01  6.296595363787189e-03  2.590506201894546e-06 
 1.258925411794167e+01  6.235161008451536e-03  2.565231402514435e-06 
 1.288249551693134e+01  6.174328897624935e-03  2.540204378689598e-06 
 1.318256738556407e+01  6.114093091045398e-03  2.515422686671313e-06 
 1.348962882591653e+01  6.054447707474187e-03  2.490883906997475e-06 
 1.380384264602884e+01  5.995386924103119e-03  2.466585644249055e-06 
 1.412537544622754e+01  5.936904976015700e-03  2.442525526838308e-06 
 1.445439770745927e+01  5.878995925531200e-03  2.418701206753374e-06 
 1.479108388168207e+01  5.821654583923053e-03  2.395110359235614e-06 
 1.513561248436208e+01  5.764875124068534e-03  2.371750682703903e-06 
 1.548816618912481e+01  5.708652006693612e-03  2.348619898426411e-06 
 1.584893192461113e+01  5.652979747510304e-03  2.325715750296870e-06 
 1.621810097358929e+01  5.597852916701250e-03  2.303036004630207e-06 
 1.659586907437560e+01  5.543266138349522e-03  2.280578449923583e-06 
 1.698243652461744e+01  5.489214089893057e-03  2.258340896631385e-06 
 1.737800828749375e+01  5.435691501589144e-03  2.236321176945306e-06 
 1.778279410038922e+01  5.382693156019064e-03  2.214517144597890e-06 
 1.819700858609983e+01  5.330213887531513e-03  2.192926674627589e-06 
 1.862087136662867e+01  5.278248581701650e-03  2.171547663152334e-06 
 1.905460717963246e+01  5.226791970390186e-03  2.150378027219527e-06 
 1.949844599758044e+01  5.175839451100697e-03  2.129415704453982e-06 
 1.995262314968879e+01  5.125385853628692e-03  2.108658653042923e-06 
 2.041737944669528e+01  5.075426263468751e-03  2.088104851395943e-06 
 2.089296130854038e+01  5.025955814878596e-03  2.067752298002315e-06 
 2.137962089502231e+01  4.976969690319979e-03  2.047599011187385e-06 
 2.187761623949551e+01  4.928463120031674e-03  2.027643028948846e-06 
 2.238721138568338e+01  4.880431190600957e-03  2.007882408774679e-06 
 2.290867652767771e+01  4.832869610047186e-03  1.988315227328720e-06 
 2.344228815319920e+01  4.785773556228843e-03  1.968939580452119e-06 
 2.398832919019489e+01  4.739138445643577e-03  1.949753582821083e-06 
 2.454708915685028e+01  4.692959740211086e-03  1.930755367816749e-06 
 2.511886431509578e+01  4.647232765014693e-03  1.911943087365876e-06 
 2.570395782768862e+01  4.601953436778848e-03  1.893314911612473e-06 
 2.630267991895380e+01  4.557117167330323e-03  1.874869028935039e-06 
 2.691534803926913e+01  4.512719595721292e-03  1.856603645657456e-06 
 2.754228703338164e+01  4.468756404141894e-03  1.838516985861902e-06 
 2.818382931264451e+01  4.425223144410785e-03  1.820607291262740e-06 
 2.884031503126603e+01  4.382115931697806e-03  1.802872820923149e-06 
 2.951209226666383e+01  4.339430400313225e-03  1.785311851235425e-06 
 3.019951720402014e+01  4.297162232742151e-03  1.767922675668844e-06 
 3.090295432513588e+01  4.255307658465359e-03  1.750703604518115e-06 
 3.162277660168376e+01  4.213862439992424e-03  1.733652964898790e-06 
 3.235936569296280e+01  4.172822386591592e-03  1.716769100506716e-06 
 3.311311214825908e+01  4.132183838633371e-03  1.700050371347265e-06 
 3.388441561392022e+01  4.091942683005434e-03  1.683495153755475e-06 
 3.467368504525312e+01  4.052094851939711e-03  1.667101840140577e-06 
 3.548133892335751e+01  4.012636793408998e-03  1.650868838763746e-06 
 3.630780547701009e+01  3.973564514950472e-03  1.634794573709009e-06 
 3.715352290971721e+01  3.934874068130855e-03  1.618877484679345e-06 
 3.801893963205607e+01  3.896562005248722e-03  1.603116026728411e-06 
 3.890451449942801e+01  3.858624299969123e-03  1.587508670315256e-06 
 3.981071705534967e+01  3.821057572438146e-03  1.572053900940117e-06 
 4.073802778041122e+01  3.783857875322323e-03  1.556750219181354e-06 
 4.168693834703348e+01  3.747021748647918e-03  1.541596140391563e-06 
 4.265795188015920e+01  3.710545762259940e-03  1.526590194607694e-06 
 4.365158322401653e+01  3.674426084402222e-03  1.511730926487818e-06 
 4.466835921509625e+01  3.638659498870472e-03  1.497016894994071e-06 
 4.570881896148743e+01  3.603242249016430e-03  1.482446673432380e-06 
 4.677351412871975e+01  3.568171042214129e-03  1.468018849155331e-06 
 4.786300923226376e+01  3.533442614188627e-03  1.453732023492343e-06 
