 time            v(vdd)          cm              v(xpga.xamp.bn) v(xpga.xamp.bp) v(xpga.xamp.start) i(vdd)         
 2.00000000e-10  3.60000000e-04  5.62603601e-07  1.82394997e-05  3.43531392e-04  2.18565163e-05 -1.01148021e-06 
 4.00000000e-10  7.20000000e-04  1.13765953e-06  3.60519108e-05  6.90903520e-04  4.33394279e-05 -1.02192803e-06 
 8.00000000e-10  1.44000000e-03  2.29733903e-06  7.10086888e-05  1.38613082e-03  8.50913427e-05 -1.01662280e-06 
 1.60000000e-09  2.88000000e-03  4.70632718e-06  1.38684356e-04  2.77757141e-03  1.64170205e-04 -1.01111573e-06 
 3.20000000e-09  5.76000000e-03  1.01053906e-05  2.66405162e-04  5.56366631e-03  3.07239967e-04 -9.99942970e-07 
 6.40000000e-09  1.15200000e-02  2.45195245e-05  4.99607785e-04  1.11444426e-02  5.49070838e-04 -9.86484710e-07 
 1.28000000e-08  2.30400000e-02  7.37097121e-05  9.12541294e-04  2.23247589e-02  9.30536295e-04 -9.67771945e-07 
 2.00000000e-08  3.60000000e-02  1.67496059e-04  1.33936696e-03  3.49166127e-02  1.28404768e-03 -9.56305638e-07 
 2.12800000e-08  3.83040000e-02  1.89428965e-04  1.41303302e-03  3.71560594e-02  1.34251563e-03 -9.54410775e-07 
 2.38400000e-08  4.29120000e-02  2.36101090e-04  1.55903896e-03  4.16354820e-02  1.45682862e-03 -9.48287689e-07 
 2.89600000e-08  5.21280000e-02  3.46297150e-04  1.84681662e-03  5.05961336e-02  1.67744533e-03 -9.42369837e-07 
 3.92000000e-08  7.05600000e-02  6.33778210e-04  2.41113728e-03  6.85227546e-02  2.09863106e-03 -9.25702222e-07 
 5.92000000e-08  1.06560000e-01  1.44992898e-03  3.48875804e-03  1.03549412e-01  2.88196387e-03 -9.01402397e-07 
 7.92000000e-08  1.42560000e-01  2.59745960e-03  4.54700396e-03  1.38589839e-01  3.63473840e-03 -8.75765602e-07 
 9.92000000e-08  1.78560000e-01  4.06935275e-03  5.59214104e-03  1.73642112e-01  4.35984130e-03 -8.55239044e-07 
 1.19200000e-07  2.14560000e-01  5.85896296e-03  6.62740916e-03  2.08705364e-01  5.05143466e-03 -8.32742383e-07 
 1.39200000e-07  2.50560000e-01  7.95988792e-03  7.65505597e-03  2.43778952e-01  5.69889974e-03 -8.14965876e-07 
 1.59200000e-07  2.86560000e-01  1.03659417e-02  8.67682500e-03  2.78862386e-01  6.28711838e-03 -7.94950682e-07 
 1.79200000e-07  3.22560000e-01  1.30711381e-02  9.69414854e-03  3.13955177e-01  6.79577924e-03 -7.79442782e-07 
 1.99200000e-07  3.58560000e-01  1.60696621e-02  1.07081841e-02  3.49056928e-01  7.19825023e-03 -7.61531058e-07 
 2.19200000e-07  3.94560000e-01  1.93558482e-02  1.17198668e-02  3.84167224e-01  7.46028535e-03 -7.47991835e-07 
 2.39200000e-07  4.30560000e-01  2.29241627e-02  1.27298975e-02  4.19285729e-01  7.53875438e-03 -7.31953104e-07 
 2.59200000e-07  4.66560000e-01  2.67691914e-02  1.37387681e-02  4.54412086e-01  7.38083535e-03 -7.20219207e-07 
 2.79200000e-07  5.02560000e-01  3.08856297e-02  1.47467306e-02  4.89546012e-01  6.92438417e-03 -7.05958577e-07 
 2.99200000e-07  5.38560000e-01  3.52682763e-02  1.57537989e-02  5.24687193e-01  6.10083428e-03 -6.96008487e-07 
 3.19200000e-07  5.74560000e-01  3.99120284e-02  1.67596897e-02  5.59835389e-01  4.84263459e-03 -6.83586917e-07 
 3.39200000e-07  6.10560000e-01  4.48118785e-02  1.77637780e-02  5.94990323e-01  3.09781681e-03 -6.75582089e-07 
 3.59200000e-07  6.46560000e-01  4.99629140e-02  1.87649239e-02  6.30151792e-01  8.57552187e-04 -6.65298683e-07 
 3.79200000e-07  6.82560000e-01  5.53603170e-02  1.98025007e-02  6.65319586e-01 -3.55188117e-03 -6.59767118e-07 
 3.99200000e-07  7.18560000e-01  6.09993690e-02  2.08518795e-02  7.00493495e-01 -9.42453277e-03 -6.52585302e-07 
 4.19200000e-07  7.54560000e-01  6.68754684e-02  2.18985261e-02  7.35673304e-01 -1.60308548e-02 -6.51368458e-07 
 4.39200000e-07  7.90560000e-01  7.29841686e-02  2.29501914e-02  7.70858903e-01 -2.33060411e-02 -6.50974941e-07 
 4.59200000e-07  8.26560000e-01  7.93212545e-02  2.40172912e-02  8.06050168e-01 -3.09409269e-02 -6.61443437e-07 
 4.79200000e-07  8.62560000e-01  8.58828769e-02  2.51153148e-02  8.41247084e-01 -3.82822464e-02 -6.81915051e-07 
 4.99200000e-07  8.98560000e-01  9.26657707e-02  2.62681101e-02  8.76449666e-01 -4.41867234e-02 -7.29087718e-07 
 5.19200000e-07  9.34560000e-01  9.96675676e-02  2.75107949e-02  9.11658092e-01 -4.68632875e-02 -8.11246743e-07 
 5.39200000e-07  9.70560000e-01  1.06887204e-01  2.88892275e-02  9.46872627e-01 -4.36474632e-02 -9.56483504e-07 
