 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.60108764e+03 -3.07579042e-01  1.00000000e+00 -7.79106966e-21 -2.60108764e+03  3.07579042e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.60108764e+03 -3.14214559e-01  1.00000000e+00 -7.65949236e-21 -2.60108764e+03  3.14214559e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.60108764e+03 -3.20965769e-01  1.00000000e+00 -7.52949306e-21 -2.60108764e+03  3.20965769e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.60108763e+03 -3.27835158e-01  1.00000000e+00 -7.40109337e-21 -2.60108763e+03  3.27835158e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.60108763e+03 -3.34825256e-01  1.00000000e+00 -7.27431164e-21 -2.60108763e+03  3.34825256e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.60108763e+03 -3.41938636e-01  1.00000000e+00 -7.14916309e-21 -2.60108763e+03  3.41938636e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.60108763e+03 -3.49177917e-01  1.00000000e+00 -7.02566013e-21 -2.60108763e+03  3.49177917e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.60108763e+03 -3.56545765e-01  1.00000000e+00 -6.90381248e-21 -2.60108763e+03  3.56545765e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.60108763e+03 -3.64044892e-01  1.00000000e+00 -6.78362737e-21 -2.60108763e+03  3.64044892e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.60108762e+03 -3.71678061e-01  1.00000000e+00 -6.66510976e-21 -2.60108762e+03  3.71678061e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.60108762e+03 -3.79448080e-01  1.00000000e+00 -6.54826245e-21 -2.60108762e+03  3.79448080e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.60108762e+03 -3.87357813e-01  1.00000000e+00 -6.43308626e-21 -2.60108762e+03  3.87357813e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.60108762e+03 -3.95410169e-01  1.00000000e+00 -6.31958017e-21 -2.60108762e+03  3.95410169e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.60108761e+03 -4.03608115e-01  1.00000000e+00 -6.20774146e-21 -2.60108761e+03  4.03608115e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.60108761e+03 -4.11954669e-01  1.00000000e+00 -6.09756586e-21 -2.60108761e+03  4.11954669e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  2.60108761e+03 -4.20452904e-01  1.00000000e+00 -5.98904761e-21 -2.60108761e+03  4.20452904e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  2.60108761e+03 -4.29105950e-01  1.00000000e+00 -5.88217964e-21 -2.60108761e+03  4.29105950e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38569186e+00  2.60108760e+03 -4.37916991e-01  1.00000000e+00 -5.77695364e-21 -2.60108760e+03  4.37916991e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+00  2.60108760e+03 -4.46889273e-01  1.00000000e+00 -5.67336018e-21 -2.60108760e+03  4.46889273e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.43990332e+00  2.60108760e+03 -4.56026099e-01  1.00000000e+00 -5.57138876e-21 -2.60108760e+03  4.56026099e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.46779927e+00  2.60108759e+03 -4.65330833e-01  1.00000000e+00 -5.47102797e-21 -2.60108759e+03  4.65330833e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.49623566e+00  2.60108759e+03 -4.74806902e-01  1.00000000e+00 -5.37226550e-21 -2.60108759e+03  4.74806902e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.52522296e+00  2.60108759e+03 -4.84457793e-01  1.00000000e+00 -5.27508827e-21 -2.60108759e+03  4.84457793e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.55477184e+00  2.60108758e+03 -4.94287061e-01  1.00000000e+00 -5.17948247e-21 -2.60108758e+03  4.94287061e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.60108758e+03 -5.04298325e-01  1.00000000e+00 -5.08543365e-21 -2.60108758e+03  5.04298325e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.61559810e+00  2.60108757e+03 -5.14495271e-01  1.00000000e+00 -4.99292675e-21 -2.60108757e+03  5.14495271e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.64689787e+00  2.60108757e+03 -5.24881653e-01  1.00000000e+00 -4.90194621e-21 -2.60108757e+03  5.24881653e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.67880402e+00  2.60108757e+03 -5.35461296e-01  1.00000000e+00 -4.81247599e-21 -2.60108757e+03  5.35461296e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.71132830e+00  2.60108756e+03 -5.46238095e-01  1.00000000e+00 -4.72449961e-21 -2.60108756e+03  5.46238095e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  2.60108756e+03 -5.57216018e-01  1.00000000e+00 -4.63800025e-21 -2.60108756e+03  5.57216018e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  2.60108755e+03 -5.68399107e-01  1.00000000e+00 -4.55296073e-21 -2.60108755e+03  5.68399107e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81273088e+00  2.60108755e+03 -5.79791480e-01  1.00000000e+00 -4.46936362e-21 -2.60108755e+03  5.79791480e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.84784980e+00  2.60108754e+03 -5.91397331e-01  1.00000000e+00 -4.38719123e-21 -2.60108754e+03  5.91397331e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.88364909e+00  2.60108754e+03 -6.03220934e-01  1.00000000e+00 -4.30642564e-21 -2.60108754e+03  6.03220934e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.92014194e+00  2.60108753e+03 -6.15266642e-01  1.00000000e+00 -4.22704880e-21 -2.60108753e+03  6.15266642e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.95734178e+00  2.60108752e+03 -6.27538890e-01  1.00000000e+00 -4.14904249e-21 -2.60108752e+03  6.27538890e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.60108752e+03 -6.40042197e-01  1.00000000e+00 -4.07238838e-21 -2.60108752e+03  6.40042197e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.03391750e+00  2.60108751e+03 -6.52781166e-01  1.00000000e+00 -3.99706807e-21 -2.60108751e+03  6.52781166e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.07332157e+00  2.60108751e+03 -6.65760489e-01  1.00000000e+00 -3.92306308e-21 -2.60108751e+03  6.65760489e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
