 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 1.71132830e+00  2.35598765e+03 -4.98612029e-01  1.00000000e+00  5.55111512e-17 -2.35598765e+03  4.98612029e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  2.35598764e+03 -5.08656325e-01  1.00000000e+00  1.11022302e-16 -2.35598764e+03  5.08656325e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  2.35598764e+03 -5.18887908e-01  1.00000000e+00  0.00000000e+00 -2.35598764e+03  5.18887908e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81273088e+00  2.35598764e+03 -5.29310544e-01  1.00000000e+00  0.00000000e+00 -2.35598764e+03  5.29310544e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.84784980e+00  2.35598763e+03 -5.39928071e-01  1.00000000e+00 -1.11022302e-16 -2.35598763e+03  5.39928071e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.88364909e+00  2.35598763e+03 -5.50744400e-01  1.00000000e+00  0.00000000e+00 -2.35598763e+03  5.50744400e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.92014194e+00  2.35598762e+03 -5.61763511e-01  1.00000000e+00  0.00000000e+00 -2.35598762e+03  5.61763511e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.95734178e+00  2.35598761e+03 -5.72989463e-01  1.00000000e+00  1.11022302e-16 -2.35598761e+03  5.72989463e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.35598761e+03 -5.84426389e-01  1.00000000e+00  0.00000000e+00 -2.35598761e+03  5.84426389e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.03391750e+00  2.35598760e+03 -5.96078500e-01  1.00000000e+00  0.00000000e+00 -2.35598760e+03  5.96078500e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.07332157e+00  2.35598760e+03 -6.07950086e-01  1.00000000e+00 -1.11022302e-16 -2.35598760e+03  6.07950086e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.11348904e+00  2.35598759e+03 -6.20045518e-01  1.00000000e+00  0.00000000e+00 -2.35598759e+03  6.20045518e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.15443469e+00  2.35598758e+03 -6.32369250e-01  1.00000000e+00  0.00000000e+00 -2.35598758e+03  6.32369250e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.19617360e+00  2.35598758e+03 -6.44925820e-01  1.00000000e+00  0.00000000e+00 -2.35598758e+03  6.44925820e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+00  2.35598757e+03 -6.57719850e-01  1.00000000e+00  0.00000000e+00 -2.35598757e+03  6.57719850e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.28209297e+00  2.35598756e+03 -6.70756052e-01  1.00000000e+00  0.00000000e+00 -2.35598756e+03  6.70756052e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
