 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  1.89127162e+03 -2.00538148e-01  1.00000000e+00  0.00000000e+00  1.89127162e+03 -2.00538148e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  1.89127162e+03 -2.04927146e-01  1.00000000e+00  0.00000000e+00  1.89127162e+03 -2.04927146e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  1.89127162e+03 -2.09391598e-01  1.00000000e+00  0.00000000e+00  1.89127162e+03 -2.09391598e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  1.89127162e+03 -2.13933148e-01  1.00000000e+00 -2.77555756e-17  1.89127162e+03 -2.13933148e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  1.89127162e+03 -2.18553467e-01  1.00000000e+00  0.00000000e+00  1.89127162e+03 -2.18553467e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  1.89127162e+03 -2.23254258e-01  1.00000000e+00  2.77555756e-17  1.89127162e+03 -2.23254258e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  1.89127162e+03 -2.28037250e-01  1.00000000e+00  2.77555756e-17  1.89127162e+03 -2.28037250e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  1.89127161e+03 -2.32904206e-01  1.00000000e+00  0.00000000e+00  1.89127161e+03 -2.32904206e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  1.89127161e+03 -2.37856916e-01  1.00000000e+00  0.00000000e+00  1.89127161e+03 -2.37856916e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  1.89127161e+03 -2.42897205e-01  1.00000000e+00  0.00000000e+00  1.89127161e+03 -2.42897205e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  1.89127161e+03 -2.48026928e-01  1.00000000e+00  0.00000000e+00  1.89127161e+03 -2.48026928e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  1.89127161e+03 -2.53247975e-01  1.00000000e+00  0.00000000e+00  1.89127161e+03 -2.53247975e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  1.89127161e+03 -2.58562267e-01  1.00000000e+00  0.00000000e+00  1.89127161e+03 -2.58562267e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  1.89127161e+03 -2.63971762e-01  1.00000000e+00  0.00000000e+00  1.89127161e+03 -2.63971762e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  1.89127160e+03 -2.69478450e-01  1.00000000e+00  0.00000000e+00  1.89127160e+03 -2.69478450e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  1.89127160e+03 -2.75084360e-01  1.00000000e+00  0.00000000e+00  1.89127160e+03 -2.75084360e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  1.89127160e+03 -2.80791556e-01  1.00000000e+00  0.00000000e+00  1.89127160e+03 -2.80791556e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
