 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.71132830e+00  2.51949014e+03 -5.69164791e-01  1.00000000e+00 -4.92279632e-21  2.51949014e+03 -5.69164791e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  2.51949013e+03 -5.80601372e-01  1.00000000e+00 -4.83264887e-21  2.51949013e+03 -5.80601372e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  2.51949013e+03 -5.92251731e-01  1.00000000e+00 -4.74402387e-21  2.51949013e+03 -5.92251731e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81273088e+00  2.51949012e+03 -6.04120155e-01  1.00000000e+00 -4.65690304e-21  2.51949012e+03 -6.04120155e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.84784980e+00  2.51949011e+03 -6.16211016e-01  1.00000000e+00 -4.57126788e-21  2.51949011e+03 -6.16211016e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.88364909e+00  2.51949011e+03 -6.28528764e-01  1.00000000e+00 -4.48709967e-21  2.51949011e+03 -6.28528764e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.92014194e+00  2.51949010e+03 -6.41077936e-01  1.00000000e+00 -4.40437951e-21  2.51949010e+03 -6.41077936e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.95734178e+00  2.51949009e+03 -6.53863152e-01  1.00000000e+00 -4.32308836e-21  2.51949009e+03 -6.53863152e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.51949009e+03 -6.66889119e-01  1.00000000e+00 -4.24320706e-21  2.51949009e+03 -6.66889119e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.03391750e+00  2.51949008e+03 -6.80160634e-01  1.00000000e+00 -4.16471639e-21  2.51949008e+03 -6.80160634e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.07332157e+00  2.51949007e+03 -6.93682583e-01  1.00000000e+00 -4.08759705e-21  2.51949007e+03 -6.93682583e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.11348904e+00  2.51949007e+03 -7.07459945e-01  1.00000000e+00 -4.01182970e-21  2.51949007e+03 -7.07459945e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.15443469e+00  2.51949006e+03 -7.21497792e-01  1.00000000e+00 -3.93739502e-21  2.51949006e+03 -7.21497792e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.19617360e+00  2.51949005e+03 -7.35801294e-01  1.00000000e+00 -3.86427367e-21  2.51949005e+03 -7.35801294e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+00  2.51949004e+03 -7.50375716e-01  1.00000000e+00 -3.79244638e-21  2.51949004e+03 -7.50375716e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.28209297e+00  2.51949003e+03 -7.65226426e-01  1.00000000e+00 -3.72189388e-21  2.51949003e+03 -7.65226426e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.32630507e+00  2.51949002e+03 -7.80358890e-01  1.00000000e+00 -3.65259702e-21  2.51949002e+03 -7.80358890e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.37137371e+00  2.51949001e+03 -7.95778682e-01  1.00000000e+00 -3.58453668e-21  2.51949001e+03 -7.95778682e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.41731548e+00  2.51949000e+03 -8.11491478e-01  1.00000000e+00 -3.51769388e-21  2.51949000e+03 -8.11491478e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.46414731e+00  2.51948999e+03 -8.27503064e-01  1.00000000e+00 -3.45204972e-21  2.51948999e+03 -8.27503064e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.51948998e+03 -8.43819335e-01  1.00000000e+00 -3.38758544e-21  2.51948998e+03 -8.43819335e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.56055043e+00  2.51948997e+03 -8.60446299e-01  1.00000000e+00 -3.32428239e-21  2.51948997e+03 -8.60446299e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
