 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.11324334e+03 -2.43470757e-01  1.00000000e+00  0.00000000e+00  2.11324334e+03 -2.43470757e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.11324334e+03 -2.48780095e-01  1.00000000e+00  2.77555756e-17  2.11324334e+03 -2.48780095e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.11324334e+03 -2.54181034e-01  1.00000000e+00  0.00000000e+00  2.11324334e+03 -2.54181034e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.11324334e+03 -2.59675562e-01  1.00000000e+00  0.00000000e+00  2.11324334e+03 -2.59675562e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.11324334e+03 -2.65265702e-01  1.00000000e+00  0.00000000e+00  2.11324334e+03 -2.65265702e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.11324334e+03 -2.70953512e-01  1.00000000e+00  0.00000000e+00  2.11324334e+03 -2.70953512e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.11324334e+03 -2.76741087e-01  1.00000000e+00 -5.55111512e-17  2.11324334e+03 -2.76741087e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.11324333e+03 -2.82630558e-01  1.00000000e+00 -5.55111512e-17  2.11324333e+03 -2.82630558e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.11324333e+03 -2.88624093e-01  1.00000000e+00  0.00000000e+00  2.11324333e+03 -2.88624093e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.11324333e+03 -2.94723899e-01  1.00000000e+00  0.00000000e+00  2.11324333e+03 -2.94723899e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.11324333e+03 -3.00932222e-01  1.00000000e+00  0.00000000e+00  2.11324333e+03 -3.00932222e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.11324333e+03 -3.07251347e-01  1.00000000e+00  0.00000000e+00  2.11324333e+03 -3.07251347e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.11324333e+03 -3.13683602e-01  1.00000000e+00  0.00000000e+00  2.11324333e+03 -3.13683602e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.11324332e+03 -3.20231356e-01  1.00000000e+00  0.00000000e+00  2.11324332e+03 -3.20231356e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.11324332e+03 -3.26897017e-01  1.00000000e+00  0.00000000e+00  2.11324332e+03 -3.26897017e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  2.11324332e+03 -3.33683042e-01  1.00000000e+00  0.00000000e+00  2.11324332e+03 -3.33683042e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
