 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.88590865e+03 -3.65755092e-01  1.00000000e+00 -9.26468639e-21  2.88590865e+03 -3.65755092e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.88590865e+03 -3.73626233e-01  1.00000000e+00 -9.10774871e-21  2.88590865e+03 -3.73626233e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.88590865e+03 -3.81634942e-01  1.00000000e+00 -8.95272298e-21  2.88590865e+03 -3.81634942e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.88590865e+03 -3.89784169e-01  1.00000000e+00 -8.79963277e-21  2.88590865e+03 -3.89784169e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.88590865e+03 -3.98076914e-01  1.00000000e+00 -8.64849783e-21  2.88590865e+03 -3.98076914e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.88590864e+03 -4.06516231e-01  1.00000000e+00 -8.49933437e-21  2.88590864e+03 -4.06516231e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.88590864e+03 -4.15105226e-01  1.00000000e+00 -8.35215533e-21  2.88590864e+03 -4.15105226e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.88590864e+03 -4.23847062e-01  1.00000000e+00 -8.20697057e-21  2.88590864e+03 -4.23847062e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.88590864e+03 -4.32744958e-01  1.00000000e+00 -8.06378710e-21  2.88590864e+03 -4.32744958e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.88590863e+03 -4.41802190e-01  1.00000000e+00 -7.92260928e-21  2.88590863e+03 -4.41802190e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.88590863e+03 -4.51022094e-01  1.00000000e+00 -7.78343903e-21  2.88590863e+03 -4.51022094e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.88590863e+03 -4.60408062e-01  1.00000000e+00 -7.64627598e-21  2.88590863e+03 -4.60408062e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
