x,real,imag
1.0,1.0,-7.577957900295343e-21
1.019373485938873,1.0,-7.44992177326617e-21
1.039122303835169,1.0,-7.323424818998473e-21
1.059253725177289,1.0,-7.198487805390562e-21
1.07977516232771,1.0,-7.075128307549345e-21
1.10069417125221,1.0,-6.953360924994097e-21
1.122018454301964,1.0,-6.833197485973836e-21
1.143755863049539,1.0,-6.714647239638029e-21
1.165914401179832,1.0,-6.597717036751359e-21
1.188502227437019,1.0,-6.482411499604715e-21
1.211527658628589,1.0,-6.368733181744283e-21
1.234999172687586,1.0,-6.256682718099008e-21
1.258925411794168,1.0,-6.146258966054064e-21
1.283315185557652,1.0,-6.037459137993584e-21
1.308177474260195,1.0,-5.930278925799715e-21
1.333521432163325,1.0,-5.824712617767876e-21
1.359356390878527,1.0,-5.720753208379645e-21
1.385691862803129,1.0,-5.618392501337527e-21
1.412537544622755,1.0,-5.517621206256768e-21
1.439903320881634,1.0,-5.418429029373245e-21
1.467799267622071,1.0,-5.320804758619814e-21
1.496235656094435,1.0,-5.224736343390098e-21
1.52522295653902,1.0,-5.130210969303942e-21
1.554771842041175,1.0,-5.037215128257941e-21
1.584893192461115,1.0,-4.945734684041161e-21
1.615598098439875,1.0,-4.855754933767833e-21
1.64689786548287,1.0,-4.767260665376533e-21
1.678804018122562,1.0,-4.680236211420791e-21
1.711328304161782,1.0,-4.594665499369711e-21
1.744482698999256,1.0,-4.510532098624523e-21
1.778279410038925,1.0,-4.427819264440486e-21
1.812730881184701,1.0,-4.346509978938623e-21
1.847849797422293,1.0,-4.266586989377762e-21
1.883649089489803,1.0,-4.188032843847987e-21
1.920141938638804,1.0,-4.110829924540234e-21
1.957341781487663,1.0,-4.034960478732775e-21
1.995262314968882,1.0,-3.960406647632533e-21
2.033917501372295,1.0,-3.887150493198236e-21
2.073321573485958,1.0,-3.815174023066042e-21
2.113489039836649,1.0,-3.744459213691403e-21
2.154434690031886,1.0,-3.674988031814335e-21
2.196173600205439,1.0,-3.606742454348997e-21
2.238721138568343,1.0,-3.539704486793647e-21
2.282092971067454,1.0,-3.473856180248745e-21
2.326305067153629,1.0,-3.40917964713057e-21
2.371373705661659,1.0,-3.345657075657925e-21
2.417315480804108,1.0,-3.283270743188709e-21
2.464147308281285,1.0,-3.222003028475062e-21
2.511886431509584,1.0,-3.161836422907089e-21
