 frequency              r_VOUT                 i_VOUT                
 1.000000000000000e+00 -2.421680434066386e+03  2.991657252036106e-01 
 1.019373485938873e+00 -2.421680432456816e+03  3.056173625865617e-01 
 1.039122303835169e+00 -2.421680430783925e+03  3.121815278578504e-01 
 1.059253725177289e+00 -2.421680429045252e+03  3.188606379333764e-01 
 1.079775162327710e+00 -2.421680427238191e+03  3.256571520514913e-01 
 1.100694171252210e+00 -2.421680425360170e+03  3.325735726785323e-01 
 1.122018454301964e+00 -2.421680423408378e+03  3.396124464301507e-01 
 1.143755863049539e+00 -2.421680421379895e+03  3.467763650090044e-01 
 1.165914401179832e+00 -2.421680419271823e+03  3.540679661590537e-01 
 1.188502227437019e+00 -2.421680417081011e+03  3.614899346366944e-01 
 1.211527658628589e+00 -2.421680414804189e+03  3.690450031993138e-01 
 1.234999172687586e+00 -2.421680412438095e+03  3.767359536115267e-01 
 1.258925411794168e+00 -2.421680409979194e+03  3.845656176693277e-01 
 1.283315185557652e+00 -2.421680407423822e+03  3.925368782427916e-01 
 1.308177474260195e+00 -2.421680404768306e+03  4.006526703375803e-01 
 1.333521432163325e+00 -2.421680402008642e+03  4.089159821754982e-01 
 1.359356390878527e+00 -2.421680399140858e+03  4.173298562948660e-01 
 1.385691862803129e+00 -2.421680396160638e+03  4.258973906706480e-01 
 1.412537544622755e+00 -2.421680393063684e+03  4.346217398552420e-01 
 1.439903320881634e+00 -2.421680389845343e+03  4.435061161398437e-01 
 1.467799267622071e+00 -2.421680386500966e+03  4.525537907373327e-01 
 1.496235656094435e+00 -2.421680383025536e+03  4.617680949865840e-01 
 1.525222956539020e+00 -2.421680379414024e+03  4.711524215791912e-01 
 1.554771842041175e+00 -2.421680375661021e+03  4.807102258085018e-01 
 1.584893192461115e+00 -2.421680371761089e+03  4.904450268419819e-01 
 1.615598098439875e+00 -2.421680367708394e+03  5.003604090168154e-01 
 1.646897865482870e+00 -2.421680363497011e+03  5.104600231597659e-01 
 1.678804018122562e+00 -2.421680359120782e+03  5.207475879313426e-01 
 1.711328304161782e+00 -2.421680354573170e+03  5.312268911949322e-01 
 1.744482698999256e+00 -2.421680349847526e+03  5.419017914115871e-01 
 1.778279410038925e+00 -2.421680344936884e+03  5.527762190606134e-01 
 1.812730881184701e+00 -2.421680339834016e+03  5.638541780867753e-01 
 1.847849797422293e+00 -2.421680334531448e+03  5.751397473745410e-01 
 1.883649089489803e+00 -2.421680329021280e+03  5.866370822498251e-01 
 1.920141938638804e+00 -2.421680323295441e+03  5.983504160100804e-01 
 1.957341781487663e+00 -2.421680317345499e+03  6.102840614828887e-01 
 1.995262314968882e+00 -2.421680311162688e+03  6.224424126139370e-01 
 2.033917501372295e+00 -2.421680304737902e+03  6.348299460848432e-01 
 2.073321573485958e+00 -2.421680298061678e+03  6.474512229614391e-01 
 2.113489039836649e+00 -2.421680291124183e+03  6.603108903731238e-01 
 2.154434690031886e+00 -2.421680283915196e+03  6.734136832239050e-01 
 2.196173600205439e+00 -2.421680276424057e+03  6.867644259357318e-01 
 2.238721138568343e+00 -2.421680268639821e+03  7.003680342249102e-01 
 2.282092971067454e+00 -2.421680260550978e+03  7.142295169118831e-01 
 2.326305067153629e+00 -2.421680252145612e+03  7.283539777655370e-01 
 2.371373705661659e+00 -2.421680243411300e+03  7.427466173823174e-01 
 2.417315480804108e+00 -2.421680234335263e+03  7.574127351011518e-01 
 2.464147308281285e+00 -2.421680224904047e+03  7.723577309544287e-01 
 2.511886431509584e+00 -2.421680215103851e+03  7.875871076564656e-01 
 2.560550427970480e+00 -2.421680204920146e+03  8.031064726293246e-01 
 2.610157215682541e+00 -2.421680194337979e+03  8.189215400676177e-01 
 2.660725059798814e+00 -2.421680183341811e+03  8.350381330423308e-01 
 2.712272579332033e+00 -2.421680171915351e+03  8.514621856447195e-01 
 2.764818754010113e+00 -2.421680160041818e+03  8.681997451713709e-01 
 2.818382931264459e+00 -2.421680147703720e+03  8.852569743506172e-01 
 2.872984833353670e+00 -2.421680134882885e+03  9.026401536116266e-01 
 2.928644564625242e+00 -2.421680121560431e+03  9.203556833967701e-01 
 2.985382618917966e+00 -2.421680107716732e+03  9.384100865181946e-01 
 3.043219887107728e+00 -2.421680093331353e+03  9.568100105594000e-01 
 3.102177664799508e+00 -2.421680078383198e+03  9.755622303229360e-01 
 3.162277660168387e+00 -2.421680062850156e+03  9.946736503245427e-01 
 3.223542001952470e+00 -2.421680046709441e+03  1.014151307335584e+00 
 3.285993247600662e+00 -2.421680029937188e+03  1.034002372973595e+00 
 3.349654391578285e+00 -2.421680012508737e+03  1.054234156343015e+00 
 3.414548873833610e+00 -2.421679994398466e+03  1.074854106726187e+00 
 3.480700588428419e+00 -2.421679975579605e+03  1.095869816325930e+00 
 3.548133892335763e+00 -2.421679956024437e+03  1.117289023061068e+00 
 3.616873614408168e+00 -2.421679935704250e+03  1.139119613415396e+00 
 3.686945064519584e+00 -2.421679914589069e+03  1.161369625341141e+00 
 3.758374042884451e+00 -2.421679892647745e+03  1.184047251218500e+00 
 3.831186849557297e+00 -2.421679869848057e+03  1.207160840872054e+00 
 3.905410294116390e+00 -2.421679846156325e+03  1.230718904644696e+00 
 3.981071705534982e+00 -2.421679821537704e+03  1.254730116531279e+00 
 4.058198942243808e+00 -2.421679795955929e+03  1.279203317372005e+00 
 4.136820402388517e+00 -2.421679769373321e+03  1.304147518107478e+00 
 4.216965034285833e+00 -2.421679741750684e+03  1.329571903096278e+00 
 4.298662347082288e+00 -2.421679713047418e+03  1.355485833496603e+00 
 4.381942421619448e+00 -2.421679683221159e+03  1.381898850712485e+00 
 4.466835921509642e+00 -2.421679652228018e+03  1.408820679907029e+00 
 4.553374104426261e+00 -2.421679620022345e+03  1.436261233582753e+00 
 4.641588833612791e+00 -2.421679586556704e+03  1.464230615231159e+00 
 4.731512589614817e+00 -2.421679551781759e+03  1.492739123052485e+00 
