 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-1.58000000e-02  1.71690509e+00  7.62224003e-01  2.17767978e-01  2.05524731e-05  1.75592254e-05  3.81116979e-05 
-1.57000000e-02  1.71635140e+00  7.62279150e-01  2.17763930e-01  2.05343367e-05  1.75773099e-05  3.81116460e-05 
-1.56000000e-02  1.71578563e+00  7.62334296e-01  2.17759879e-01  2.05162147e-05  1.75953800e-05  3.81115940e-05 
-1.55000000e-02  1.71520727e+00  7.62389439e-01  2.17755825e-01  2.04981078e-05  1.76134349e-05  3.81115420e-05 
-1.54000000e-02  1.71461575e+00  7.62444576e-01  2.17751765e-01  2.04800168e-05  1.76314738e-05  3.81114900e-05 
-1.53000000e-02  1.71401051e+00  7.62499704e-01  2.17747698e-01  2.04619426e-05  1.76494960e-05  3.81114378e-05 
-1.52000000e-02  1.71339094e+00  7.62554822e-01  2.17743622e-01  2.04438859e-05  1.76675004e-05  3.81113856e-05 
-1.51000000e-02  1.71275637e+00  7.62609926e-01  2.17739535e-01  2.04258477e-05  1.76854862e-05  3.81113332e-05 
-1.50000000e-02  1.71210608e+00  7.62665012e-01  2.17735435e-01  2.04078290e-05  1.77034522e-05  3.81112806e-05 
-1.49000000e-02  1.71143935e+00  7.62720078e-01  2.17731320e-01  2.03898309e-05  1.77213975e-05  3.81112278e-05 
-1.48000000e-02  1.71075536e+00  7.62775121e-01  2.17727187e-01  2.03718546e-05  1.77393209e-05  3.81111748e-05 
-1.47000000e-02  1.71005325e+00  7.62830136e-01  2.17723034e-01  2.03539011e-05  1.77572211e-05  3.81111215e-05 
-1.46000000e-02  1.70933213e+00  7.62885119e-01  2.17718857e-01  2.03359718e-05  1.77750968e-05  3.81110679e-05 
-1.45000000e-02  1.70859101e+00  7.62940066e-01  2.17714655e-01  2.03180680e-05  1.77929467e-05  3.81110140e-05 
-1.44000000e-02  1.70782885e+00  7.62994973e-01  2.17710424e-01  2.03001913e-05  1.78107691e-05  3.81109598e-05 
-1.43000000e-02  1.70704452e+00  7.63049834e-01  2.17706160e-01  2.02823432e-05  1.78285626e-05  3.81109051e-05 
-1.42000000e-02  1.70623683e+00  7.63104645e-01  2.17701861e-01  2.02645253e-05  1.78463253e-05  3.81108499e-05 
-1.41000000e-02  1.70540447e+00  7.63159399e-01  2.17697522e-01  2.02467395e-05  1.78640554e-05  3.81107942e-05 
-1.40000000e-02  1.70454607e+00  7.63214090e-01  2.17693138e-01  2.02289877e-05  1.78817510e-05  3.81107380e-05 
-1.39000000e-02  1.70366013e+00  7.63268713e-01  2.17688707e-01  2.02112720e-05  1.78994098e-05  3.81106812e-05 
-1.38000000e-02  1.70274504e+00  7.63323259e-01  2.17684222e-01  2.01935946e-05  1.79170297e-05  3.81106236e-05 
-1.37000000e-02  1.70179907e+00  7.63377721e-01  2.17679679e-01  2.01759580e-05  1.79346080e-05  3.81105653e-05 
-1.36000000e-02  1.70082035e+00  7.63432091e-01  2.17675073e-01  2.01583646e-05  1.79521422e-05  3.81105062e-05 
-1.35000000e-02  1.69980685e+00  7.63486360e-01  2.17670396e-01  2.01408175e-05  1.79696293e-05  3.81104462e-05 
-1.34000000e-02  1.69875642e+00  7.63540518e-01  2.17665643e-01  2.01233195e-05  1.79870663e-05  3.81103852e-05 
-1.33000000e-02  1.69766668e+00  7.63594555e-01  2.17660806e-01  2.01058739e-05  1.80044498e-05  3.81103231e-05 
-1.32000000e-02  1.69653511e+00  7.63648460e-01  2.17655878e-01  2.00884843e-05  1.80217761e-05  3.81102599e-05 
-1.31000000e-02  1.69535896e+00  7.63702221e-01  2.17650852e-01  2.00711545e-05  1.80390414e-05  3.81101954e-05 
-1.30000000e-02  1.69413526e+00  7.63755823e-01  2.17645717e-01  2.00538886e-05  1.80562414e-05  3.81101295e-05 
-1.29000000e-02  1.69286081e+00  7.63809254e-01  2.17640464e-01  2.00366910e-05  1.80733715e-05  3.81100621e-05 
-1.28000000e-02  1.69153213e+00  7.63862498e-01  2.17635083e-01  2.00195665e-05  1.80904269e-05  3.81099930e-05 
-1.27000000e-02  1.69014549e+00  7.63915538e-01  2.17629563e-01  2.00025204e-05  1.81074020e-05  3.81099221e-05 
-1.26000000e-02  1.68864686e+00  7.63968142e-01  2.17623747e-01  1.99856268e-05  1.81242214e-05  3.81098475e-05 
-1.25000000e-02  1.68712044e+00  7.64020670e-01  2.17617878e-01  1.99687704e-05  1.81410025e-05  3.81097721e-05 
